key,kind,id,RULING,RULING_reason
SCREEN|2-s2.0-105009525336,SCREEN,2-s2.0-105009525336,EXCLUDE_STUDY,
SCREEN|2-s2.0-105012550022,SCREEN,2-s2.0-105012550022,EXCLUDE_STUDY,
SCREEN|2-s2.0-105019225029,SCREEN,2-s2.0-105019225029,EXCLUDE_STUDY,
SCREEN|2-s2.0-105030444680,SCREEN,2-s2.0-105030444680,EXCLUDE_STUDY,
SCREEN|2-s2.0-85079874634,SCREEN,2-s2.0-85079874634,EXCLUDE_STUDY,
SCREEN|2-s2.0-85115858008,SCREEN,2-s2.0-85115858008,EXCLUDE_STUDY,
SCREEN|2-s2.0-85129632573,SCREEN,2-s2.0-85129632573,EXCLUDE_STUDY,
SCREEN|2-s2.0-85142132951,SCREEN,2-s2.0-85142132951,EXCLUDE_STUDY,
SCREEN|2-s2.0-85192567032,SCREEN,2-s2.0-85192567032,EXCLUDE_STUDY,
SCREEN|2-s2.0-85215939792,SCREEN,2-s2.0-85215939792,EXCLUDE_STUDY,
SCREEN|OA-W2914761925,SCREEN,OA-W2914761925,EXCLUDE_STUDY,
OMISSION|2-s2.0-105004460836|CONTENT|16.1,OMISSION,2-s2.0-105004460836,NOT_CODEABLE,just exclude this study
OMISSION|2-s2.0-105004460836|CONTENT|36.3,OMISSION,2-s2.0-105004460836,,just exclude this study
OMISSION|2-s2.0-105029521599|SHARING|5.6,OMISSION,2-s2.0-105029521599,ADD_ROW,"5.6 is REACH sharing by elites. ""While 94.4% of lawmakers in our analysis did not share any low-factual sources, 5.6% did. Among the 1,142 posts with such content (0.65% of all posts with URLs), Republicans contributed the vast majority (1,101 posts) compared to Democrats (41 posts) (see Appendix Table A.1)."""
OMISSION|2-s2.0-84883291462|CONTENT|15.9,OMISSION,2-s2.0-84883291462,NOT_CODEABLE,
OMISSION|2-s2.0-85059494932|SHARING|25,OMISSION,2-s2.0-85059494932,ADD_ROW,
OMISSION|2-s2.0-85060549676|SHARING|6,OMISSION,2-s2.0-85060549676,SAME_AS_OURS,"it's the same as '6.7% SHARING political URLs shared by the panel' ours is just more precise, their comes from the discussion"
OMISSION|2-s2.0-85066887935|SHARING|30.9,OMISSION,2-s2.0-85066887935,NOT_CODEABLE,"le'ts just keep 13.1, it's the general one"
OMISSION|2-s2.0-85066887935|SHARING|42.3,OMISSION,2-s2.0-85066887935,NOT_CODEABLE,"le'ts just keep 13.1, it's the general one"
OMISSION|2-s2.0-85072114698|RECALL|37.41,OMISSION,2-s2.0-85072114698,NOT_CODEABLE,
OMISSION|2-s2.0-85089426034|CONTENT|68.09,OMISSION,2-s2.0-85089426034,NOT_CODEABLE,
OMISSION|2-s2.0-85124307830|RECALL|44.3,OMISSION,2-s2.0-85124307830,ADD_ROW,
OMISSION|2-s2.0-85124307830|RECALL|34.9,OMISSION,2-s2.0-85124307830,ADD_ROW,
OMISSION|2-s2.0-85141666446|CONTENT|5.3,OMISSION,2-s2.0-85141666446,NOT_CODEABLE,
OMISSION|2-s2.0-85145956359|CONCENTRATION|89,OMISSION,2-s2.0-85145956359,NOT_CODEABLE,"they reported concentration in creation / russian trolls, we don't report htat "
OMISSION|2-s2.0-85160248068|EXPOSURE|0.12,OMISSION,2-s2.0-85160248068,NOT_CODEABLE,
OMISSION|2-s2.0-85160248068|EXPOSURE|0.04,OMISSION,2-s2.0-85160248068,NOT_CODEABLE,
OMISSION|2-s2.0-85160248068|EXPOSURE|0.06,OMISSION,2-s2.0-85160248068,NOT_CODEABLE,
OMISSION|2-s2.0-85160248068|EXPOSURE|0.04,OMISSION,2-s2.0-85160248068,NOT_CODEABLE,
OMISSION|2-s2.0-85164339474|CONTENT|7.56,OMISSION,2-s2.0-85164339474,ADD_ROW,
OMISSION|2-s2.0-85172813494|RECALL|63.8,OMISSION,2-s2.0-85172813494,ADD_ROW,
OMISSION|2-s2.0-85173913530|CONTENT|22,OMISSION,2-s2.0-85173913530,ADD_ROW,
OMISSION|2-s2.0-85189042631|RECALL|53.33,OMISSION,2-s2.0-85189042631,NOT_CODEABLE,
OMISSION|2-s2.0-85193588807|SHARING|7.66,OMISSION,2-s2.0-85193588807,NOT_CODEABLE,"just drop this study, only 40 items, and they mostly report some weird concentration metrics of these 40 unusual posts"
OMISSION|2-s2.0-85205142420|RECALL|29.2,OMISSION,2-s2.0-85205142420,NOT_CODEABLE,
OMISSION|2-s2.0-85205142420|RECALL|12.5,OMISSION,2-s2.0-85205142420,NOT_CODEABLE,
OMISSION|PMID-42295743|CONTENT|18.1,OMISSION,PMID-42295743,ADD_ROW,
OMISSION|W3189543626|EXPOSURE|1.07,OMISSION,W3189543626,NOT_CODEABLE,
OMISSION|W4306964957|SHARING|15.4497,OMISSION,W4306964957,ADD_ROW,"the numbers we hold are wrong, you misread Tab 2, which reports %. They have three REACH / Sharing politicians numbers: Our text-based approach reveals that 15% (146) of politicians have shared misinformation at least once, whereas the domain approach finds that at least 50% (478) of politicians have done so. In contrast to these two approaches, Facebook’s URL approach find that 1.48% (14) of politicians have shared misinformation at least once"
OMISSION|W4393231882|CONTENT|17.1,OMISSION,W4393231882,NOT_CODEABLE,
OMISSION|2-s2.0-105002620495|CONTENT|29.6,OMISSION,2-s2.0-105002620495,,
OMISSION|2-s2.0-105016716843|CONTENT|22,OMISSION,2-s2.0-105016716843,,
OMISSION|2-s2.0-105016716843|CONTENT|17,OMISSION,2-s2.0-105016716843,,
OMISSION|2-s2.0-105016716843|CONTENT|8,OMISSION,2-s2.0-105016716843,,
OMISSION|2-s2.0-105016716843|CONTENT|10,OMISSION,2-s2.0-105016716843,,
OMISSION|2-s2.0-105029413645|CONTENT|6.8,OMISSION,2-s2.0-105029413645,,
OMISSION|2-s2.0-105035056055|SHARING|8.12,OMISSION,2-s2.0-105035056055,,
OMISSION|2-s2.0-105039619015|EXPOSURE|0.34,OMISSION,2-s2.0-105039619015,,
OMISSION|2-s2.0-42649109723|CONTENT|42,OMISSION,2-s2.0-42649109723,,
OMISSION|2-s2.0-85060549676|CONCENTRATION|74,OMISSION,2-s2.0-85060549676,,
OMISSION|2-s2.0-85074596916|SHARING|24.1,OMISSION,2-s2.0-85074596916,,
OMISSION|2-s2.0-85074596916|CONCENTRATION|27.8,OMISSION,2-s2.0-85074596916,,
OMISSION|2-s2.0-85084031148|CONTENT|34,OMISSION,2-s2.0-85084031148,,
OMISSION|2-s2.0-85086037795|CONCENTRATION|43.4,OMISSION,2-s2.0-85086037795,,
OMISSION|2-s2.0-85086037795|CONCENTRATION|48.4,OMISSION,2-s2.0-85086037795,,
OMISSION|2-s2.0-85092013677|CONTENT|21,OMISSION,2-s2.0-85092013677,,
OMISSION|2-s2.0-85092483799|CONTENT|51.1,OMISSION,2-s2.0-85092483799,,
OMISSION|2-s2.0-85095594211|CONTENT|0,OMISSION,2-s2.0-85095594211,,
OMISSION|2-s2.0-85105511315|CONTENT|11,OMISSION,2-s2.0-85105511315,,
OMISSION|2-s2.0-85109464429|CONTENT|22.0,OMISSION,2-s2.0-85109464429,,
OMISSION|2-s2.0-85121464977|CONTENT|15.3,OMISSION,2-s2.0-85121464977,,
OMISSION|2-s2.0-85124823821|RECALL|12.3,OMISSION,2-s2.0-85124823821,,
OMISSION|2-s2.0-85127622287|CONTENT|6.4,OMISSION,2-s2.0-85127622287,,
OMISSION|2-s2.0-85129109345|CONTENT|74,OMISSION,2-s2.0-85129109345,,
OMISSION|2-s2.0-85142886759|SHARING|2,OMISSION,2-s2.0-85142886759,,
OMISSION|2-s2.0-85145956359|REACH|63,OMISSION,2-s2.0-85145956359,,
OMISSION|2-s2.0-85159153364|SHARING|0.95,OMISSION,2-s2.0-85159153364,,
OMISSION|2-s2.0-85159871316|CONTENT|7,OMISSION,2-s2.0-85159871316,,
OMISSION|2-s2.0-85163154882|SHARING|22,OMISSION,2-s2.0-85163154882,,
OMISSION|2-s2.0-85164339474|CONTENT|3.6,OMISSION,2-s2.0-85164339474,,
OMISSION|2-s2.0-85164694763|SHARING|14,OMISSION,2-s2.0-85164694763,,
OMISSION|2-s2.0-85168520853|CONTENT|78.5,OMISSION,2-s2.0-85168520853,,
OMISSION|2-s2.0-85174641364|CONTENT|29,OMISSION,2-s2.0-85174641364,,
OMISSION|2-s2.0-85181752010|CONTENT|14.1,OMISSION,2-s2.0-85181752010,,
OMISSION|2-s2.0-85182846541|SHARING|1.9,OMISSION,2-s2.0-85182846541,,
OMISSION|2-s2.0-85182846541|SHARING|2.9,OMISSION,2-s2.0-85182846541,,
OMISSION|2-s2.0-85189042631|RECALL|42.11,OMISSION,2-s2.0-85189042631,,
OMISSION|2-s2.0-85189042631|RECALL|69.39,OMISSION,2-s2.0-85189042631,,
OMISSION|2-s2.0-85189042631|RECALL|6,OMISSION,2-s2.0-85189042631,,
OMISSION|2-s2.0-85190817518|CONTENT|54,OMISSION,2-s2.0-85190817518,,
OMISSION|2-s2.0-85190817518|CONTENT|9,OMISSION,2-s2.0-85190817518,,
OMISSION|2-s2.0-85191807094|CONTENT|61,OMISSION,2-s2.0-85191807094,,
OMISSION|2-s2.0-85208681084|CONTENT|51.7,OMISSION,2-s2.0-85208681084,,
OMISSION|2-s2.0-85217197547|CONTENT|83.1,OMISSION,2-s2.0-85217197547,,
OMISSION|2-s2.0-85217829893|SHARING|17,OMISSION,2-s2.0-85217829893,,
OMISSION|NEW-jadara-2022|RECALL|22,OMISSION,NEW-jadara-2022,,
OMISSION|OA-W3091627927|CONTENT|0.001,OMISSION,OA-W3091627927,,
OMISSION|W2901308345|CONTENT|1.51,OMISSION,W2901308345,,
OMISSION|W4306964957|SHARING|50.582,OMISSION,W4306964957,,
OMISSION|W4306964957|SHARING|1.4815,OMISSION,W4306964957,,
OMISSION|W4407878374|CONTENT|7.4,OMISSION,W4407878374,,
