id,blind_screen,text_status,n_ours,n_blind,matched,missed,omission_candidates
2-s2.0-0032975127,INCLUDE,ok,1,1,1,0,0
2-s2.0-105002025382,INCLUDE,ok,1,1,1,0,0
2-s2.0-105002155467,INCLUDE,ok,2,2,1,1,1
2-s2.0-105002578811,INCLUDE,abstract_only,1,1,1,0,0
2-s2.0-105002620495,INCLUDE,ok,4,2,1,3,1
2-s2.0-105002670726,INCLUDE,ok,2,1,1,1,0
2-s2.0-105002787411,INCLUDE,ok,3,2,2,1,0
2-s2.0-105003865545,INCLUDE,ok,3,3,3,0,0
2-s2.0-105004460836,INCLUDE,ok,1,4,1,0,2
2-s2.0-105005004817,INCLUDE,ok,1,1,1,0,0
2-s2.0-105005857219,INCLUDE,abstract_only,1,2,1,0,0
2-s2.0-105007027777,INCLUDE,ok,1,1,1,0,0
2-s2.0-105007777349,INCLUDE,ok,1,1,1,0,0
2-s2.0-105007993526,EXCLUDE,ok,0,0,0,0,0
2-s2.0-105008238753,INCLUDE,ok,1,1,1,0,0
2-s2.0-105008442631,INCLUDE,abstract_only,1,2,1,0,0
2-s2.0-105008525623,INCLUDE,ok,5,6,5,0,0
2-s2.0-105008560082,INCLUDE,ok,2,2,2,0,0
2-s2.0-105008921175,INCLUDE,ok,1,1,1,0,0
2-s2.0-105009085931,EXCLUDE,ok,0,0,0,0,0
2-s2.0-105009372730,INCLUDE,abstract_only,2,1,1,1,0
2-s2.0-105009525336,EXCLUDE,ok,0,0,0,0,0
2-s2.0-105009546063,INCLUDE,ok,8,2,2,6,0
2-s2.0-105009619554,INCLUDE,ok,2,3,1,1,2
2-s2.0-105010038175,INCLUDE,ok,1,1,1,0,0
2-s2.0-105010728491,INCLUDE,ok,1,2,1,0,0
2-s2.0-105011406180,INCLUDE,ok,1,2,1,0,0
2-s2.0-105011756924,INCLUDE,ok,0,0,0,0,0
2-s2.0-105012522879,INCLUDE,ok,2,3,2,0,1
2-s2.0-105012550022,EXCLUDE,ok,0,0,0,0,0
2-s2.0-105012722892,INCLUDE,ok,1,1,1,0,0
2-s2.0-105012981781,INCLUDE,ok,1,1,1,0,0
2-s2.0-105013056526,INCLUDE,ok,3,2,2,1,0
2-s2.0-105014185875,INCLUDE,ok,1,1,1,0,0
2-s2.0-105014632937,INCLUDE,ok,1,3,1,0,0
2-s2.0-105014807194,INCLUDE,ok,1,1,1,0,0
2-s2.0-105014886450,INCLUDE,ok,1,1,1,0,0
2-s2.0-105016716843,INCLUDE,ok,6,10,6,0,4
2-s2.0-105017506015,INCLUDE,ok,1,1,1,0,0
2-s2.0-105017599346,INCLUDE,ok,1,0,0,1,0
2-s2.0-105017757935,INCLUDE,ok,1,3,1,0,1
2-s2.0-105018276467,INCLUDE,ok,2,2,2,0,0
2-s2.0-105018832745,INCLUDE,abstract_only,1,1,1,0,0
2-s2.0-105018851946,EXCLUDE,ok,1,0,0,1,0
2-s2.0-105019225029,EXCLUDE,abstract_only,0,0,0,0,0
2-s2.0-105019357120,INCLUDE,ok,2,1,0,2,1
2-s2.0-105019533649,INCLUDE,ok,5,4,4,1,0
2-s2.0-105019603181,INCLUDE,ok,4,4,4,0,0
2-s2.0-105019625689,INCLUDE,ok,1,1,1,0,0
2-s2.0-105019627019,INCLUDE,abstract_only,1,1,1,0,0
2-s2.0-105020578144,INCLUDE,ok,2,2,2,0,0
2-s2.0-105020894042,INCLUDE,abstract_only,1,1,1,0,0
2-s2.0-105021733739,INCLUDE,ok,2,4,2,0,1
2-s2.0-105021775752,INCLUDE,ok,3,1,1,2,0
2-s2.0-105022108218,INCLUDE,ok,2,2,0,2,1
2-s2.0-105024994777,INCLUDE,ok,2,2,2,0,0
2-s2.0-105026138407,INCLUDE,ok,2,4,2,0,2
2-s2.0-105026630069,INCLUDE,ok,1,2,1,0,0
2-s2.0-105026782770,INCLUDE,ok,3,3,3,0,0
2-s2.0-105027376456,INCLUDE,ok,4,1,1,3,0
2-s2.0-105027587881,INCLUDE,ok,1,2,1,0,0
2-s2.0-105027856675,INCLUDE,ok,8,4,4,4,0
2-s2.0-105027959122,INCLUDE,ok,1,1,1,0,0
2-s2.0-105028205558,INCLUDE,ok,1,1,1,0,0
2-s2.0-105028851691,INCLUDE,ok,1,2,1,0,1
2-s2.0-105029346542,INCLUDE,ok,1,1,1,0,0
2-s2.0-105029413645,INCLUDE,ok,6,7,6,0,1
2-s2.0-105029521599,INCLUDE,ok,1,3,1,0,1
2-s2.0-105030082417,INCLUDE,ok,2,2,2,0,0
2-s2.0-105030444680,EXCLUDE,ok,1,0,0,1,0
2-s2.0-105030827603,EXCLUDE,ok,0,0,0,0,0
2-s2.0-105031067442,INCLUDE,ok,1,1,1,0,0
2-s2.0-105031357857,INCLUDE,ok,2,2,2,0,0
2-s2.0-105031731355,INCLUDE,ok,4,4,4,0,0
2-s2.0-105031841007,INCLUDE,ok,2,1,1,1,0
2-s2.0-105032107446,INCLUDE,ok,1,1,1,0,0
2-s2.0-105032159703,INCLUDE,ok,1,1,1,0,0
2-s2.0-105032253077,INCLUDE,abstract_only,1,1,1,0,0
2-s2.0-105032501759,INCLUDE,ok,1,2,1,0,0
2-s2.0-105032691304,INCLUDE,ok,1,1,1,0,0
2-s2.0-105033611630,INCLUDE,ok,1,2,1,0,0
2-s2.0-105034745484,INCLUDE,ok,2,4,2,0,2
2-s2.0-105035036279,EXCLUDE,ok,0,0,0,0,0
2-s2.0-105035056055,INCLUDE,ok,3,3,2,1,1
2-s2.0-105035324985,INCLUDE,ok,1,1,1,0,0
2-s2.0-105036232690,INCLUDE,ok,1,1,1,0,0
2-s2.0-105037111223,INCLUDE,abstract_only,1,1,1,0,0
2-s2.0-105037482660,EXCLUDE,ok,0,0,0,0,0
2-s2.0-105038091134,INCLUDE,ok,1,2,1,0,1
2-s2.0-105038138985,INCLUDE,ok,2,2,2,0,0
2-s2.0-105038215392,EXCLUDE,ok,0,0,0,0,0
2-s2.0-105038809389,INCLUDE,ok,1,1,1,0,0
2-s2.0-105039619015,INCLUDE,ok,2,5,2,0,1
2-s2.0-105040026420,EXCLUDE,ok,0,0,0,0,0
2-s2.0-105040091272,INCLUDE,ok,0,2,0,0,0
2-s2.0-105040346162,INCLUDE,ok,2,2,2,0,0
2-s2.0-105040997538,INCLUDE,ok,2,2,2,0,0
2-s2.0-33645965882,INCLUDE,ok,1,1,1,0,0
2-s2.0-42649109723,INCLUDE,ok,1,1,0,1,1
2-s2.0-78649725192,INCLUDE,ok,1,1,1,0,0
2-s2.0-84863599686,INCLUDE,ok,3,2,2,1,0
2-s2.0-84883291462,INCLUDE,ok,1,1,0,1,1
2-s2.0-84903975957,INCLUDE,ok,2,2,2,0,0
