id,blind_screen,text_status,n_ours,n_blind,matched,missed,omission_candidates
2-s2.0-105004472114,INCLUDE,ok,2,5,2,0,3
2-s2.0-105009525075,INCLUDE,ok,0,0,0,0,0
2-s2.0-85145196122,INCLUDE,ok,2,2,2,0,0
W3171657220,INCLUDE,ok,1,1,1,0,0
W4210350805,INCLUDE,ok,5,5,4,1,1
W4306960737,INCLUDE,ok,3,4,2,1,0
W4313324568,INCLUDE,ok,2,1,1,1,0
W4318617911,INCLUDE,ok,1,2,1,0,1
W4383851554,INCLUDE,ok,1,1,1,0,0
W4385325063,INCLUDE,ok,1,1,1,0,0
W4389633384,INCLUDE,ok,1,1,1,0,0
W4400887711,INCLUDE,ok,1,1,1,0,0
W4409319996,EXCLUDE,ok,1,0,0,1,0
W4414259328,INCLUDE,ok,1,1,1,0,0
W4414351820,INCLUDE,ok,1,1,1,0,0
W4417119300,INCLUDE,ok,1,1,1,0,0
W7117302408,INCLUDE,ok,1,1,1,0,0
W7162938155,INCLUDE,ok,1,1,1,0,0
W7163821603,INCLUDE,abstract_only,1,1,1,0,0
W7166447493,INCLUDE,ok,1,1,1,0,0
W7168027278,INCLUDE,ok,2,6,2,0,4
W7170181457,INCLUDE,ok,4,4,4,0,0
W7171843315,INCLUDE,ok,1,1,1,0,0
scholar_02,INCLUDE,ok,4,4,2,2,2
scholar_04,INCLUDE,ok,3,7,2,1,0
scholar_07,INCLUDE,ok,0,0,0,0,0
scholar_09,EXCLUDE,ok,0,0,0,0,0
scholar_10,INCLUDE,ok,0,6,0,0,4
