source,oaid,doi,year,title,ruling,construct_guess
first_pass_INCLUDE,W7110905629,10.1093/jsxmed/qdaf320.094,2025,(094) Hung up on Size: A Cross-Platform Analysis of Penis Size Perceptions on Social Media,INCLUDE,
first_pass_INCLUDE,W7151983490,10.1093/jsxmed/qdag063.114,2026,(123) Menopause Goes Viral: The Quality and Credibility of TikTok’s Health Content,INCLUDE,
first_pass_INCLUDE,W3171657220,10.33260/zictjournal.v5i1.101,2021,5G Awareness and its Link to COVID-19: Case of Zambians with Access to Internet,INCLUDE,
first_pass_INCLUDE,W4306960737,10.48083/hmug9514,2022,A Quality Assessment of Information Available on Renal Cancer on YouTube,INCLUDE,
first_pass_INCLUDE,W4389633384,10.1515/ohe-2023-0015,2023,A Tumblr thematic analysis of perinatal health: Where users go to seek support,INCLUDE,
first_pass_INCLUDE,W4383851554,10.18231/j.jchm.2023.015,2023,A web-based cross-sectional observational study on the analysis of information on diabetes on a social media platform (Instagram),INCLUDE,
first_pass_INCLUDE,W4310690307,10.36849/jdd.6707,2022,An Analysis of Alopecia Related Content on Instagram and TikTok,INCLUDE,
first_pass_INCLUDE,W4225336103,10.1504/ijads.2022.120263,2022,"An empirical study on internet-based false news stories: experiences, problem awareness and responsibilities",INCLUDE,
first_pass_INCLUDE,W7170181457,10.2196/90088,2026,Assessing Alopecia Areata Misinformation: Social Media Analysis,INCLUDE,
first_pass_INCLUDE,W4395009973,10.7759/cureus.58710,2024,Assessment of the Quality and Reliability of Content Available on YouTube About Palpitations,INCLUDE,
first_pass_INCLUDE,W4296755342,10.54501/jots.v1i4.72,2022,Auditing Google's Search Headlines as a Potential Gateway to Misleading Content,INCLUDE,
first_pass_INCLUDE,W4210350805,10.47851/naujocommed.v2i1.121,2021,BELIEVABILITY OF SOCIAL MEDIA POSTS: A STUDY OF ALLEGED FORCEFUL INJECTION OF MONKEY POX VIRUS IN SCHOOL CHILDREN,INCLUDE,
first_pass_INCLUDE,W4411346129,10.18203/2349-3291.ijcp20251772,2025,Behind the hashtags: a review of Instagram posts on pediatric ADHD,INCLUDE,
first_pass_INCLUDE,W7162464017,10.1177/29768624261452529,2026,"Beyond the share button: How partisan alignment, journalistic quality, and algorithmic governance shape what millions see on Facebook",INCLUDE,
first_pass_INCLUDE,W3151893370,10.20935/al799,2021,COVID-19 infodemic and misinfodemic: A tale of India,INCLUDE,
first_pass_INCLUDE,W7133549571,10.5210/spir.v2024i0.15069,2026,CULTURAL BAIT: KWAI’S COLD START ALGORITHM AND THE INSTRUMENTALIZATION OF BRAZILIAN CULTURE,INCLUDE,
first_pass_INCLUDE,W4415247114,10.37432/jieph-confpro5-00281,2025,Combating infodemics: Evaluating the role of accurate health reporting during Lassa fever outbreaks in West Africa,INCLUDE,
first_pass_INCLUDE,W4281563345,10.1177/18333583221090579,2022,"Comprehensiveness, accuracy, quality, credibility and readability of online information about knee osteoarthritis",INCLUDE,
first_pass_INCLUDE,W3159651393,,2021,Confronting strategies in COVID-19 pandemic among health students,INCLUDE,
first_pass_INCLUDE,W3033516737,10.7176/nmmc.vol9023-34,2020,"Coronavirus (COVID-19)""infodemic"" in the Social Media: A Survey of Kenya International Students in China",INCLUDE,
first_pass_INCLUDE,W4296719610,10.25159/2663-659x/8316,2022,Covid-19 Information Behaviour of Social Media Users in Nigeria,INCLUDE,
first_pass_INCLUDE,W7168027278,10.5281/zenodo.21309014,2026,DIGITAL BATTLE FOR TRUTH: MISINFORMATION ON SOCIAL MEDIA AND THE CRISIS OF YOUTH EVANGELISATION IN THE NIGERIAN CATHOLIC CHURCH,INCLUDE,
first_pass_INCLUDE,W4400887711,10.1111/srt.13877,2024,Descaling psoriasis narratives on TikTok: A cross‐sectional study,INCLUDE,
first_pass_INCLUDE,W4318617911,10.21134/mhjournal.v14i.1811,2023,Desórdenes informativos y polarización afectiva: en un análisis de las emociones en publicaciones con desinformación en tres conflictos políticos brasileños en Twitter.,INCLUDE,
first_pass_INCLUDE,W4414439834,10.1016/j.ajpc.2025.101139,2025,"EVALUATING THE QUALITY, ACCURACY AND HEALTH IMPACT OF CHOLESTEROL-RELATED CONTENT ON TIKTOK: A SOCIAL MEDIA ANALYSIS",INCLUDE,
