decision,oaid,doi,year,title,reason
INCLUDE,W7110905629,10.1093/jsxmed/qdaf320.094,2025,(094) Hung up on Size: A Cross-Platform Analysis of Penis Size Perceptions on Social Media,content analysis coding share of posts as misinformation
INCLUDE,W7151983490,10.1093/jsxmed/qdag063.114,2026,(123) Menopause Goes Viral: The Quality and Credibility of TikTok’s Health Content,content analysis of 155 TikTok menopause videos for misinformation
INCLUDE,W3171657220,10.33260/zictjournal.v5i1.101,2021,5G Awareness and its Link to COVID-19: Case of Zambians with Access to Internet,survey: 62% of 258 heard 5G-COVID conspiracy
INCLUDE,W4306960737,10.48083/hmug9514,2022,A Quality Assessment of Information Available on Renal Cancer on YouTube,120 YouTube videos rated for misinformation level
INCLUDE,W4389633384,10.1515/ohe-2023-0015,2023,A Tumblr thematic analysis of perinatal health: Where users go to seek support,"235 Tumblr posts, 3% misinformation"
INCLUDE,W4383851554,10.18231/j.jchm.2023.015,2023,A web-based cross-sectional observational study on the analysis of information on diabetes on a social media platform (Instagram),content prevalence; misinformation in 19 of 448 Instagram posts
INCLUDE,W4310690307,10.36849/jdd.6707,2022,An Analysis of Alopecia Related Content on Instagram and TikTok,content analysis; share of posts not evidence-based
INCLUDE,W4225336103,10.1504/ijads.2022.120263,2022,"An empirical study on internet-based false news stories: experiences, problem awareness and responsibilities",student survey of self-reported false-news experiences and perceptions
INCLUDE,W7170181457,10.2196/90088,2026,Assessing Alopecia Areata Misinformation: Social Media Analysis,"content analysis of 320 YouTube/TikTok videos, share misinformed"
INCLUDE,W4395009973,10.7759/cureus.58710,2024,Assessment of the Quality and Reliability of Content Available on YouTube About Palpitations,71 YouTube videos with share accurately describing aetiology
INCLUDE,W4296755342,10.54501/jots.v1i4.72,2022,Auditing Google's Search Headlines as a Potential Gateway to Misleading Content,5600 coded search headlines; delegitimizing content prevalence
INCLUDE,W4210350805,10.47851/naujocommed.v2i1.121,2021,BELIEVABILITY OF SOCIAL MEDIA POSTS: A STUDY OF ALLEGED FORCEFUL INJECTION OF MONKEY POX VIRUS IN SCHOOL CHILDREN,survey reports share exposed to and believing false posts
INCLUDE,W4411346129,10.18203/2349-3291.ijcp20251772,2025,Behind the hashtags: a review of Instagram posts on pediatric ADHD,content prevalence; 761 Instagram ADHD posts coded for relevance/reliability
INCLUDE,W7162464017,10.1177/29768624261452529,2026,"Beyond the share button: How partisan alignment, journalistic quality, and algorithmic governance shape what millions see on Facebook","130k Facebook URLs, views by journalistic quality/credibility"
INCLUDE,W3151893370,10.20935/al799,2021,COVID-19 infodemic and misinfodemic: A tale of India,survey reports noticing and 9.8% sharing misinformation
INCLUDE,W7133549571,10.5210/spir.v2024i0.15069,2026,CULTURAL BAIT: KWAI’S COLD START ALGORITHM AND THE INSTRUMENTALIZATION OF BRAZILIAN CULTURE,"4000 Kwai posts coded, misinformation share 9.49%"
INCLUDE,W4415247114,10.37432/jieph-confpro5-00281,2025,Combating infodemics: Evaluating the role of accurate health reporting during Lassa fever outbreaks in West Africa,180 media items coded plus ~half of 300 recalled false claims
INCLUDE,W4281563345,10.1177/18333583221090579,2022,"Comprehensiveness, accuracy, quality, credibility and readability of online information about knee osteoarthritis","share of website content coded inaccurate, 35 sites"
INCLUDE,W3159651393,,2021,Confronting strategies in COVID-19 pandemic among health students,survey reports 73% of students received fake news
INCLUDE,W3033516737,10.7176/nmmc.vol9023-34,2020,"Coronavirus (COVID-19)""infodemic"" in the Social Media: A Survey of Kenya International Students in China",survey of students on COVID-19 misinformation on social media
INCLUDE,W4296719610,10.25159/2663-659x/8316,2022,Covid-19 Information Behaviour of Social Media Users in Nigeria,survey of 348 users; misinformation encountered share
INCLUDE,W7168027278,10.5281/zenodo.21309014,2026,DIGITAL BATTLE FOR TRUTH: MISINFORMATION ON SOCIAL MEDIA AND THE CRISIS OF YOUTH EVANGELISATION IN THE NIGERIAN CATHOLIC CHURCH,survey n=500; 75% report frequent misleading religious content
INCLUDE,W4400887711,10.1111/srt.13877,2024,Descaling psoriasis narratives on TikTok: A cross‐sectional study,share of 134 TikTok psoriasis videos coded unreliable
INCLUDE,W4318617911,10.21134/mhjournal.v14i.1811,2023,Desórdenes informativos y polarización afectiva: en un análisis de las emociones en publicaciones con desinformación en tres conflictos políticos brasileños en Twitter.,shares of 300 most-shared tweets coded as disinformation
INCLUDE,W4414439834,10.1016/j.ajpc.2025.101139,2025,"EVALUATING THE QUALITY, ACCURACY AND HEALTH IMPACT OF CHOLESTEROL-RELATED CONTENT ON TIKTOK: A SOCIAL MEDIA ANALYSIS",accuracy coding of 200 TikTok videos
INCLUDE,W7169810138,10.1016/j.ajem.2026.07.033,2026,Erotic asphyxia: Dangerous misinformation and poor-quality content on YouTube,YouTube content analysis of misinformation and quality
INCLUDE,W3135294751,10.29337/ijdh.25,2021,Evaluation of COVID-19 Information Provided by Digital Voice Assistants,accuracy scores for voice-assistant COVID answers
INCLUDE,W4389573200,10.58624/svoapd.2023.02.052,2023,Evaluation of Covid-19 Vaccine Sentiment on TikTok from 2020 to 2022,"codes 284 TikTok videos, share anti-vaccine"
INCLUDE,W7117302408,10.62569/fijc.v2i4.234,2025,From Awareness to Compliance Government Social Media Communication and Citizens’ Behaviour toward NIN–SIM Registration in Nigeria,survey reports 69% exposed to misinformation
INCLUDE,W7168358815,10.3389/fnut.2026.1886906,2026,From labels to influencers: evaluating the alignment of nitrate and beetroot juice claims on sports supplement marketing with scientific consensus,share of 18 marketed products with claims misaligned with evidence
INCLUDE,W7155035849,10.1177/14614448261435124,2026,"Growing up with misinformation: A mixed-methods study of the perceptions, experiences, and responses among the 5- to 12-year-olds",survey of 401 Danish children on perceived misinformation encounters
INCLUDE,W4283660595,10.1007/s11192-022-04382-x,2022,How accurate are news mentions of scholarly output? A content analysis,content analysis of accuracy of news mentions of research
INCLUDE,W4312318885,10.31294/jkom.v13i1.11951,2022,"Infodemi COVID-19 dengan Peran Social Media Fatigue, Deficient Self-Regulation, dan Promosi Diri",survey of self-reported COVID misinformation sharing
INCLUDE,W3134591638,10.21608/sjam.2021.58866.1043,2021,Infodemic on Social Media : An analysis of Egyptians’ information behaviors during COVID-19,survey reports 83.6% faced COVID fake news
INCLUDE,W7172524440,10.24818/ea/2026/73/940,2026,Informational Sustainability – An Analysis Regarding the Impact of Fake News Phenomenon on Decision-Making and Consumer Behavior,survey n=1064 measuring self-reported exposure to fake news
INCLUDE,W7169124620,10.1080/21670811.2026.2700585,2026,"Is Misinformation All Around Us? Citizens’ Perceptions of Misinformation Nearness Regarding Its Span, Availability, and Accessibility","survey of perceived misinformation exposure/nearness, N=1396"
INCLUDE,W7208715671,10.1002/hsr2.73192,2026,"Medication‐Related Information on Social Media: Exploring Public Trust, Perceptions of Credibility, and Influence on Behavior",61.7% of 501 adults encountered false medication information
