id,disposition,stage,title
W1129176898,ARM_EXCLUDED_ABSTRACT,abstract,Antenatal information sources for maternal and infant diet.
W1672733492,ARM_EXCLUDED_ABSTRACT,abstract,"Tamamlayıcı alternatif tıp ile ilgili gazete haberlerinin gazetecilik, halk sağlığı ve tıbbi etik boyutuyla değerlendirilmesi1"
W1972947958,ARM_NOT_RETRIEVED,retrieval,Families Ask Because They Need Answers
W2002963872,ARM_NOT_RETRIEVED,retrieval,Living in the Modern World of Social Media
W2031136850,ARM_EXCLUDED_FULL_TEXT,full text,More than meets the eye
W2039024181,ARM_EXCLUDED_ABSTRACT,abstract,Mobile health applications for asthma
W2052303061,ARM_EXCLUDED_ABSTRACT,abstract,Twitter‐based information distribution during the 2009 Red River Valley flood threat
W2121458613,ARM_NOT_RETRIEVED,retrieval,Change you can count on
W2131717922,ARM_NOT_RETRIEVED,retrieval,Justifiable deception in everyday practice
W2282449574,ARM_EXCLUDED_ABSTRACT,abstract,Dermatology in Doximity
W2320650257,ARM_NOT_RETRIEVED,retrieval,Show me the data
W2320668124,ARM_NOT_RETRIEVED,retrieval,Snake Invasion: Evaluation of an Online News Frenzy
W2338956363,ARM_EXCLUDED_ABSTRACT,abstract,"Crowdwork, crisis and convergence: how the connected crowd organizes information during mass disruption events"
W2344262716,ARM_NOT_RETRIEVED,retrieval,Social Media and Unfounded Health Beliefs: An Assessment of Participants' Response to Health Posts on Epidemics
W2563677521,ARM_EXCLUDED_ABSTRACT,abstract,"One Step Forward, One Step Back: Changes in News Coverage of Medical Interventions"
W2595250622,ARM_NOT_RETRIEVED,retrieval,Lessons from the controversy over statins
W2617152350,ARM_NOT_RETRIEVED,retrieval,The Year of Living Alternative Factually
W2791367039,ARM_EXCLUDED_ABSTRACT,abstract,'Alternative fact' narrative influencing tobacco control: a case study of tobacco industry interference in print media
W2804236375,ARM_NOT_RETRIEVED,retrieval,Demand for Online News under Government Control
W2804339869,ARM_EXCLUDED_ABSTRACT,abstract,Critical thinking of young citizens towards news headlines in Chile
W2886210379,ARM_EXCLUDED_ABSTRACT,abstract,Post-Truth Protest: How 4chan Cooked Up the Pizzagate Bullshit
W2896747101,ARM_EXCLUDED_ABSTRACT,abstract,MINING FACEBOOK PAGE FOR BI-PARTISAN ANALYSIS
W2903903405,ARM_NOT_RETRIEVED,retrieval,The tactics & tropes of the Internet Research Agency
W2913276738,ARM_EXCLUDED_ABSTRACT,abstract,"Disinformation and digital influencing after terrorism: spoofing, truthing and social proofing"
W2917182147,ARM_EXCLUDED_ABSTRACT,abstract,"Big Data, Small Data, Broken Windows and Fear Discourse: Brexit, the EU and the Majority Illusion"
W2917790100,ARM_EXCLUDED_ABSTRACT,abstract,A Tangled Web: Should Online Review Portals Display Fraudulent Reviews?
W2927878794,ARM_EXCLUDED_ABSTRACT,abstract,An Exploratory Study on the Formal Requirements of ‘Fact’ Suggestion through Analysis of SNU FactCheck Information Metadata
W2954806192,ARM_EXCLUDED_ABSTRACT,abstract,Representação da informação noticiosa pelas agências de fact-checking: do acesso à informação ao excesso de informação
W2964538246,ARM_EXCLUDED_ABSTRACT,abstract,Quality and readability of online information on ankylosing spondylitis
W2965560451,ARM_EXCLUDED_ABSTRACT,abstract,Thematic Analysis of the Organ Transplantation News in Turkish Press
W2965723438,ARM_EXCLUDED_ABSTRACT,abstract,De la ironía a la militancia : los memes de internet como arma política en la campaña presidencial colombiana del 2018
W2965916618,ARM_EXCLUDED_FULL_TEXT,full text,Social Media Outrage in Response to a School-Based Substance Use Survey: Qualitative Analysis
W2974446869,ARM_EXCLUDED_ABSTRACT,abstract,Understanding Social Media’s Role in Propagating Falsehood in Conflict Situations: Case of the Cameroon Anglophone Crisis
W2981997775,ARM_EXCLUDED_ABSTRACT,abstract,Public Perception of the Role of Facebook Usage in Political Campaign in Nigeria
W2986533913,ARM_EXCLUDED_ABSTRACT,abstract,Role of Social Media in vaccination debate about HPV: the VAC Medi+Board study
W2991201953,ARM_EXCLUDED_ABSTRACT,abstract,Deep strategic mediatization: Organizational leaders’ knowledge and usage of social bots in an era of disinformation
W2991713571,ARM_EXCLUDED_ABSTRACT,abstract,The impact of social media news on the health perception of society
W3001303185,ARM_NOT_RETRIEVED,retrieval,What’s On Your Mind? I Need Help: Identifying Social Media Resources Available to Caregivers of ALS Patients (S747)
W3016939727,ARM_EXCLUDED_ABSTRACT,abstract,Reporting quality and spin in abstracts of randomized clinical trials of periodontal therapy and cardiovascular disease outcomes
