id,construct,our_value,blind_value,blind_quote
2-s2.0-105017599346,EXPOSURE,25,20-30 (measure_type was blank; headline low-quality figure),In Fig. 5F we show the change in the proportion of engagement directed at low-quality domains (quality bin lower than th
2-s2.0-105019533649,EXPOSURE,5.9,5.9,"On Facebook, 5.9% of our users’ news exposure comes from sources known for spreading misinformation"
2-s2.0-105029413645,EXPOSURE,3,3,This means low-credibility visits are a small proportion of all health visits (roughly 3%). ... Over the data collection
2-s2.0-85060549676,EXPOSURE,5.0,5.0,"When totaled across all panel members and the entire 2016 U.S. election season, 5.0% of aggregate exposures to political"
2-s2.0-85081743293,EXPOSURE,5.9,5.9,"In total, articles on these factually dubious websites represented an average of 5.9% of all of the articles that Americ"
2-s2.0-85083323285,EXPOSURE,0.15,0.15,fake news comprises only 0.15% of Americans' daily media diet.
2-s2.0-85085201199,EXPOSURE,24.1,24.1,Non-­factual videos accounted for 24.1% of the total viewership for a total of 62 042 609 views.
2-s2.0-85111545521,EXPOSURE,1.19,1.19,The mean number of visits across respondents was 1.19 (SD = 3.60) and the range was from 0 to 49 sites visited.
2-s2.0-85114317455,EXPOSURE,6.9,6.9,"Junk news saw an increased share of external links, from 6.9% in chronological timelines to 9.9% in algorithmic timeline"
2-s2.0-85121019757,EXPOSURE,2.5,2.5,"Following this procedure, we found that 2.5% of clicks were to fake news, 24% of clicks were to not-fake news, and 74% o"
2-s2.0-85127039075,EXPOSURE,11.0,11.0,Thirteen videos (10.7%) contained non-­factual informa­tion and accounted for 11.0% of total viewership
2-s2.0-85160248068,EXPOSURE,2.05,2.05,"unreliable news was less prevalent in the URLs they were exposed to on Google Search (2.05% in 2018, 0.72% in 2020) ... "
2-s2.0-85162702221,EXPOSURE,0.16,0.16,Fake news share of pages liked: ... Calculated for all pages (M = 0.16%; SD = 0.79%; range = 0.00%–11.11%) and only code
2-s2.0-85194075145,EXPOSURE,5.1,5.1,It shows that 5.1% of news posts users are exposed to are from news sources known for repeatedly spreading misinformatio
2-s2.0-85209206311,EXPOSURE,0.1461,1461,news deserts appear to view less low-quality information per million requests (median=721) than locations with two or mo
2-s2.0-85209547248,EXPOSURE,0.16,0.16,"For the median exposed person, only 0.16% of their news diet consisted of QAnon websites (95% quantile CI = .005, 2.8%) "
SEED-allcott2017,EXPOSURE,5,5.0,"For the month around the 2016 election, there were 159 million impressions on the 65 websites in the bottom part of Figu"
SEED-cordonnier2021,EXPOSURE,0.16,5,"Among all participants, 5% of connected time dedicated to information was spent consulting information sources considere"
W4293124965,EXPOSURE,3.36,2.28 (2020; 2.3 overall 2017-2021),"In 2020, generally untrustworthy news outlets, as rated by NewsGuard, accounted for 2.28% of the web traffic to news out"
W7146985142,EXPOSURE,0.75,0.75,the share of visits to untrustworthy news outlets among all news visits—in the raw data 0.75% in 2017 and 0.52% in 2024
2-s2.0-105002155467,CONCENTRATION,65.3,65.3,"This 1% of the panelists are responsible for visiting 65.3% of all unreliable pages in our data; by contrast, 1% of the "
2-s2.0-85078014559,CONCENTRATION,90,90 (top ~20% of sharers -> >90%),"In fact, approximately 20% of the community (∼4k users) accounts for more than 90% of total tweets (∼330k), in accordanc"
2-s2.0-85105454127,CONCENTRATION,75,75,1% of the panelists are responsible for sharing about 75% of all links to fake news publishers and 11% of them are respo
2-s2.0-85145956359,CONCENTRATION,70,70,exposure to Russian disinformation accounts was heavily concentrated: only 1% of users accounted for 70% of exposures.
