id,title
2-s2.0-105035000208,Disinformation in the Turkish Media Landscape: A Thematic Analysis of Teyit.org 
2-s2.0-85048127619,Spreading the (Fake) News: Exploring Health Messages on Social Media and the Imp
2-s2.0-105022112843,AI-Driven Disinformation and Political Influence on WhatsApp in South Africa’s 2
2-s2.0-105018016020,Quality of Cancer-Related Information on New Media (2014-2023): Systematic Revie
2-s2.0-85115731976,Information Cascade Mechanism and Measurement of Indonesian Fake News
2-s2.0-85144978737,"The Prevalence, Features, Influencing Factors, and Solutions for COVID-19 Vaccin"
2-s2.0-85186607228,A qualitative review of social media sharing and the 2022 monkeypox outbreak: di
2-s2.0-85102907678,Crowdfunding Campaigns and COVID-19 Misinformation
2-s2.0-85151113840,Realfood and Cancer: Analysis of the Reliability and Quality of YouTube Content
2-s2.0-85187889353,Unveiling misinformation on YouTube: examining the content of COVID-19 vaccinati
2-s2.0-85093962844,Can the damage be undone? analyzing misinformation during COVID-19 outbreak in I
2-s2.0-105012175920,What do people search online about sciatica? What answers do they get from Dr. G
2-s2.0-85215817889,The Interaction of University Youth with Fake News and its Circulation on Social
2-s2.0-85121973418,Tracking Private WhatsApp Discourse about COVID-19 in Singapore: Longitudinal In
2-s2.0-85187688869,An exploratory analysis of COVID bot vs human disinformation dissemination stemm
2-s2.0-105040104285,Infodemiology Analysis of Toothache-Related Posts on Instagram
2-s2.0-85133711848,The Disinformation Dozen: An Exploratory Analysis of Covid-19 Disinformation Pro
2-s2.0-85093701917,The sources and correlates of exposure to vaccine-related (mis)information onlin
2-s2.0-105041406388,"Awareness, discussion, and understanding of interventional radiology Procedures "
2-s2.0-85183913419,Cyber-enabled influence operations as a ‘center of gravity’ in cyberconflict: Th
2-s2.0-85099979571,Prevalence of health misinformation on social media: Systematic review
2-s2.0-85138264705,Rumors in Retweet: Ideological Asymmetry in the Failure to Correct Misinformatio
2-s2.0-85143439392,COVID-19 Infodemic: A study on the Fragile Five countries
2-s2.0-105038578898,Exposure to health misinformation on social media across key health domains: a s
2-s2.0-85046071518,Anatomy of an online misinformation network
2-s2.0-85134791169,A scoping review of COVID-19 online mis/disinformation in Black communities
2-s2.0-105025453005,Americans overestimate how many social media users post harmful content
W4389030450,Polarisation and Disinformation Content from Spanish Political Actors on Twitter
2-s2.0-85087834513,An exploration of how fake news is taking over social media and putting public h
2-s2.0-85168257899,Text mining online disinformation about antihypertensive agents ACEI/ARB and COV
2-s2.0-85201063575,TikTok content on measles-rubella vaccine in Jordan: A cross-sectional study hig
W3171059312,COVID-19-related misinformation on social media: a systematic review
