eid,reason,has_fulltext,doi
2-s2.0-85195908941,quantifies propaganda narrative spread on Twitter,N,10.1140/epjds/s13688-024-00479-w
2-s2.0-85205355466,topic modeling 25561 posts quantifies AH/misinfo content,N,10.1089/cyber.2024.0184
2-s2.0-85109490970,quantifies online availability/demand of misinfo product,N,10.3390/ijerph18147475
2-s2.0-85145380036,quantifies volume of vaccine coverage in news,N,10.2196/35121
2-s2.0-85075158656,Quantifies hyperpartisan/fake-news audience engagement share online,N,10.1177/1461444819887700
2-s2.0-85086013022,Quantifies hoax spread network actors on Twitter,N,10.1109/ICECOS47637.2019.8984526
2-s2.0-85085551012,Quantifies COVID misinformation content among anti-vax online,N,10.1109/ACCESS.2020.2993967
2-s2.0-105016877141,Quantifies fluoridation misinformation sentiment across 109k posts,N,10.1177/23800844251369336
2-s2.0-105033491734,quantifies fact-checked health misinformation content shared,N,10.5007/1518-2924.2019.e98810
2-s2.0-85151884159,measures COVID misinformation prevalence on WhatsApp diaspora,N,10.2196/38607
2-s2.0-85191845819,quantifies coordinated IO tweets/users dataset prevalence,N,10.1109/ACCESS.2024.3393482
2-s2.0-85191293693,quantifies misinfo prevalence across social platforms,N,10.2196/44726
2-s2.0-85183930378,quantifies fake engagement market on Instagram,N,10.1177/20563051231224721
2-s2.0-105009756135,monitors ad placement volume on disinfo pseudomedia,N,10.14198/MEDCOM.29240
2-s2.0-105030392165,quantifies coordinated inauthentic behavior diffusion,N,10.1177/08944393261427645
2-s2.0-85108094039,maps malicious content spread across platforms quantitatively,N,10.1038/s41598-021-89467-y
2-s2.0-105009245125,analyzes info flows/misinformative content Telegram quantitatively,N,10.1145/3701716.3717542
2-s2.0-85056355953,large-scale credibility database 47M tweets attention dynamics,N,10.1145/3134715
2-s2.0-85147312344,measures far-right news/disinfo sharing on social media,N,10.1080/1369118X.2023.2166796
2-s2.0-85126869931,characterizes bot disinformation behaviour quantitatively during Brexit,N,10.1140/epjds/s13688-022-00330-0
2-s2.0-105012962323,content analysis of cancer misinformation circulation on TikTok,N,10.1163/21659214-bja10158
2-s2.0-105018253751,descriptive content analysis of TikTok parenting videos,N,10.1002/hpja.70115
2-s2.0-85216935416,analyzes actual situation bots/echo chambers disinformation Japan,N,10.1109/CANDAR64496.2024.00014
2-s2.0-85187708365,observed sharing behavior novelty/belief on Twitter,N,10.1038/s41598-024-56086-2
2-s2.0-105013072708,226k misinformation instances analyzed for patterns/themes,N,10.1109/ICETCI64844.2025.11084168
2-s2.0-105024557609,analysis of 20 viral deepfakes spread on X,N,10.31876/rcs.v31i4.44850
2-s2.0-85146749866,quantitative typology/patterns health hoaxes spread COVID,N,10.3989/arbor.2022.806005
2-s2.0-85124460646,collects/analyzes sponsored disinformation ads Australia,N,10.1145/3503516.3503533
2-s2.0-85124177469,analyzes vaccine misinformation messages on Twitter,N,10.1080/21645515.2022.2026711
2-s2.0-85104154603,51k anti-mask tweets analyzed topics and cases,N,10.2196/26780
2-s2.0-85145308535,investigates influential actors discourse vaccine misinfo Twitter,N,10.2196/34231
2-s2.0-85213225521,news consumption patterns survey 10153 across countries,N,10.7195/ri14.v22i2.2178
2-s2.0-85152047531,characterizing low-credibility website ecosystem content patterns,N,10.1109/ASONAM55673.2022.10068660
2-s2.0-85198929449,quantifies share/visibility of media in search results,N,10.4185/rlcs-2025-2336
2-s2.0-105022617434,quantifies algorithmic amplification of conspiracy content on X,N,10.1177/13691481251391636
2-s2.0-105008544403,quantifies propagation of content across 61840 tweets,N,10.5209/emp.100391
2-s2.0-85106240847,measures top Instagram misinformation posts cobranding prevalence,N,10.1089/cyber.2020.0663
2-s2.0-85101166140,users and uses of alternative disinformation media,N,10.17645/mac.v9i1.3418
2-s2.0-85026760600,tracked 330538 rumor tweets,N,10.1177/1461444816634054
2-s2.0-85092497520,quantifies Zika misinformation dissemination vs real info,N,10.2105/AJPH.2020.305854
2-s2.0-85122186919,corpus frequency of disinformation keywords/topics,N,10.17323/JLE.2021.13371
2-s2.0-85136734499,quantifies bot-driven misinformation tweet prevalence COVID,N,10.2196/36085
2-s2.0-85115060846,media bias exposure linked to COVID incidence,N,10.1136/bmjgh-2021-006798
2-s2.0-84938197196,longitudinal health misinfo exposure measured over time,N,10.1111/jcom.12163
2-s2.0-85110362081,measures volume/content of media risk messages,N,10.12688/wellcomeopenres.16744.1
2-s2.0-42649109723,counts press/online articles spreading health misinfo over time,N,10.1111/j.1471-1842.2007.00762.x
2-s2.0-105026391330,quantifies RT Deutsch disinfo content via topic modeling,N,10.1080/09589236.2025.2600394
2-s2.0-85132129630,quantifies fact-check post volume on COVID misinfo,N,10.15847/obsOBS16120221823
2-s2.0-85097414955,measures content/views of YouTube vaccine videos,N,10.1080/21645515.2020.1790280
2-s2.0-85197543520,quantifies quality/misinfo of pediatric TikTok videos with views,N,10.1002/lary.31617
2-s2.0-85133563546,analyzes thousands conspiracy/debunking videos engagement,N,10.1177/14614448221105877
2-s2.0-85140658027,classifies anti/pro vaccine tweet volumes over time,N,10.3390/tropicalmed7100256
2-s2.0-105012581347,measures search interest and tweet volume on hMPV,N,10.1186/s12889-025-24017-z
2-s2.0-105008547319,quantifies disinformation sources/channels reported 260 cases,N,10.61211/mjqr100107
2-s2.0-85105199450,quantifies vaccine misinfo themes in Parler posts,N,10.3390/vaccines9050421
2-s2.0-85092456393,Quantifies fake news exposure across five Arab countries,N,10.1080/1461670X.2020.1827970
2-s2.0-85212244523,Measures prevalence of misleading content on TikTok,N,10.2196/60283
2-s2.0-85161896833,Quantifies/categorizes migration disinformation content cases,N,10.5209/esmp.82845
2-s2.0-85190284848,Quantifies views/shares/quality of TikTok health videos,N,10.1016/j.asmr.2024.100927
2-s2.0-85046297294,Cross-platform news consumption measurement during referendum,N,10.1109/DSAA.2017.33
2-s2.0-85216490128,Measures prevalence of media-bias accusations in tweets,N,10.1080/21670811.2024.2435574
2-s2.0-105008379775,Quality/prevalence of misleading content across platforms,N,10.5435/JAAOSGlobal-D-24-00335
2-s2.0-105005861794,Quantifies content/engagement of TikTok stretch-mark videos,N,10.2174/0118743722366578250311031652
2-s2.0-85192788469,Evaluates prevalence/quality of misinfo in YouTube videos,N,10.1016/j.ssmph.2024.101677
2-s2.0-85046934766,Observed engagement/spread of false rumors on Twitter,N,10.1145/3173574.3173679
2-s2.0-85177203020,Quantifies spread of disaster misinformation on Twitter,N,10.1080/24694452.2023.2271549
2-s2.0-84968862688,Quantitative spread measures of four Twitter rumors,N,10.1145/2675133.2675280
2-s2.0-105035463968,Quantifies misinformation prevalence in 233 videos,N,10.1038/s41598-026-42412-3
2-s2.0-85181846675,Prevalence of COVID misinformation endorsement,N,10.1371/journal.pone.0296752
2-s2.0-105040838279,Largest longitudinal corpus Brazil vaccine misinfo prevalence,N,10.1145/3795766.3799768
2-s2.0-85129840693,Quantifies ads on conspiracy channels concentration/monetization corpus,N,10.1145/3485447.3512142
2-s2.0-85159189243,Quantifies conspiracy tweets corpus N=313088 prevalence,N,10.1089/cyber.2022.0218
2-s2.0-85144558944,quantifies 29% bots in discussion,N,10.3390/ijerph192416376
2-s2.0-85084701683,tracks real propagation of fake vs real news,N,10.1140/epjds/s13688-020-00224-z
2-s2.0-85212679992,measures who shares fake news real posts,N,10.1177/00222437241281873
2-s2.0-85130066738,measures prevalence/spread of conspiracy theories,N,10.1177/13548565221091809
2-s2.0-105009378793,traces spread of info types Romania CrowdTangle,N,10.2478/mmcks-2025-0003
2-s2.0-105021733739,measures cross-platform spread of misinfo links,N,10.5117/9789463720762_CH04
2-s2.0-105006634611,geospatial analysis spread of COVID discourse,N,10.3390/ijerph22050668
2-s2.0-85213290533,large-scale analysis misinfo spread evolution Twitter,N,10.1016/j.chb.2024.108546
2-s2.0-85184803709,Quantified dataset of 14053 state-backed disinfo articles,N,10.18653/v1/2023.emnlp-main.349
2-s2.0-85201934055,Quantitative analysis of Russian disinfo campaign tweets,N,10.1007/s13278-024-01322-w
2-s2.0-85105426107,Reviews empirical literature on actual misinfo consumption,N,10.4324/9781003004431-34
