id,value_pct,field,ours,blind,our_quote,blind_quote
2-s2.0-105004472114,6.5,topic,general_news,politics_elections,the extent to which people are exposed to,"participants were categorized into four exposure groups: Unexposed (0), Mildly exposed (1–2), Moderately exposed (3–4), and Highly exposed (5–7)."
2-s2.0-105004472114,10,topic,general_news,politics_elections,the extent to which people are exposed to,A dummy variable (yes/no) was established to categorize all participants based on whether they shared at least one disinformation narrative out of seven which were presented.
2-s2.0-85145196122,1.1,ground_truth,fact_checker,researcher_coding,compared posts using the WHO fact-check page to adjudicate accuracy of content,The first batch of posts consisted of a 1% random sample of Tweets and Weibo posts created within 24 hours of the WHO declaration ... The second batch was a 1% random sample of Tweets and Weibo posts created 1 week after the WHO declaration (February
2-s2.0-85145196122,0.3,ground_truth,fact_checker,researcher_coding,compared posts using the WHO fact-check page to adjudicate accuracy of content,"With respect to Weibo, we used a large-scale COVID-19 social media data set that includes a total of over 40 million Weibo posts [20]. The data set, Weibo-COV, covers posts from December 1, 2019, to April 30, 2020"
W3171657220,62.9,ground_truth,self_report,researcher_coding,Random sampling was used to administer online questionnaire using various WhatsApp groups to get wide range of respondents. Only groups with participants from Zambia were used. ... A total of 258 respondents answered the online questionnaires.,The population of respondents came from members of the public with access to Internet. ... Random sampling was used to administer online questionnaire using Google Forms. The survey link was shared on Facebook and various WhatsApp groups to get wide 
W4210350805,100.0,ground_truth,self_report,researcher_coding,"Table 3 shows that of the total of 341 questionnaire copies distributed, 332 representing 97.4% were recovered as against 9 representing 2.6% that were not.","The population of the study was civil servants working in the State Secretariat, Awka, from where a sample of 341 was selected. ... Table 2 Sampling Frame ... TOTAL 3,222"
W4210350805,85.5,ground_truth,self_report,researcher_coding,"Table 8 shows that 85.5% of the respondents were exposed to the Army ""deadly vaccine"" report via the social media, while 14.5% were not.","Table 5 shows that 83.7% as against 16.3% of the respondents had access to Facebook, 78.9% had access to WhatsApp ... only 16.3% used Twitter"
W4210350805,65.7,ground_truth,self_report,researcher_coding,"Table 9 shows that 16.9% of the respondents were exposed to the Army ""deadly vaccine"" report via Facebook, 65.7% via WhatsApp, 3% via other platforms, while 14.5% gave no answer.","Table 9 shows that 16.9% of the respondents were exposed to the Army “deadly vaccine” report via Facebook, 65.7% via WhatsApp, 3% via other platforms, while 14.5% gave no answer."
W4210350805,16.9,ground_truth,self_report,researcher_coding,"Table 9 shows that 16.9% of the respondents were exposed to the Army ""deadly vaccine"" report via Facebook, 65.7% via WhatsApp, 3% via other platforms, while 14.5% gave no answer.","Table 9 shows that 16.9% of the respondents were exposed to the Army “deadly vaccine” report via Facebook, 65.7% via WhatsApp"
W7117302408,69,classification_level,mixed,claim_level,"Participants were selected through availability sampling due to the heterogeneity of the urban population and practical constraints associated with large-scale field surveys. ... Out of the 384 questionnaires administered, 371 were successfully retri","Participants were selected through availability sampling due to the heterogeneity of the urban population and practical constraints associated with large-scale field surveys. ... Out of the 384 questionnaires administered, 371 were successfully retri"
W7117302408,69,topic,politics_elections,other,"Participants were selected through availability sampling due to the heterogeneity of the urban population and practical constraints associated with large-scale field surveys. ... Out of the 384 questionnaires administered, 371 were successfully retri","Participants were selected through availability sampling due to the heterogeneity of the urban population and practical constraints associated with large-scale field surveys. ... Out of the 384 questionnaires administered, 371 were successfully retri"
W7166447493,92,sampling_frame,keyword_topical,purposive,"A total of 150 different digital contents were selected using the criterion sampling technique, one of the purposive sampling methods. The main criteria were that the content had received at least 10,000 interactions and included a specific Hz value ","A total of 150 different digital contents were selected using the criterion sampling technique, one of the purposive sampling methods. The main criteria were that the content had received at least 10,000 interactions and included a specific Hz value "
scholar_02,1.4,sampling_frame,full_census,random_platform,around 1.4% of SERPs linked to an unreliable news source and 27% to reliable news sites,"From the population of Bing searches, we narrow our potential sample down to information-seeking queries, which we define as the set of queries that led users to any of the more than 8000 domains rated for reliability by NewsGuard ... In both samples"
scholar_02,1.4,denom_scope,topical,news_diet,around 1.4% of SERPs linked to an unreliable news source and 27% to reliable news sites,"From the population of Bing searches, we narrow our potential sample down to information-seeking queries, which we define as the set of queries that led users to any of the more than 8000 domains rated for reliability by NewsGuard ... In both samples"
scholar_02,0.9,sampling_frame,full_census,random_platform,around 1.4% of SERPs linked to an unreliable news source and 27% to reliable news sites,"Sample 2, designed to broadly characterize the search information environment, is a simple random sample of search results collected between April and June 2023 ... This sample, collected after the integration of large language models into the search"
scholar_02,0.9,denom_scope,topical,news_diet,around 1.4% of SERPs linked to an unreliable news source and 27% to reliable news sites,"Sample 2, designed to broadly characterize the search information environment, is a simple random sample of search results collected between April and June 2023 ... This sample, collected after the integration of large language models into the search"
scholar_04,16.5,topic,general_news,politics_elections,made critical updates to the list to reflect changes in the information,"We matched our updated lists against each participant's URL-level browsing logs so that any visit to a domain on these lists was classified as an exposure to untrustworthy content, distinguishing between non-AI and AI-generated sites."
scholar_04,6.5,topic,general_news,politics_elections,made critical updates to the list to reflect changes in the information,"To capture emerging patterns of AI-driven untrustworthy sources, we incorporated an additional 810 domains from NewsGuard's UAINS (Unreliable AI-generated News Sites) database."
