oaid,oa_title,matched_existing
W4283220108,US hospital webpages on atrial fibrillation ablation: A,Misinformation
W7106783913,Tu crois que c'est vrai ? Diversite des regimes d'enonc,Fake News
W4410566265,Exploring nutrition misinformation on social media plat,Misinformation
W2524060751,Blind spots: Examining political advertising misinforma,Misinformation
W4413457235,Algorithmic Amplification of Surgical Misinformation: H,Media and Social Media
W4413457235,Algorithmic Amplification of Surgical Misinformation: H,Media and Social Media
W4413457235,Algorithmic Amplification of Surgical Misinformation: H,Media and Social Media
W4411120829,Algorithmic Behaviors Across Regions: A Geolocation Aud,Misinformation and covid-19
W4291473423,Content Analysis of COVID-19 Vaccine and Infertility Tw,Misinformation and covid-19
W4281924559,Prevalence and effect of misinformation on Twitter duri,Media and Social Media
W7139102111,"Quality, reliability and misinformation in mental healt",Social Media and Health
W7161796591,TikTok as a Source of Oral Hygiene Education: Alignment,Misinformation
W7130733747,Abstract PS1-04-01: Misguided Relief: Prevalence and Pa,Misinformation
W2914761925,High Prevalence of Misinformation Found in YouTube Pros,Misinformation
W7125772788,Leveraging Artificial Intelligence to Quantify the Digi,Misinformation
W7154838691,"TRUTH, FEAR, AND VIRALITY: A CROSS-PLATFORM CONTENT ANA",Social Media and Health
W3113799821,"""Does Vinegar Kill Coronavirus?"" - Using Search Log Ana",Misinformation
W2980076021,"Crisis, social media and fake news in Sub-Saharan Afric",Media and Social Media
W4394831676,The role of social media in spreading misinformation ab,The Role of Social Media in Covid-19
W4377246345,(324) TikTok’s Misinformation about COVID-19 Infections,Misinformation and covid-19
W4360608277,MP45-18 MISINFORMATION ON TIKTOK ABOUT THE EFFECT OF CO,Misinformation and covid-19
W3091627927,"Fake news, Covid-19 e Infodemia: un esempio di ricerca ",Fake News
W2917477888,The Economics of Fake News: Consumer Behavior During th,The Economics of 'Fake News'
W3003733254,"Fake News, Fake Problem? An Analysis of the Fake News A",Fake News
W3045537346,"Social Media, Democracy and Fake News in Pakistan: An A",Media and Social Media
W4417124855,"Attitudes to Democracy, Information Sources, and Self-R",Misinformation
W2992531903,"In France and Italy, the so-called “fake news” have a l",Fake News
W3206858890,Fake news: the impact of the internet on population hea,Health
W4401812299,Disinformation and Russia-Ukrainian War on Canadian Soc,Media and Social Media
W7155615941,Misinformation is present in popular social media conte,Misinformation
W7165570035,Dental caries misinformation on Instagram: Investigatio,Misinformation
W4410388894,Exploring TikTok's Effect on Perceptions and Misinforma,Misinformation
W7133343648,Agricultural knowledge sharing through Whatsapp farming,Misinformation
W7133343648,Agricultural knowledge sharing through Whatsapp farming,Misinformation
W7133343648,Agricultural knowledge sharing through Whatsapp farming,Misinformation
W4377015071,A Look at Social Media and Misinformation in Regard to ,Media and Social Media
