id,title,state
2-s2.0-105008525623,,ORPHAN
2-s2.0-105009525336,,ORPHAN
2-s2.0-85142238598,,ORPHAN
2-s2.0-85165815218,,ORPHAN
2-s2.0-105013036834,,DROPPED_V2_UNLEDGERED
2-s2.0-85200044284,Quantifying Networked Influence: How Much Do Disinformation Spreaders’ Networks Drive Their Public Engagement Outcomes?,DROPPED_V2_UNLEDGERED
2-s2.0-85145196122,,DROPPED_V2_UNLEDGERED
2-s2.0-86000727449,Medical misinformation in social media: Representations of gastrointestinal disorders on a short video platform,DROPPED_V2_UNLEDGERED
2-s2.0-85141933574,The Instagram Infodemic Persists: Extreme Content Escapes Platform's Removal Tactics,DROPPED_V2_UNLEDGERED
2-s2.0-85139497631,,DROPPED_V2_UNLEDGERED
2-s2.0-85186333554,,DROPPED_V2_UNLEDGERED
2-s2.0-85216735028,,DROPPED_V2_UNLEDGERED
2-s2.0-85093504656,,DROPPED_V2_UNLEDGERED
2-s2.0-85210771578,,DROPPED_V2_UNLEDGERED
2-s2.0-85115858008,,DROPPED_V2_UNLEDGERED
2-s2.0-85111045152,,DROPPED_V2_UNLEDGERED
2-s2.0-85113596430,,DROPPED_V2_UNLEDGERED
2-s2.0-85205828889,"Dark patterns, dark nudges, sludge and misinformation: Alcohol industry apps and digital tools",DROPPED_V2_UNLEDGERED
2-s2.0-105026707050,,DROPPED_V2_UNLEDGERED
2-s2.0-85171389183,,DROPPED_V2_UNLEDGERED
2-s2.0-105018193928,,DROPPED_V2_UNLEDGERED
2-s2.0-85118684788,,DROPPED_V2_UNLEDGERED
2-s2.0-85215939792,,DROPPED_V2_UNLEDGERED
2-s2.0-85179779094,,DROPPED_V2_UNLEDGERED
2-s2.0-85183995752,,DROPPED_V2_UNLEDGERED
2-s2.0-86000119920,,DROPPED_V2_UNLEDGERED
2-s2.0-85123434312,,DROPPED_V2_UNLEDGERED
2-s2.0-85100465405,,DROPPED_V2_UNLEDGERED
2-s2.0-85211215297,,DROPPED_V2_UNLEDGERED
2-s2.0-105001116590,YouTube and Schizophrenia: The Quality and Reliability of Information in the Age of Infodemics,DROPPED_V2_UNLEDGERED
2-s2.0-105031628111,,DROPPED_V2_UNLEDGERED
2-s2.0-85208677557,A graph mining-based approach to analyze the dynamics of the Twitter community of COVID-19 misinformation disseminators,DROPPED_V2_UNLEDGERED
2-s2.0-84923308381,,DROPPED_V2_UNLEDGERED
2-s2.0-85192567032,Diabetes and Instagram: Analysis of Information in Brazilian Publications,DROPPED_V2_UNLEDGERED
2-s2.0-105002473473,Accuracy assessment of information about COVID-19 circulated in an online community on Facebook,DROPPED_V2_UNLEDGERED
2-s2.0-85047304648,,DROPPED_V2_UNLEDGERED
2-s2.0-85189974015,,DROPPED_V2_UNLEDGERED
2-s2.0-85118897555,,DROPPED_V2_UNLEDGERED
2-s2.0-85196358234,,DROPPED_V2_UNLEDGERED
2-s2.0-105023216959,,DROPPED_V2_UNLEDGERED
2-s2.0-27644475868,,DROPPED_V2_UNLEDGERED
2-s2.0-85079874634,,DROPPED_V2_UNLEDGERED
2-s2.0-85112101773,,DROPPED_V2_UNLEDGERED
2-s2.0-85128353484,,DROPPED_V2_UNLEDGERED
2-s2.0-105030827603,"The Dental Misinformation Epidemic: An Evaluation of Quality, Accuracy and Educational Impact in Youtube's Tooth Bleaching Content",DROPPED_V2_UNLEDGERED
2-s2.0-105007993526,,DROPPED_V2_UNLEDGERED
2-s2.0-85090489959,,DROPPED_V2_UNLEDGERED
2-s2.0-105012951951,,DROPPED_V2_UNLEDGERED
2-s2.0-105041471187,,DROPPED_V2_UNLEDGERED
2-s2.0-105037482660,,DROPPED_V2_UNLEDGERED
2-s2.0-85114503116,,DROPPED_V2_UNLEDGERED
2-s2.0-85118981288,Understanding engagement with U.S. (mis)information news sources on Facebook,DROPPED_V2_UNLEDGERED
2-s2.0-85084369983,,DROPPED_V2_UNLEDGERED
2-s2.0-85065550941,,DROPPED_V2_UNLEDGERED
2-s2.0-85189282985,,DROPPED_V2_UNLEDGERED
2-s2.0-105040108180,,DROPPED_V2_UNLEDGERED
2-s2.0-105028607759,,DROPPED_V2_UNLEDGERED
2-s2.0-85070239449,,DROPPED_V2_UNLEDGERED
2-s2.0-85092601632,,DROPPED_V2_UNLEDGERED
2-s2.0-85010219819,,DROPPED_V2_UNLEDGERED
2-s2.0-85090209342,,DROPPED_V2_UNLEDGERED
2-s2.0-85130316440,,DROPPED_V2_UNLEDGERED
2-s2.0-85116608685,A retrospective analysis of the covid-19 infodemic in Saudi Arabia,DROPPED_V2_UNLEDGERED
2-s2.0-84871270697,,DROPPED_V2_UNLEDGERED
2-s2.0-85192143640,,DROPPED_V2_UNLEDGERED
2-s2.0-105017960510,Analyzing Bot Activity and Political Discourse in the 2024 U.S. Presidential Election: A Machine Learning Approach to Misinformation and Manipulation,DROPPED_V2_UNLEDGERED
2-s2.0-85147303661,,DROPPED_V2_UNLEDGERED
2-s2.0-105009085931,,DROPPED_V2_UNLEDGERED
2-s2.0-105040026420,,DROPPED_V2_UNLEDGERED
2-s2.0-85106955095,"Content themes and influential voices within vaccine opposition on Twitter, 2019",DROPPED_V2_UNLEDGERED
2-s2.0-85066887829,,DROPPED_V2_UNLEDGERED
2-s2.0-85207236730,,DROPPED_V2_UNLEDGERED
2-s2.0-85146352693,"Sources, Channels and Strategies of Disinformation in the 2020 US Election: Social Networks, Traditional Media and Political Candidates",DROPPED_V2_UNLEDGERED
2-s2.0-84929523850,,DROPPED_V2_UNLEDGERED
2-s2.0-105014108895,,DROPPED_V2_UNLEDGERED
2-s2.0-85090200414,,DROPPED_V2_UNLEDGERED
2-s2.0-85215785622,"Fuelling climate change disinformation: Global narratives distorting environmental risks in North America, Europe and Latin America",DROPPED_V2_UNLEDGERED
2-s2.0-105037202967,,DROPPED_V2_UNLEDGERED
