order,id,pipeline_decision
1,2-s2.0-85207108532,EXCLUDE
2,2-s2.0-85137141100,EXCLUDE
3,2-s2.0-85185269791,MAYBE
4,2-s2.0-85184437675,EXCLUDE
5,2-s2.0-105011596706,EXCLUDE
6,2-s2.0-85165556953,EXCLUDE
7,2-s2.0-85209546536,EXCLUDE
8,2-s2.0-85187941538,EXCLUDE
9,2-s2.0-105000246261,INCLUDE
10,2-s2.0-85138436301,MAYBE
11,2-s2.0-85123905239,MAYBE
12,2-s2.0-84953750173,EXCLUDE
13,2-s2.0-85163451166,EXCLUDE
14,2-s2.0-85179879972,EXCLUDE
15,2-s2.0-85213716617,EXCLUDE
16,2-s2.0-85132698491,EXCLUDE
17,2-s2.0-85146062392,EXCLUDE
18,2-s2.0-85120751902,EXCLUDE
19,2-s2.0-105032420457,EXCLUDE
20,2-s2.0-85204117613,INCLUDE
21,2-s2.0-85102643596,EXCLUDE
22,2-s2.0-85194953420,INCLUDE
23,2-s2.0-85196156834,EXCLUDE
24,2-s2.0-84984833799,EXCLUDE
25,2-s2.0-85206687850,EXCLUDE
26,2-s2.0-85089731145,EXCLUDE
27,2-s2.0-85164233283,EXCLUDE
28,2-s2.0-85050600225,MAYBE
29,2-s2.0-105029516347,EXCLUDE
30,2-s2.0-85129623447,EXCLUDE
31,2-s2.0-85205605627,EXCLUDE
32,2-s2.0-105002155467,INCLUDE
33,2-s2.0-85088969117,INCLUDE
34,2-s2.0-85203345581,EXCLUDE
35,2-s2.0-85202859744,EXCLUDE
36,2-s2.0-85213290533,MAYBE
37,2-s2.0-105041409769,INCLUDE
38,2-s2.0-85103132641,EXCLUDE
39,2-s2.0-85185658956,MAYBE
40,2-s2.0-86000209151,EXCLUDE
41,2-s2.0-85213197999,EXCLUDE
42,2-s2.0-105034315744,EXCLUDE
43,2-s2.0-105014684148,EXCLUDE
44,2-s2.0-105012953237,INCLUDE
45,2-s2.0-85127246473,EXCLUDE
46,2-s2.0-105008217481,EXCLUDE
47,2-s2.0-105029521599,INCLUDE
48,2-s2.0-85101523380,EXCLUDE
49,2-s2.0-85161949672,MAYBE
50,2-s2.0-85137592755,EXCLUDE
51,2-s2.0-85109588392,MAYBE
52,2-s2.0-85110560571,EXCLUDE
53,2-s2.0-85079093899,EXCLUDE
54,2-s2.0-85218453260,EXCLUDE
55,2-s2.0-105008729538,EXCLUDE
56,2-s2.0-85057304142,INCLUDE
57,2-s2.0-85139136013,EXCLUDE
58,2-s2.0-85178921087,INCLUDE
59,2-s2.0-85216586095,EXCLUDE
60,2-s2.0-85143419749,MAYBE
61,2-s2.0-85187477662,EXCLUDE
62,2-s2.0-84973549420,EXCLUDE
63,2-s2.0-85121265888,EXCLUDE
64,2-s2.0-85140372250,EXCLUDE
65,2-s2.0-85190864689,EXCLUDE
66,2-s2.0-85128118104,MAYBE
67,2-s2.0-85202716696,EXCLUDE
68,2-s2.0-85141837936,EXCLUDE
69,2-s2.0-85219075046,EXCLUDE
70,2-s2.0-105007546726,EXCLUDE
71,2-s2.0-85077873064,EXCLUDE
72,2-s2.0-85127797351,EXCLUDE
73,2-s2.0-105004392606,EXCLUDE
74,2-s2.0-85096539937,EXCLUDE
75,2-s2.0-85148046941,EXCLUDE
76,2-s2.0-85193415736,INCLUDE
77,2-s2.0-85123296618,EXCLUDE
78,2-s2.0-84956802321,EXCLUDE
79,2-s2.0-85136312201,EXCLUDE
80,2-s2.0-85117949936,EXCLUDE
81,2-s2.0-85121234437,MAYBE
82,2-s2.0-105028889619,MAYBE
83,2-s2.0-105009332462,EXCLUDE
84,2-s2.0-85131431863,EXCLUDE
85,2-s2.0-105022875518,EXCLUDE
86,2-s2.0-85142833512,EXCLUDE
87,2-s2.0-85199177820,EXCLUDE
88,2-s2.0-85127315834,EXCLUDE
89,2-s2.0-85201146267,EXCLUDE
90,2-s2.0-85060025053,INCLUDE
91,2-s2.0-105028723464,EXCLUDE
92,2-s2.0-85091228795,EXCLUDE
93,2-s2.0-85161920186,EXCLUDE
94,2-s2.0-85082312426,EXCLUDE
95,2-s2.0-85091465751,EXCLUDE
96,2-s2.0-85074967562,EXCLUDE
97,2-s2.0-85200139693,EXCLUDE
98,2-s2.0-85149258419,EXCLUDE
99,2-s2.0-85110267778,EXCLUDE
100,2-s2.0-85213198856,EXCLUDE
101,2-s2.0-85114226550,INCLUDE
102,2-s2.0-85148610502,EXCLUDE
103,2-s2.0-105003235263,MAYBE
104,2-s2.0-84964894466,EXCLUDE
105,2-s2.0-85163864128,EXCLUDE
106,2-s2.0-85201952265,INCLUDE
107,2-s2.0-105016709251,EXCLUDE
108,2-s2.0-85209863116,INCLUDE
109,2-s2.0-85100585094,EXCLUDE
110,2-s2.0-85210503549,EXCLUDE
111,2-s2.0-85215102029,EXCLUDE
112,2-s2.0-85089310028,MAYBE
113,2-s2.0-85217238932,EXCLUDE
