order,id,pipeline_decision
1,2-s2.0-85153766483,INCLUDE
2,2-s2.0-105038091134,INCLUDE
3,2-s2.0-105005437262,EXCLUDE
4,2-s2.0-85202658760,EXCLUDE
5,2-s2.0-105029346542,MAYBE
6,2-s2.0-85097085646,EXCLUDE
7,2-s2.0-85159040522,EXCLUDE
8,2-s2.0-105019767827,EXCLUDE
9,2-s2.0-85173519891,EXCLUDE
10,2-s2.0-85136177119,EXCLUDE
11,2-s2.0-105012187453,EXCLUDE
12,2-s2.0-105029581133,INCLUDE
13,2-s2.0-105041646279,EXCLUDE
14,2-s2.0-86000203821,EXCLUDE
15,2-s2.0-85126200994,EXCLUDE
16,2-s2.0-85115915957,EXCLUDE
17,2-s2.0-85097328724,MAYBE
18,2-s2.0-85133374419,EXCLUDE
19,2-s2.0-85051467996,INCLUDE
20,2-s2.0-105029135644,INCLUDE
21,2-s2.0-86000209909,EXCLUDE
22,2-s2.0-85132129630,EXCLUDE
23,2-s2.0-85089000453,EXCLUDE
24,2-s2.0-85087217032,EXCLUDE
25,2-s2.0-85092483799,INCLUDE
26,2-s2.0-85098937862,EXCLUDE
27,2-s2.0-85110341147,EXCLUDE
28,2-s2.0-85214383250,MAYBE
29,2-s2.0-85105126834,EXCLUDE
30,2-s2.0-85145411066,EXCLUDE
31,2-s2.0-84922712231,MAYBE
32,2-s2.0-85147330317,MAYBE
33,2-s2.0-85136545530,EXCLUDE
34,2-s2.0-85163027940,MAYBE
35,2-s2.0-105007027777,INCLUDE
36,2-s2.0-85167906007,EXCLUDE
37,2-s2.0-85142126340,MAYBE
38,2-s2.0-105038789649,EXCLUDE
39,2-s2.0-85106137737,MAYBE
40,2-s2.0-85170534964,MAYBE
41,2-s2.0-105021770244,EXCLUDE
42,2-s2.0-85205078871,INCLUDE
43,2-s2.0-105026630069,EXCLUDE
44,2-s2.0-85092376138,EXCLUDE
45,2-s2.0-85113263498,EXCLUDE
46,2-s2.0-85171308933,EXCLUDE
47,2-s2.0-85150439177,EXCLUDE
48,2-s2.0-85110362081,EXCLUDE
49,2-s2.0-85147907280,EXCLUDE
50,2-s2.0-85065905229,INCLUDE
51,2-s2.0-85133440086,EXCLUDE
52,2-s2.0-85200410112,EXCLUDE
53,2-s2.0-105009551917,EXCLUDE
54,2-s2.0-85159288701,INCLUDE
55,2-s2.0-105022104203,EXCLUDE
56,2-s2.0-85192781704,EXCLUDE
57,2-s2.0-85198226808,EXCLUDE
58,2-s2.0-85144592516,MAYBE
59,2-s2.0-85048225269,EXCLUDE
60,2-s2.0-85209409494,EXCLUDE
