order,id,pipeline_group
1,2-s2.0-85074596916,INCLUDED
2,2-s2.0-85095575703,INCLUDED
3,2-s2.0-85166442191,DROPPED
4,NEW-jadara-2022,INCLUDED
5,2-s2.0-85199669897,DROPPED
6,W4281770633,INCLUDED
7,2-s2.0-85029143850,DROPPED
8,W7146985142,INCLUDED
9,2-s2.0-85141666446,INCLUDED
10,2-s2.0-85093962844,DROPPED
11,2-s2.0-85097120668,DROPPED
12,2-s2.0-105032691304,INCLUDED
13,2-s2.0-105021775752,INCLUDED
14,2-s2.0-85046071518,DROPPED
15,2-s2.0-85057183786,DROPPED
16,2-s2.0-105014807194,INCLUDED
17,2-s2.0-85060587260,DROPPED
18,2-s2.0-105000242013,DROPPED
19,W4309243406,INCLUDED
20,2-s2.0-105039147215,DROPPED
21,2-s2.0-85164306347,DROPPED
22,2-s2.0-85129781787,INCLUDED
23,2-s2.0-85151113840,DROPPED
24,2-s2.0-85193588807,INCLUDED
25,2-s2.0-86000286752,DROPPED
26,2-s2.0-85203974709,DROPPED
27,2-s2.0-85167574647,INCLUDED
28,2-s2.0-85210161252,DROPPED
29,2-s2.0-85122752247,INCLUDED
30,2-s2.0-45549091998,DROPPED
31,2-s2.0-85211132788,INCLUDED
32,2-s2.0-70349234627,DROPPED
33,2-s2.0-85130786472,DROPPED
34,2-s2.0-84963854363,DROPPED
35,2-s2.0-86000736431,INCLUDED
36,2-s2.0-85187889353,DROPPED
37,2-s2.0-85189757456,DROPPED
38,2-s2.0-105032159703,INCLUDED
39,2-s2.0-105038578898,DROPPED
40,2-s2.0-85077296908,DROPPED
41,W3011186656,INCLUDED
42,2-s2.0-85171477190,DROPPED
43,2-s2.0-85091698994,INCLUDED
44,2-s2.0-85128357498,INCLUDED
45,2-s2.0-85217829893,INCLUDED
46,2-s2.0-105031357857,INCLUDED
47,2-s2.0-85184568825,DROPPED
48,2-s2.0-85085201199,INCLUDED
49,2-s2.0-85215939792,INCLUDED
50,2-s2.0-85096102360,INCLUDED
