order,claim_idx,producer,year,claim_text,your_category,your_note
1,35,CCDH,2021,Twelve individuals responsible for 65% of anti-vaccine content on social media,,
2,63,Avaaz,2020,Only 16% of health misinformation had a Facebook warning label applied,,
3,77,Knight Foundation (with Graphika/GWU),2018,Top 50 fake news sites received 89% of misinformation links during election,,
4,81,"DeVerna et al. (Indiana Observatory on Social Media, PLOS ONE)",2024,0.25% of X users responsible for 73-78% of low-credibility tweets,,
5,28,OECD,2024,Respondents misidentified true and false content 40% of the time,,
6,34,Avaaz,2020,16% of top 100 YouTube videos for 'global warming' contained climate misinformation,,
7,68,CCDH,2024,200 climate disinformation videos on YouTube seen 73.8 million times,,
8,30,WHO,2022,Misinformation in vaccine-related posts reached up to 51%,,
9,36,Meta,2021,Disinformation Dozen responsible for about 0.05% of all vaccine-content views on Facebook,,
10,16,Knight Foundation,2018,US adults on average saw and remembered 1.14 fake stories before 2016 election,,
11,13,Reuters Institute,2025,58% worldwide worried about what is real and fake online concerning news,,
12,48,Ofcom,2024,"Among those who encountered it, 71% say they have seen it online",,
13,97,Science Feedback (SIMODS),2025,"[R1 YouTube/problematic_content] Facebook ranks third with 27% [24.3%, 29.1%], followed by YouTube at 22% [20.0%, 24.5%], and Instagram with 18% [16.8%, 20.9%].",,
14,73,Meta (rebuttal to CCDH Disinformation Dozen),2021,12 accounts responsible for only 0.05% of all vaccine-related content views,,
15,84,Kaiser Family Foundation,2021,80% of Americans report encountering COVID-19 mis/disinformation on >=1 social platform,,
16,39,TikTok,2021,78.5% of misinformation videos removed before being reported to TikTok,,
17,76,Knight Foundation (with Graphika/GWU),2018,65% of fake and conspiracy news links went to just 10 largest sites,,
18,59,NewsGuard,2022,"40.21% of 6,513 rated sites receive a red unreliable rating",,
19,26,European Commission (Eurobarometer),2025,"Including sometimes, perceived exposure rises to around two-thirds (66%) of EU respondents",,
20,5,PolitiFact (via HKS Misinfo Review),2023,only 10.95% of PolitiFact's fact-checking articles were classified as real claims,,
21,11,Reuters Institute,2018,False news sites in France and Italy had average monthly reach of over 3.5%,,
22,65,Avaaz,2019,Far-right EU election disinformation networks seen over half a billion times,,
23,3,Poynter (IFCN),2024,137 organizations across at least 69 countries completed the survey ... approximately 80% of the network's fact-checking outlets,,
24,56,Statistics Canada,2023,47% find it harder to distinguish between true and false news than three years prior,,
25,95,Science Feedback (SIMODS),2025,"[R1 X/Twitter/problematic_content] both TikTok and X/Twitter appear as the platforms with the highest prevalence of Problematic content, with prevalence values of 34% [31.7%, 36.5%] and 32% [29.9%, 34.1%], respectively",,
26,79,"Grinberg et al. (Science, Lazer Lab)",2019,1% of individuals accounted for 80% of fake news source exposures,,
27,12,Reuters Institute,2018,None of the false news outlets reached more than one in 20 readers monthly,,
28,107,Science Feedback (SIMODS),2025,"[R2 TikTok/problematic_content] TikTok appears as the platform with the highest prevalence of Problematic content, with prevalence values of 43% [40.6%, 45.9%], which means that roughly two out of five of the posts on TikTok",,
29,40,TikTok,2021,69.7% of removed COVID-19 disinformation videos had zero views,,
30,4,Snopes,2023,Snopes ... 28.65% of its fact-checking articles falling under [real claims] category,,
