order,claim_idx,our_category,our_class
1,35,OTHER_NOT_PREVALENCE,
2,63,MODERATION_METRIC,
3,77,ESTIMATE,CONCENTRATION
4,81,ACADEMIC_RELAY,
5,28,DISCERNMENT,
6,34,ESTIMATE,CONTENT
7,68,COUNT,
8,30,ACADEMIC_RELAY,
9,36,ESTIMATE,EXPOSURE
10,16,OTHER_NOT_PREVALENCE,
11,13,ATTITUDE,
12,48,CONDITIONAL_SUBGROUP,
13,97,NOT_MISINFO_SPECIFIC,
14,73,ESTIMATE,EXPOSURE
15,84,ATTITUDE,
16,39,MODERATION_METRIC,
17,76,ESTIMATE,CONCENTRATION
18,59,ESTIMATE,CONTENT
19,26,ESTIMATE,RECALL
20,5,FACTCHECK_COMPOSITION,
21,11,ESTIMATE,REACH
22,65,COUNT,
23,3,COUNT,
24,56,ATTITUDE,
25,95,NOT_MISINFO_SPECIFIC,
26,79,ACADEMIC_RELAY,
27,12,OTHER_NOT_PREVALENCE,
28,107,NOT_MISINFO_SPECIFIC,
29,40,MODERATION_METRIC,
30,4,FACTCHECK_COMPOSITION,
