order,id,journal,title,pdf,your_item6,your_item10,your_note
1,2-s2.0-85145390598,Jmir Infodemiology,The Information Sharing Behaviors of Dietitians and Twitter Users in the Nutrition and COVID-19 Infodemic: Content Analysis Study of Tweets,papers/D01.pdf,,,
2,2-s2.0-85096102360,Journal of Medical Internet Research,Associations between COVID-19 misinformation exposure and belief with COVID-19 knowledge and preventive behaviors: cross-sectional online study,papers/D02.pdf,,,
3,2-s2.0-85095594211,Health Policy and Technology,COVID-19 misinformation: Accuracy of articles about coronavirus prevention mostly shared on social media,papers/D03.pdf,,,
4,2-s2.0-105018276467,Scientific Reports,"Exposure to fake news on social media, coping mechanisms, and mental health impact among Vietnamese adolescents and young adults",papers/D04.pdf,,,
5,NEW-jadara-2022,Jadara Journal for Studies and Research,Jadara (2022) — perceived exposure to misinformation survey,papers/D05.pdf,,,
6,2-s2.0-85055756722,New Media and Society,Do tabloids poison the well of social media? Explaining democratically dysfunctional news sharing,papers/D06.pdf,,,
7,2-s2.0-85215939792,AIMS Public Health,Descriptive analysis of TikTok content on vaccination in Arabic,papers/D07.pdf,,,
8,2-s2.0-85173877860,Digital Health,Breast cancer prevention and treatment misinformation on Twitter: An analysis of two languages,papers/D08.pdf,,,
9,2-s2.0-85146384927,Frontiers in Public Health,TikTok and adolescent vision health: Content and information quality assessment of the top short videos related to myopia,papers/D09.pdf,,,
10,2-s2.0-85102849802,Media and Communication,Disinformation in facebook ads in the 2019 spanish general election campaigns,papers/D10.pdf,,,
11,2-s2.0-85203845655,Proceedings of the Laccei International Multi Conference for Engineering Education and Technology,Informative disorders in initial digital circulation news articles on ChatGPT,papers/D11.pdf,,,
12,2-s2.0-85089627303,World Journal of Men S Health,Social media sensationalism in the male infertility space: A mixed methodology analysis,papers/D12.pdf,,,
13,2-s2.0-85209206311,Scientific Reports,An evaluation of online information acquisition in US news deserts,papers/D13.pdf,,,
14,2-s2.0-85060025053,Science Advances,Less than you think: Prevalence and predictors of fake news dissemination on Facebook,papers/D14.pdf,,,
15,OA-W3113799821,,"""Does Vinegar Kill Coronavirus?"" - Using Search Log Analysis to Estimate the Extent of COVID-19-Related Misinformation Searching Behaviour in the United States",papers/D15.pdf,,,
