order,id,pipeline_item6,pipeline_item10
1,2-s2.0-85145390598,LOW,HIGH
2,2-s2.0-85096102360,LOW,LOW
3,2-s2.0-85095594211,HIGH,HIGH
4,2-s2.0-105018276467,HIGH,LOW
5,NEW-jadara-2022,HIGH,LOW
6,2-s2.0-85055756722,HIGH,LOW
7,2-s2.0-85215939792,HIGH,HIGH
8,2-s2.0-85173877860,HIGH,HIGH
9,2-s2.0-85146384927,HIGH,HIGH
10,2-s2.0-85102849802,HIGH,LOW
11,2-s2.0-85203845655,HIGH,HIGH
12,2-s2.0-85089627303,HIGH,HIGH
13,2-s2.0-85209206311,LOW,LOW
14,2-s2.0-85060025053,LOW,LOW
15,OA-W3113799821,LOW,HIGH
16,2-s2.0-85169326292,HIGH,LOW
17,2-s2.0-85051037754,HIGH,LOW
18,W2901308345,LOW,LOW
19,2-s2.0-85186874194,HIGH,HIGH
20,2-s2.0-85096862559,LOW,HIGH
21,2-s2.0-85172813494,LOW,LOW
22,2-s2.0-85124307830,LOW,LOW
23,W4293124965,LOW,LOW
24,2-s2.0-85083965254,LOW,HIGH
25,2-s2.0-85122105134,HIGH,LOW
26,2-s2.0-85131964464,LOW,HIGH
27,2-s2.0-85118260096,LOW,LOW
28,2-s2.0-85090181268,LOW,HIGH
29,2-s2.0-85162702221,LOW,LOW
30,W3033912864,LOW,HIGH
31,2-s2.0-85129632573,HIGH,HIGH
32,2-s2.0-85129109345,HIGH,HIGH
33,2-s2.0-85085573221,HIGH,LOW
34,2-s2.0-85105454127,LOW,LOW
35,2-s2.0-85086031086,HIGH,LOW
36,2-s2.0-85141666446,LOW,HIGH
37,2-s2.0-85205688160,LOW,HIGH
38,2-s2.0-85213223975,LOW,HIGH
39,2-s2.0-85083041268,HIGH,HIGH
40,2-s2.0-85194880315,HIGH,LOW
