order,id,year,journal,title,pipeline,human,note,leaky_row
20,2-s2.0-85204117613,2023,Human Communication Research,Antecedents and consequences of fake news exposure: a two-panel study on how news use and different indicators of fake news exposure affect media trust,INCLUDE,EXCLUDE,,
21,2-s2.0-85102643596,2020,Journal of Global Health Reports,"Genomics, social media and the novel coronavirus pandemic, COVID-19",EXCLUDE,MAYBE,,
23,2-s2.0-85196156834,2025,Health Promotion Practice,The Emerging Landscape of Social Media Influencers in Public Health Collaborations: A Scoping Review,EXCLUDE,MAYBE,,
25,2-s2.0-85206687850,2024,Proceedings of the Association for Information Science and Technology,Social Risks in the Era of Generative AI,EXCLUDE,MAYBE,"very ambiguous title, but in case one of those risks is increased exposure to misinformation.",
28,2-s2.0-85050600225,2018,12th International Aaai Conference on Web and Social Media Icwsm 2018,Predicting news coverage of scientific articles,MAYBE,EXCLUDE,,
38,2-s2.0-85103132641,2021,Political Campaigning and Communication,Propaganda and Disinformation Go Online,EXCLUDE,MAYBE,,
41,2-s2.0-85213197999,2025,Communication and Misinformation,"Emerging media, emotions, and misperceptions in health crisis",EXCLUDE,MAYBE,,
44,2-s2.0-105012953237,2025,JMIR Cancer,Evaluating the Feasibility of Web-Monitoring Methodology for Measuring Exposure to Online Cancer Misinformation,INCLUDE,EXCLUDE,,
49,2-s2.0-85161949672,2023,Ceur Workshop Proceedings,A Social Network Analysis of COVID-19 Vaccines Tweets,MAYBE,EXCLUDE,does not say vaccines misinformation,
60,2-s2.0-85143419749,2022,Proceedings of the Central and Eastern European eDem and eGov Days,How Citizens have Informed themselves about Covid-19 during the Pandemic,MAYBE,EXCLUDE,,
66,2-s2.0-85128118104,2022,JMIR Formative Research,Media Source Characteristics Regarding Food Fraud Misinformation According to the Health Information National Trends Survey (HINTS) in China: Comparative Study,MAYBE,EXCLUDE,,
74,2-s2.0-85096539937,2022,New Media & Society,Why do so few people share fake news? It hurts their reputation,EXCLUDE,MAYBE,,
76,2-s2.0-85193415736,2024,Proceedings of the ACM on Human-Computer Interaction,"“Fact-checks are for the Top 0.1%”: Examining Reach, Awareness, and Relevance of Fact-Checking in Rural India",INCLUDE,EXCLUDE,,
79,2-s2.0-85136312201,2022,Computer Graphics Forum,Misinformed by Visualization: What Do We Learn From Misinformative Visualizations?,EXCLUDE,MAYBE,,
81,2-s2.0-85121234437,2021,Politologija,Dominating Concepts of Russian Federation Propaganda Against Ukraine (Content and Collocation Analyses of Russia Today),MAYBE,EXCLUDE,,
84,2-s2.0-85131431863,2021,Politics of Disinformation,"Rumoring, disinformation, and contentious politics in the digital age: The case of china and beyond",EXCLUDE,MAYBE,,
101,2-s2.0-85114226550,2022,Digital Journalism,Why Media Systems Matter: A Fact-Checking Study of UK Television News during the Coronavirus Pandemic,INCLUDE,EXCLUDE,,
103,2-s2.0-105003235263,2025,"Smart Innovation, Systems and Technologies",Climate Change Disinformation in Digital News Media: A Typology Proposal,MAYBE,EXCLUDE,,
112,2-s2.0-85089310028,2020,Journal of Big Data,Large scale analysis of violent death count in daily newspapers to quantify bias and censorship,MAYBE,EXCLUDE,,
122,2-s2.0-105021836080,2026,Communications in Computer and Information Science,TamilFacts: A Comprehensive Multimodal Dataset of Fact-Checked Social Media Content in Tamil Language,EXCLUDE,MAYBE,,
127,2-s2.0-85124326961,2022,PLOS ONE,Characterizing polarization in online vaccine discourse—A large-scale study,MAYBE,EXCLUDE,,
128,2-s2.0-85090280890,2020,Applied Network Science,Characterizing networks of propaganda on twitter: a case study,MAYBE,EXCLUDE,,
132,2-s2.0-85145746219,2023,Internet Research,The dark side of digitalization and social media platform governance: a citizen engagement study,EXCLUDE,MAYBE,in my opinion this could indicate misinformation,
141,2-s2.0-85124460646,2021,Australasian Document Computing Symposium,An Analysis of the Australian Political Discourse in Sponsored Social Media Content,MAYBE,EXCLUDE,,yes
145,2-s2.0-85138873886,2022,Science Advances,Losing the battle over best-science guidance early in a crisis: COVID-19 and beyond,EXCLUDE,MAYBE,,
149,2-s2.0-85172813494,2023,El Profesional de la información,"Disinformation narratives in Spain: reach, impact and spreading patterns",INCLUDE,EXCLUDE,,
177,2-s2.0-85122190052,2021,Comparative Law Review,Criminal disinformation in relation to the freedom of expression in Indonesia: A critical study,EXCLUDE,MAYBE,,
181,2-s2.0-85121971415,2021,Journal of Medical Internet Research,Characterizing and Identifying the Prevalence of Web-Based Misinformation Relating to Medication for Opioid Use Disorder: Machine Learning Approach,INCLUDE,EXCLUDE,concentration on computer-science method,
187,2-s2.0-85133315240,2024,Journal of Asian and African Studies,Does Misinformation Thrive With Social Networking Site (SNS) Dependency and Perceived Online Social Impact Among Social Media Users in Nigeria? Testing a Structural Equation Model,EXCLUDE,MAYBE,title is very confusing,
189,2-s2.0-85099566943,2020,Proceedings of the 14th International Aaai Conference on Web and Social Media Icwsm 2020,Characterizing the social media news sphere through user co-sharing practices,MAYBE,EXCLUDE,,
