idx,category,curated_class,dup_of
0,COUNT,,
1,COUNT,,
2,COUNT,,
3,COUNT,,
4,FACTCHECK_COMPOSITION,,
5,FACTCHECK_COMPOSITION,,
6,COUNT,,
7,COUNT,,
8,COUNT,,
9,OTHER_NOT_PREVALENCE,,
10,COUNT,,
11,ESTIMATE,REACH,
12,OTHER_NOT_PREVALENCE,,
13,ATTITUDE,,
14,ESTIMATE,SHARING,
15,OTHER_NOT_PREVALENCE,,
16,OTHER_NOT_PREVALENCE,,
17,ACADEMIC_RELAY,,
18,ACADEMIC_RELAY,,
19,ESTIMATE,RECALL_SHARED,
20,ESTIMATE,RECALL,
21,ESTIMATE,RECALL,
22,ESTIMATE,RECALL,
23,ESTIMATE,RECALL,
24,ESTIMATE,RECALL,
25,ESTIMATE,RECALL,
26,ESTIMATE,RECALL,
27,ATTITUDE,,
28,DISCERNMENT,,
29,ACADEMIC_RELAY,,
30,ACADEMIC_RELAY,,
31,WITHIN_MISINFO,,
32,COUNT,,
33,COUNT,,
34,ESTIMATE,CONTENT,
35,OTHER_NOT_PREVALENCE,,
36,ESTIMATE,CONCENTRATION,
37,NOT_MISINFO_SPECIFIC,,
38,NOT_MISINFO_SPECIFIC,,
39,MODERATION_METRIC,,
40,MODERATION_METRIC,,
41,COUNT,,
42,COUNT,,
43,COUNT,,
44,COUNT,,
45,ATTITUDE,,13
46,ATTITUDE,,
47,ESTIMATE,RECALL,
48,CONDITIONAL_SUBGROUP,,
49,ESTIMATE,RECALL,
50,ESTIMATE,RECALL,
51,ESTIMATE,RECALL_SHARED,19
52,ESTIMATE,RECALL,25
53,ESTIMATE,RECALL,26
54,ESTIMATE,RECALL,
55,ESTIMATE,RECALL,
56,ATTITUDE,,
57,ESTIMATE,RECALL,23
58,COUNT,,
59,OTHER_NOT_PREVALENCE,,
60,ESTIMATE,SHARING,
61,COUNT,,42
62,COUNT,,32
63,MODERATION_METRIC,,
64,COUNT,,
65,COUNT,,
66,OTHER_NOT_PREVALENCE,,35
67,OTHER_NOT_PREVALENCE,,
68,COUNT,,
69,WITHIN_MISINFO,,
70,WITHIN_MISINFO,,
71,COUNT,,
72,NOT_MISINFO_SPECIFIC,,37
73,ESTIMATE,CONCENTRATION,36
74,ACADEMIC_RELAY,,
75,ESTIMATE,SHARING,14
76,ESTIMATE,CONCENTRATION,
77,ESTIMATE,CONCENTRATION,
78,OTHER_NOT_PREVALENCE,,35
79,ACADEMIC_RELAY,,
80,ACADEMIC_RELAY,,
81,ACADEMIC_RELAY,,
82,ACADEMIC_RELAY,,
83,ESTIMATE,RECALL,
84,ATTITUDE,,
85,ESTIMATE,RECALL,
86,ESTIMATE,RECALL,
87,ATTITUDE,,
88,ESTIMATE,TOPICAL,
89,ESTIMATE,TOPICAL,
90,ESTIMATE,TOPICAL,
91,ESTIMATE,TOPICAL,
92,ESTIMATE,TOPICAL,
93,ESTIMATE,TOPICAL,
94,NOT_MISINFO_SPECIFIC,,
95,NOT_MISINFO_SPECIFIC,,
96,NOT_MISINFO_SPECIFIC,,
97,NOT_MISINFO_SPECIFIC,,
98,NOT_MISINFO_SPECIFIC,,
99,NOT_MISINFO_SPECIFIC,,
100,WITHIN_MISINFO,,
101,ESTIMATE,TOPICAL,
102,ESTIMATE,TOPICAL,
103,ESTIMATE,TOPICAL,
104,ESTIMATE,TOPICAL,
105,ESTIMATE,TOPICAL,
106,ESTIMATE,TOPICAL,
107,NOT_MISINFO_SPECIFIC,,
108,NOT_MISINFO_SPECIFIC,,
109,NOT_MISINFO_SPECIFIC,,
110,NOT_MISINFO_SPECIFIC,,
111,NOT_MISINFO_SPECIFIC,,
112,NOT_MISINFO_SPECIFIC,,
113,WITHIN_MISINFO,,
114,WITHIN_MISINFO,,
115,WITHIN_MISINFO,,
116,WITHIN_MISINFO,,
