producer,year,claim_text,number_pct,denom_class,method,url
Meta (Facebook Widely Viewed Content Report),2025,"97.8% of US Feed views did not include a link outside Facebook",2.2,EXPOSURE,platform data,https://transparency.meta.com/reports/widely-viewed-content-report/
Meta (rebuttal to CCDH Disinformation Dozen),2021,"12 accounts responsible for only 0.05% of all vaccine-related content views",0.05,EXPOSURE,platform data,https://www.npr.org/2021/05/13/996570855/disinformation-dozen-test-facebooks-twitters-ability-to-curb-vaccine-hoaxes
"Allen et al. (Microsoft/Science Advances)",2020,"Fake news comprises only 0.15% of Americans' daily media diet",0.15,EXPOSURE,trace,https://www.science.org/doi/10.1126/sciadv.aay3539
Oxford Internet Institute / ComProp,2018,"25% of content shared around US midterms is junk news",25,CONTENT,platform data,https://www.oii.ox.ac.uk/news-events/junk-news-dominating-coverage-of-us-midterms-on-social-media-new-research-finds/
Knight Foundation (with Graphika/GWU),2018,"65% of fake and conspiracy news links went to just 10 largest sites",65,CONCENTRATION,trace,https://knightfoundation.org/reports/disinformation-fake-news-and-influence-campaigns-on-twitter/
Knight Foundation (with Graphika/GWU),2018,"Top 50 fake news sites received 89% of misinformation links during election",89,CONCENTRATION,trace,https://knightfoundation.org/reports/disinformation-fake-news-and-influence-campaigns-on-twitter/
"Center for Countering Digital Hate (Disinformation Dozen)",2021,"12 accounts responsible for 65% of anti-vaccine content shared online",65,CONCENTRATION,trace,https://counterhate.com/research/the-disinformation-dozen/
"Grinberg et al. (Science, Lazer Lab)",2019,"1% of individuals accounted for 80% of fake news source exposures",1,CONCENTRATION,trace,https://www.science.org/doi/abs/10.1126/science.aau2706
"Grinberg et al. (Science, Lazer Lab)",2019,"0.1% accounted for nearly 80% of fake news sources shared",0.1,CONCENTRATION,trace,https://www.science.org/doi/abs/10.1126/science.aau2706
"DeVerna et al. (Indiana Observatory on Social Media, PLOS ONE)",2024,"0.25% of X users responsible for 73-78% of low-credibility tweets",0.25,CONCENTRATION,trace,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0302201
"DeVerna et al. (Indiana Observatory on Social Media, PLOS ONE)",2024,"Roughly one third of low-credibility tweets posted by just 10 accounts",10,CONCENTRATION,trace,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0302201
