producer,year,claim_text,number_pct,denom_class,method,url
Reuters Institute Digital News Report,2025,"58% worried about what is real and fake online when it comes to news",58,RECALL,survey self-report,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2025/dnr-executive-summary
Reuters Institute Digital News Report,2026,"62% concerned about fake news online",62,RECALL,survey self-report,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2026/dnr-executive-summary
Ofcom,2024,"Four in 10 adults encountered misinformation or deepfake content in previous four weeks",40,RECALL,survey self-report,https://www.ofcom.org.uk/media-use-and-attitudes/attitudes-to-news/four-in-10-uk-adults-encounter-misinformation
Ofcom,2024,"Among those who encountered it, 71% say they have seen it online",71,RECALL,survey self-report,https://www.ofcom.org.uk/media-use-and-attitudes/attitudes-to-news/four-in-10-uk-adults-encounter-misinformation
Pew Research Center,2019,"38% say they often come across made-up news and information",38,RECALL,survey self-report,https://www.pewresearch.org/journalism/2019/06/05/many-americans-say-made-up-news-is-a-critical-problem-that-needs-to-be-fixed/
Pew Research Center,2016,"32% often see political news stories online that are made up",32,RECALL,survey self-report,https://www.pewresearch.org/journalism/2016/12/15/many-americans-believe-fake-news-is-sowing-confusion/
Pew Research Center,2019,"23% say they have themselves shared made-up news",23,RECALL,survey self-report,https://www.pewresearch.org/journalism/2019/06/05/many-americans-say-made-up-news-is-a-critical-problem-that-needs-to-be-fixed/
Eurobarometer,2025,"36% often or very often exposed to disinformation and fake news over past seven days",36,RECALL,survey self-report,https://europa.eu/eurobarometer/surveys/detail/3592
Eurobarometer,2025,"66% think exposed to disinformation and fake news at least sometimes over past seven days",66,RECALL,survey self-report,https://europa.eu/eurobarometer/surveys/detail/3592
Eurobarometer,2018,"37% of respondents come across fake news daily or every other day",37,RECALL,survey self-report,https://europa.eu/eurobarometer/surveys/detail/2183
Statistics Canada,2025,"80% reported seeing misleading false or inaccurate online information at least once a month",80,RECALL,survey self-report,https://www150.statcan.gc.ca/n1/daily-quotidien/260513/dq260513a-eng.htm
Statistics Canada,2023,"47% find it harder to distinguish between true and false news than three years prior",47,RECALL,survey self-report,https://www150.statcan.gc.ca/n1/daily-quotidien/231220/dq231220b-eng.htm
ACMA,2025,"72% of adults believe they encountered some form of misinformation on a platform",72,RECALL,survey self-report,https://www.acma.gov.au/articles/2025-11/majority-australians-encountering-misinformation-online
ACMA,2025,"64% of Facebook users encountered misinformation on the platform over six months",64,RECALL,survey self-report,https://www.acma.gov.au/articles/2025-11/majority-australians-encountering-misinformation-online
