idx,producer,stored_value,curated_class,verdict,verified_source,verified_url,note,check_date
11,Reuters Institute,3.5%,REACH,NOT_CHECKED_LIVE,Reuters Institute factsheet (Fletcher et al. 2018),https://reutersinstitute.politics.ox.ac.uk/our-research/measuring-reach-fake-news-and-online-disinformation-europe,Original institute estimate; verified not-in-corpus 2026-08-27 (prior round); below n>=5 threshold so not compared,2026-08-27
14,Oxford Internet Institute,25%,SHARING,NOT_CHECKED_LIVE,OII ComProp press release 2018,https://www.oii.ox.ac.uk/news-events/junk-news-dominating-coverage-of-us-midterms-on-social-media-new-research-finds/,Below n>=5 threshold so not compared,2026-08-27
17,Knight Foundation,25%,RECLASSIFIED->ACADEMIC_RELAY,RECLASSIFIED,Guess Nyhan & Reifler (Nature Human Behaviour 2020; 27.4% approx one in four visited a fake news site Oct 7-Nov 14 2016),https://www.nature.com/articles/s41562-020-0833-x,Claim NOT in the Knight Twitter report at the stored URL (fetch found no such statistic); it is the Guess/Nyhan/Reifler finding (study in corpus) misattributed to Knight. Relays 8->9; REACH n 2->1,2026-08-27
19,Pew Research,23%,RECALL_SHARED,CONFIRMED,Pew 2016 report,https://www.pewresearch.org/journalism/2016/12/15/many-americans-believe-fake-news-is-sowing-confusion/,Exact quote: 23% say they have ever shared a made-up news story,2026-08-27
20,Ofcom,41,RECALL,CONFIRMED_VALUE_METADATA_ERROR,Ofcom Online Nation 2025 (published 10 Dec 2025); misinformation the most-encountered potential online harm at 41%,https://www.ofcom.org.uk/siteassets/resources/documents/research-and-data/online-research/online-nation/2025/online-nations-report-2025.pdf,Value 41% confirmed via Online Nation 2025 coverage; stored URL/method wrong (points to the Nov-2024 40% release and the AMUA 7500-adult sample). Year should be 2025,2026-08-27
21,Ofcom,56,RECALL,CONFIRMED,Ofcom Adults' Media Use and Attitudes 2026 (published 2 Apr 2026; 7533 adults 16+; fieldwork Sep-Nov 2025),https://www.ofcom.org.uk/siteassets/resources/documents/research-and-data/media-literacy-research/adults/adults-media-use-and-attitudes-2026/adults-media-use-and-attitudes-2026-report.pdf,56% of social media users saw false or misleading news in past year; stored URL points to the 2024 release but method (7500 late 2025) matches AMUA 2026,2026-08-27
22,Ofcom,65,RECALL,CONFIRMED,Ofcom Adults' Media Use and Attitudes 2026,https://www.ofcom.org.uk/siteassets/resources/documents/research-and-data/media-literacy-research/adults/adults-media-use-and-attitudes-2026/adults-media-use-and-attitudes-2026-report.pdf,65% of social media users aged 16-34 confirmed in secondary coverage of AMUA 2026; stored URL points to the 2024 release,2026-08-27
23,ACMA,72,RECALL,CONFIRMED,ACMA How we encounter misinformation (Nov 2025),https://www.acma.gov.au/articles/2025-11/majority-australians-encountering-misinformation-online,72% of Australian adults who used a digital platform in H1 2025 believe they encountered misinformation,2026-08-27
24,ACMA,64,RECALL,CONFIRMED,ACMA How we encounter misinformation (Nov 2025),https://www.acma.gov.au/articles/2025-11/majority-australians-encountering-misinformation-online,64% of Facebook users encountered misinformation over the six-month period,2026-08-27
25,Eurobarometer,36,RECALL,CONFIRMED,2025 Eurobarometer on disinformation (media coverage Feb 2026),https://www.euronews.com/next/2026/02/02/perceived-exposure-to-disinformation-and-fake-news-rising-in-europe-which-countries-suffer,36% often or very often exposed past seven days (28% in 2022); survey detail page (europa.eu 3592) is JS-only,2026-08-27
26,Eurobarometer,66,RECALL,CONFIRMED,2025 Eurobarometer on disinformation (media coverage Feb 2026),https://www.euronews.com/next/2026/02/02/perceived-exposure-to-disinformation-and-fake-news-rising-in-europe-which-countries-suffer,About 66% including 'sometimes' confirmed,2026-08-27
34,Avaaz,16,CONTENT,NOT_CHECKED_LIVE,Avaaz YouTube climate misinformation campaign page,https://secure.avaaz.org/campaign/en/youtube_climate_misinformation/,Below n>=5 threshold so not compared,2026-08-27
35,CCDH,65,RECLASSIFIED->OTHER_NOT_PREVALENCE,RECLASSIFIED,CCDH Disinformation Dozen report page,https://counterhate.com/research/the-disinformation-dozen/,"Report says 'up to 65% of anti-vaccine content can be traced to the leading online anti-vaxxers' over 812,000 shares/posts Feb 1-Mar 16 2021; producer's own framing is 'up to' (bound-flavoured); stored method line (483 posts/30 groups) is Meta's characterisation of the sample, not CCDH's. EXCLUDED as a bound 2026-08-27 (Sacha's ruling, same rule as the Reuters 'no more than 1 in 20' claim)",2026-08-27
36,Meta,0.05,CONCENTRATION,NOT_CHECKED_LIVE,Meta rebuttal (via DC OAG filing),https://oag.dc.gov/sites/default/files/2024-10/Meta%20Vaccine%20Misinfo%20Report%20FINAL.pdf,Below n>=5 threshold so not compared; reclassified 2026-09-02 on Task-D adjudication (author ruling),2026-08-27
47,Ofcom,40,RECALL,CONFIRMED,Ofcom four-in-10 release (28 Nov 2024; fieldwork week before UK general election),https://www.ofcom.org.uk/media-use-and-attitudes/attitudes-to-news/four-in-10-uk-adults-encounter-misinformation,Research Live coverage confirms four in 10 previous four weeks; page itself blocks automated fetch (403),2026-08-27
49,Pew Research Center,38,RECALL,CONFIRMED,Pew 2019 report,https://www.pewresearch.org/journalism/2019/06/05/many-americans-say-made-up-news-is-a-critical-problem-that-needs-to-be-fixed/,Exact quote: almost four-in-ten Americans (38%) say they often come across made-up news,2026-08-27
50,Pew Research Center,32,RECALL,CONFIRMED,Pew 2016 report,https://www.pewresearch.org/journalism/2016/12/15/many-americans-believe-fake-news-is-sowing-confusion/,Exact quote: nearly one-in-three U.S. adults (32%) say they often see fake political news online,2026-08-27
51,Pew Research Center,23,RECALL_SHARED dup_of=19,CONFIRMED_DUP,Pew 2019 report,https://www.pewresearch.org/journalism/2019/06/05/many-americans-say-made-up-news-is-a-critical-problem-that-needs-to-be-fixed/,Pew 2019's own sharing figure is 52%; the 23% is the 2016 number restated - dup exclusion confirmed correct,2026-08-27
54,Eurobarometer,37,RECALL,NOT_CHECKED_LIVE,Flash Eurobarometer 464 (2018),https://europa.eu/eurobarometer/surveys/detail/2183,Survey detail page JS-only; 37% daily-or-almost-daily is the published headline figure,2026-08-27
55,Statistics Canada,80,RECALL,CONFIRMED,StatCan Daily release 13 May 2026 (Canadian Social Survey 17th panel; spring 2025),https://www150.statcan.gc.ca/n1/daily-quotidien/260513/dq260513a-eng.htm,"Exact quote: in 2025, 80% of Canadians reported seeing news or information on the Internet that they suspected was misleading, false or inaccurate at least once a month",2026-08-27
59,NewsGuard,40.21,OTHER_NOT_PREVALENCE (was CONTENT),NOT_CHECKED_LIVE,NewsGuard 2022 ratings summary,https://www.newsguardtech.com/,Below n>=5 threshold so not compared; reclassified 2026-09-02 on Task-D adjudication (author ruling),2026-08-27
60,NewsGuard,6.69,SHARING,NOT_CHECKED_LIVE,NewsGuard 2022 engagement metric,https://www.newsguardtech.com/,Reclassed EXPOSURE->SHARING in prior round; below n>=5 threshold,2026-08-27
66,CCDH,65,OTHER_NOT_PREVALENCE dup_of=35,CONFIRMED_DUP,CCDH Disinformation Dozen,https://counterhate.com/research/the-disinformation-dozen/,Same claim as idx 35,2026-08-27
67,CCDH,69,RECLASSIFIED->OTHER_NOT_PREVALENCE,RECLASSIFIED,CCDH Toxic Ten report page,https://counterhate.com/research/the-toxic-ten/,Report: Toxic Ten responsible for 69% of all interactions with climate denial content on Facebook (elsewhere 'up to 69%'). EXCLUDED as a bound 2026-08-27 (Sacha's ruling),2026-08-27
73,Meta,0.05,CONCENTRATION dup_of=36,CONFIRMED_DUP,NPR coverage,https://www.npr.org/2021/05/13/996570855/disinformation-dozen-test-facebooks-twitters-ability-to-curb-vaccine-hoaxes,Same claim as idx 36; reclassified 2026-09-02 on Task-D adjudication (author ruling),2026-08-27
75,Oxford Internet Institute,25,SHARING dup_of=14,CONFIRMED_DUP,OII press release,https://www.oii.ox.ac.uk/news-events/junk-news-dominating-coverage-of-us-midterms-on-social-media-new-research-finds/,Same claim as idx 14,2026-08-27
76,Knight Foundation,65,CONCENTRATION,CONFIRMED,Knight Foundation Twitter disinformation report,https://knightfoundation.org/reports/disinformation-fake-news-and-influence-campaigns-on-twitter/,Exact quote: sixty-five percent of fake and conspiracy news links during the election period went to just the 10 largest sites,2026-08-27
77,Knight Foundation,89,CONCENTRATION,CONFIRMED,Knight Foundation Twitter disinformation report,https://knightfoundation.org/reports/disinformation-fake-news-and-influence-campaigns-on-twitter/,Exact quote: the top 50 fake news sites received 89 percent of links during the election,2026-08-27
