producer,category,year,claim_text,number_pct,denom_class,method,url,access_date
Duke Reporters' Lab,factcheck,2024,"as many as 457 fact-checking projects in 111 countries were active over the past two years",457,REACH_ABSOLUTE,"Annual fact-checking census; count of active fact-checking projects worldwide",https://reporterslab.org/with-half-the-planet-going-to-the-polls-in-2024-fact-checking-sputters,2026-06-22
Duke Reporters' Lab,factcheck,2024,"so far in 2024, that number has shrunk to 439",439,REACH_ABSOLUTE,"Annual census; in-year count of active fact-checking projects",https://reporterslab.org/with-half-the-planet-going-to-the-polls-in-2024-fact-checking-sputters,2026-06-22
Duke Reporters' Lab,factcheck,2023,"2023 was the first time there were more departing fact-checking teams than new ones - 18 closures to 10 starts",,OTHER,"Annual census; new vs closed fact-checking organizations",https://reporterslab.org/with-half-the-planet-going-to-the-polls-in-2024-fact-checking-sputters,2026-06-22
Poynter (IFCN),factcheck,2024,"137 organizations across at least 69 countries completed the survey ... approximately 80% of the network's fact-checking outlets",137,REACH_ABSOLUTE,"IFCN State of the Fact-Checkers survey of verified signatories",https://www.poynter.org/fact-checking/2025/state-fact-checkers-2024-ifcn/,2026-06-22
Snopes,factcheck,2023,"Snopes ... 28.65% of its fact-checking articles falling under [real claims] category",28.65,CONTENT,"Analysis of 11,639 Snopes fact-checks Jan 2016-Aug 2022; share rated true/mostly true (rest false/mixed)",https://misinforeview.hks.harvard.edu/article/fact-checking-fact-checkers-a-data-driven-approach/,2026-06-22
PolitiFact (via HKS Misinfo Review),factcheck,2023,"only 10.95% of PolitiFact's fact-checking articles were classified as real claims",10.95,CONTENT,"Analysis of 10,710 PolitiFact fact-checks Jan 2016-Aug 2022; share rated true (rest false/mixed)",https://misinforeview.hks.harvard.edu/article/fact-checking-fact-checkers-a-data-driven-approach/,2026-06-22
Africa Check,factcheck,2024,"published more than 1,300 fact-check reports and fact-checked over 1,800 claims",,REACH_ABSOLUTE,"Cumulative organizational output totals reported on About page",https://africacheck.org/who-we-are,2026-06-22
AFP Factuel,factcheck,2024,"largest fact-checker in the world, covering more than 80 countries ... in twenty-four languages",,REACH_ABSOLUTE,"Organizational description of AFP Fact Check network scope",https://en.everybodywiki.com/AFP_Fact_Check,2026-06-22
Maldita.es,factcheck,2024,"31 million posts were tagged with fact-checking articles ... as being false on Meta's platforms ... 189,000 fact-checking articles",,REACH_ABSOLUTE,"Report on platform responses; fact-check labels applied to Meta posts across Europe H1 2024",https://files.maldita.es/maldita/uploads/2023/12/digital-platforms-responses-disinformation-02.pdf,2026-06-22
Maldita.es,factcheck,2023,"out of ... 489 Facebook posts containing electoral disinformation ... just 7% had more than 5 reshares",7,CONCENTRATION,"Analysis of debunked electoral disinformation posts; share exceeding reshare threshold",https://maldita.es/maldita-es-journalism-to-not-be-fooled/,2026-06-22
Full Fact,factcheck,2023,"published 776 fact checks and secured 130 corrections from newspapers and broadcasters",,REACH_ABSOLUTE,"Annual organizational output reported in Full Fact Report 2024 (2023 activity)",https://fullfact.org/policy/reports/full-fact-report-2024/,2026-06-22
