producer,category,year,claim_text,number_pct,denom_class,method,url,access_date
Ofcom,regulator_igo,2026,"Four in 10 (41%) online UK adults reported encountering misinformation",41,RECALL,"Survey of 7500 UK adults aged 18+, late 2025",https://www.ofcom.org.uk/media-use-and-attitudes/attitudes-to-news/four-in-10-uk-adults-encounter-misinformation,2026-06-22
Ofcom,regulator_igo,2026,"56% of social media users came across misleading or false news",56,RECALL,"Survey of 7500 UK adults aged 18+, late 2025",https://www.ofcom.org.uk/media-use-and-attitudes/attitudes-to-news/four-in-10-uk-adults-encounter-misinformation,2026-06-22
Ofcom,regulator_igo,2026,"65% of social media users aged 16-34 said they saw false information",65,RECALL,"Survey of 7500 UK adults aged 18+, late 2025",https://www.ofcom.org.uk/media-use-and-attitudes/attitudes-to-news/four-in-10-uk-adults-encounter-misinformation,2026-06-22
ACMA,regulator_igo,2025,"72% of Australian digital platform users believe they encountered misinformation",72,RECALL,"Survey of Australian adults using digital platforms, H1 2025",https://www.acma.gov.au/articles/2025-11/majority-australians-encountering-misinformation-online,2026-06-22
ACMA,regulator_igo,2025,"64% of Facebook users encountered misinformation on the platform",64,RECALL,"Survey of Australian adults using digital platforms, H1 2025",https://www.acma.gov.au/articles/2025-11/majority-australians-encountering-misinformation-online,2026-06-22
European Commission (Eurobarometer),regulator_igo,2025,"36% said they were often or very often exposed to disinformation in past seven days",36,RECALL,"Eurobarometer survey of EU citizens, 2025",https://europa.eu/eurobarometer/surveys/detail/3592,2026-06-22
European Commission (Eurobarometer),regulator_igo,2025,"Including sometimes, perceived exposure rises to around two-thirds (66%) of EU respondents",66,RECALL,"Eurobarometer survey of EU citizens, 2025",https://europa.eu/eurobarometer/surveys/detail/3592,2026-06-22
UNESCO,regulator_igo,2023,"68% of internet users identify social media as primary breeding ground for disinformation",68,OTHER,"UNESCO-Ipsos survey, ~8000 participants across 16 countries with 2024 elections",https://www.unesco.org/sites/default/files/medias/fichiers/2023/11/unesco_ipsos_survey.pdf,2026-06-22
OECD,regulator_igo,2024,"Respondents misidentified true and false content 40% of the time",40,OTHER,"OECD Truth Quest Survey, 2024, multi-country",https://www.oecd.org/en/topics/disinformation-and-misinformation.html,2026-06-22
WHO,regulator_igo,2022,"Proportion of COVID-19 misinformation on social media ranged from 0.2% to 28.8% of posts",28.8,CONTENT,"WHO-cited systematic review of 22 studies of social media posts",https://www.who.int/europe/news/item/01-09-2022-infodemics-and-misinformation-negatively-affect-people-s-health-behaviours--new-who-review-finds,2026-06-22
WHO,regulator_igo,2022,"Misinformation in vaccine-related posts reached up to 51%",51,CONTENT,"WHO-cited systematic review of social media posts",https://www.who.int/europe/news/item/01-09-2022-infodemics-and-misinformation-negatively-affect-people-s-health-behaviours--new-who-review-finds,2026-06-22
EDMO,regulator_igo,2022,"COVID-19 reached 51.5% of total disinformation detected in December 2021",51.5,CONTENT,"Analysis of 18 EDMO monthly fact-checking briefs, Jun 2021-Nov 2022",https://edmo.eu/publications/pandemic-and-infodemic-parallel-waves-seven-months-of-european-fact-checking/,2026-06-22
