study_id,id_type,doi,n_estimates
2-s2.0-0032975127,scopus_eid,,1
2-s2.0-105002025382,scopus_eid,,1
2-s2.0-105002155467,scopus_eid,10.1177/14614448231196863,2
2-s2.0-105002578811,scopus_eid,10.1097/QMH.0000000000000478,1
2-s2.0-105002620495,scopus_eid,10.18225/ci.inf.v54i1.7569,4
2-s2.0-105002670726,scopus_eid,,1
2-s2.0-105002787411,scopus_eid,,2
2-s2.0-105003865545,scopus_eid,,3
2-s2.0-105004460836,scopus_eid,,1
2-s2.0-105004472114,scopus_eid,,5
2-s2.0-105005004817,scopus_eid,,1
2-s2.0-105005857219,scopus_eid,10.1002/msc.70120,1
2-s2.0-105007027777,scopus_eid,10.15847/obsOBS19520252678,1
2-s2.0-105007777349,scopus_eid,10.1371/journal.pone.0325513,1
2-s2.0-105008238753,scopus_eid,,1
2-s2.0-105008442631,scopus_eid,10.1521/bumc.2025.89.2.154,1
2-s2.0-105008560082,scopus_eid,,2
2-s2.0-105008921175,scopus_eid,,1
2-s2.0-105009372730,scopus_eid,10.1002/bdr2.2500,2
2-s2.0-105009525075,scopus_eid,,1
2-s2.0-105009546063,scopus_eid,,8
2-s2.0-105009619554,scopus_eid,10.1016/j.ssmmh.2025.100489,2
2-s2.0-105010038175,scopus_eid,,1
2-s2.0-105010728491,scopus_eid,10.5354/0719-1529.2025.76482,1
2-s2.0-105011406180,scopus_eid,10.3390/soc15070174,1
2-s2.0-105011756924,scopus_eid,10.3390/healthcare13141762,1
2-s2.0-105012522879,scopus_eid,,1
2-s2.0-105012722892,scopus_eid,10.3389/fdmed.2025.1585575,1
2-s2.0-105012981781,scopus_eid,,1
2-s2.0-105013056526,scopus_eid,,3
2-s2.0-105014185875,scopus_eid,10.1177/21522715251370135,1
2-s2.0-105014632937,scopus_eid,10.1111/hex.70408,1
2-s2.0-105014807194,scopus_eid,10.1016/j.jposna.2025.100207,1
2-s2.0-105014886450,scopus_eid,,1
2-s2.0-105016716843,scopus_eid,,6
2-s2.0-105017506015,scopus_eid,,1
2-s2.0-105017599346,scopus_eid,,1
2-s2.0-105017757935,scopus_eid,10.1177/15568253251383914,1
2-s2.0-105018276467,scopus_eid,10.1038/s41598-025-19175-4,2
2-s2.0-105018832745,scopus_eid,10.1080/09273948.2025.2570059,1
2-s2.0-105019357120,scopus_eid,10.1145/3757661,2
2-s2.0-105019533649,scopus_eid,10.1145/3757540,5
2-s2.0-105019603181,scopus_eid,10.1145/3757571,4
2-s2.0-105019625689,scopus_eid,10.1145/3757697,1
2-s2.0-105019627019,scopus_eid,10.1080/15398285.2025.2570975,1
2-s2.0-105020578144,scopus_eid,10.1177/20552076251393362,2
2-s2.0-105020894042,scopus_eid,10.1111/1460-6984.70155,1
2-s2.0-105021733739,scopus_eid,,3
2-s2.0-105021775752,scopus_eid,10.5117/9789463720762_CH05,3
2-s2.0-105022108218,scopus_eid,10.4274/jus.galenos.2021.2021.0075,2
2-s2.0-105024994777,scopus_eid,,2
2-s2.0-105026138407,scopus_eid,,2
2-s2.0-105026630069,scopus_eid,,1
2-s2.0-105026782770,scopus_eid,,3
2-s2.0-105027376456,scopus_eid,,4
2-s2.0-105027587881,scopus_eid,10.1038/s41598-025-31464-6,1
2-s2.0-105027856675,scopus_eid,10.1007/s42001-025-00447-y,21
2-s2.0-105027959122,scopus_eid,10.1371/journal.pmen.0000014,3
2-s2.0-105028205558,scopus_eid,10.2196/75973,1
2-s2.0-105028851691,scopus_eid,10.1007/s12144-025-08675-1,1
2-s2.0-105029346542,scopus_eid,,1
2-s2.0-105029413645,scopus_eid,,14
2-s2.0-105029521599,scopus_eid,10.1080/10584609.2026.2613661,2
2-s2.0-105030082417,scopus_eid,10.1016/j.midw.2026.104729,2
2-s2.0-105031067442,scopus_eid,,1
2-s2.0-105031357857,scopus_eid,10.32872/cpe.17279,2
2-s2.0-105031731355,scopus_eid,,4
2-s2.0-105031841007,scopus_eid,,1
2-s2.0-105032159703,scopus_eid,10.3389/fpubh.2026.1709429,1
2-s2.0-105032253077,scopus_eid,10.1017/ice.2026.10423,1
2-s2.0-105032501759,scopus_eid,,1
2-s2.0-105032691304,scopus_eid,10.2196/71584,1
2-s2.0-105033611630,scopus_eid,10.1590/0001-3765202620250488,1
2-s2.0-105034745484,scopus_eid,10.1016/j.ijmedinf.2026.106421,2
2-s2.0-105035056055,scopus_eid,,3
2-s2.0-105035324985,scopus_eid,,1
2-s2.0-105036232690,scopus_eid,10.1016/j.rmed.2026.108838,1
2-s2.0-105037111223,scopus_eid,10.1055/a-2848-3389,1
2-s2.0-105038091134,scopus_eid,10.2196/57951,1
2-s2.0-105038138985,scopus_eid,,2
2-s2.0-105038809389,scopus_eid,,1
2-s2.0-105039619015,scopus_eid,10.1080/21670811.2026.2669525,4
2-s2.0-105040091272,scopus_eid,10.3390/healthcare14101376,2
2-s2.0-105040346162,scopus_eid,,2
