study_id,first_author,year,title,venue,doi,source
2603.11058,,,,,10.48550/arXiv.2603.11058,"DOI verified by content negotiation on 2026-09-07: title returned matches the archived text's title page (""Uncertainty-Aware Estimation of Mis/Disinformation Prevalence on Social Media"", data/fulltext/v2txt/2603.11058.txt); the remaining fields are fetched from that DOI, not typed here."
NEW-bergeronboutin-sciadv2026,,,,,10.1126/sciadv.adz6502,"DOI printed in the archived text (data/fulltext/v2txt_raw/NEW-bergeronboutin-sciadv2026.txt, ""DOI: 10.1126/sciadv.adz6502""); content negotiation returns the same title and Science Advances."
NEW-moreno-jmirderma,,,,,10.2196/25661,"DOI printed in the archived text (data/fulltext/v2txt/NEW-moreno-jmirderma.txt) and in docs/research_log.md (""NEW-moreno-jmirderma (Moreno et al., JMIR Dermatology 2021, 10.2196/25661)""); content negotiation returns the same title and venue."
SEED-allcott2017,,,,,10.1257/jep.31.2.211,"DOI printed in the archived text (data/fulltext/v2txt/SEED-allcott2017.txt); content negotiation returns the same title, Journal of Economic Perspectives, 2017."
NEW-vanantwerpen-esm,van Antwerpen N.,2025,"Attitudes to Democracy, Information Sources, and Self-Reported Misinformation Exposure in a Federal Election: An Australian Experience Sampling Study",PsyArXiv,10.31234/osf.io/vmt4c,"DOI from docs/research_log.md (""NEW-vanantwerpen-esm (OSF preprint 10.31234/osf.io/vmt4c)""); it resolves through neither Crossref nor DataCite, so the fields are typed. Author from the archived text's title page (""Natasha van Antwerpen*1, Toby Prike1, ...""); title and date_published 2025-12-08 from api.osf.io/v2/preprints/vmt4c, provider psyarxiv, read 2026-09-07."
NEW-jung-icwsm,Jung H.,2025,Algorithmic Behaviors Across Regions: A Geolocation Audit of YouTube Search for COVID-19 Misinformation Between the United States and South Africa,Proceedings of the International AAAI Conference on Web and Social Media (ICWSM),,"No DOI found in the archived text or any dump. Author and title from the title page of data/fulltext/v2txt/NEW-jung-icwsm.txt (""Hayoung Jung1, Prerna Juneja2, Tanushree Mitra1""); venue and year from the same text (""ICWSM 2025""), consistent with data/synth/phaseB/titles.json."
NEW-jadara-2022,Shatnawi M.N.,2022,The role of social media in spreading misinformation about covid-19 in the Levant region,Jadara Journal for Studies and Research,,"No DOI. Author, title, venue and volume from the title page of data/fulltext/v2txt/NEW-jadara-2022.txt (""Mohammad. N. Shatnawi1*& Ahmet Ayhan2 ... Jadara Journal for Studies and Research Volume (8) for the year (2022)""); matches docs/research_log.md (""NEW-jadara-2022 (Shatnawi & Ayhan, Jadara J. 2022"")."
NEW-berriche-fakerisland2026,Berriche M.,2026,Faker Island. Profiling misinformation sharers on the French Twittersphere using a matching procedure,Unpublished manuscript,,"No DOI; the archived PDF is an author manuscript with no byline. Title from its first page (data/fulltext/v2txt/NEW-berriche-fakerisland2026.txt); authorship and year from docs/research_log.md (""Faker Island (Berriche/Altay/Mercier et al. 2026)"", entry 2026-07-30). Sacha is a co-author, so this attribution is the author's own record rather than an inference."
SEED-cordonnier2021,Cordonier L.,2021,How do the French inform themselves on the Internet? Analysis of online information and disinformation behaviors,Fondation Descartes,,"No DOI. All fields from the recommended-citation block on the archived report's own title page (data/fulltext/v2txt/SEED-cordonnier2021.txt): ""Laurent Cordonier & Aurelien Brest (2021). How do the French inform themselves on the Internet? ... Study by the Fondation Descartes (March 2021)"". Note the surname is Cordonier, one n, despite the study key spelling it cordonnier."
scholar_02,,,,,10.1126/sciadv.adn3750,"Record entered under a hand-assigned key from the Google Scholar recall check (2026-09-04). DOI resolved by Crossref title match and archived in data/extract_v2/qa/scholar_check/resolved.csv; the remaining fields are fetched from that DOI, not typed here."
scholar_07,,,,,10.48550/arXiv.2407.08171,Record entered under a hand-assigned key from the Google Scholar recall check (2026-09-04). arXiv id 2407.08171v1 resolved by title match and archived in data/extract_v2/qa/scholar_check/resolved.csv; the DataCite DOI for that arXiv id supplies the remaining fields.
scholar_09,,,,,10.1145/3720553.3746675,"Record entered under a hand-assigned key from the Google Scholar recall check (2026-09-04). DOI resolved by Crossref title match and archived in data/extract_v2/qa/scholar_check/resolved.csv; the remaining fields are fetched from that DOI, not typed here."
scholar_10,,,,,10.1126/sciadv.add8080,"Record entered under a hand-assigned key from the Google Scholar recall check (2026-09-04). DOI resolved by Crossref title match and archived in data/extract_v2/qa/scholar_check/resolved.csv; the remaining fields are fetched from that DOI, not typed here."
scholar_04,,2024,Exposure to (AI-generated) untrustworthy websites in the 2024 US presidential election,OSF preprint,,"Record entered under a hand-assigned key from the Google Scholar recall check (2026-09-04). The OSF preprint carries no DOI, so title, venue and year are transcribed from data/extract_v2/qa/scholar_check/resolved.csv; first author is left unknown rather than guessed."
