eid,clean_class
2-s2.0-105012722892,CONTENT
2-s2.0-85089627303,CONTENT
2-s2.0-105019225029,QUALITY
2-s2.0-85060549676,CONCENTRATION
2-s2.0-85099979571,CONTENT
2-s2.0-85193588807,CONTENT
2-s2.0-105031357857,QUALITY
2-s2.0-85185269791,CONTENT
2-s2.0-105034745484,CONTENT
2-s2.0-85134791169,BELIEF
2-s2.0-85200044284,SHARING
2-s2.0-85095575703,CONTENT
2-s2.0-85118684788,BELIEF
2-s2.0-105017757935,CONTENT
2-s2.0-85145196122,CONTENT
2-s2.0-85090200414,QUALITY
2-s2.0-85192635397,EXPOSURE
2-s2.0-86000183980,CONCENTRATION
2-s2.0-85054400923,CONTENT
2-s2.0-85065550941,CONTENT
2-s2.0-85212049380,SHARING
2-s2.0-85145425628,CONTENT
2-s2.0-85128118104,RECALL
2-s2.0-85183777415,BELIEF
2-s2.0-85108273495,QUALITY
2-s2.0-27644475868,QUALITY
2-s2.0-85089622030,SHARING
2-s2.0-85098086330,OTHER
2-s2.0-85065015834,CONTENT
2-s2.0-85187117251,OTHER
