eid,denominator,sampling,definition,measurement,sample_size,overall
2-s2.0-85219054979,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-105031357857,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-105019533649,CLEAR,REPRESENTATIVE,VALIDATED,BEHAVIOURAL,ADEQUATE,LOW
2-s2.0-85083103558,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-85200044284,UNCLEAR,CURATED,PARTIAL,CONTENT_CODING,UNCLEAR,HIGH
2-s2.0-105031628111,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-85124307830,UNCLEAR,CURATED,PARTIAL,SELF_REPORT,ADEQUATE,HIGH
2-s2.0-85164306347,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-105007986232,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85070239449,CLEAR,REPRESENTATIVE,PARTIAL,BEHAVIOURAL,ADEQUATE,MODERATE
2-s2.0-85168209968,UNCLEAR,CURATED,PARTIAL,CONTENT_CODING,UNCLEAR,HIGH
2-s2.0-85051467996,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-85198980514,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85117399204,UNCLEAR,CONVENIENCE,PARTIAL,SELF_REPORT,ADEQUATE,HIGH
2-s2.0-85145425628,CLEAR,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,MODERATE
2-s2.0-85200952814,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-84877280391,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85054363956,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85137929479,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-105005800476,NARROW,CURATED,VALIDATED,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-105028851691,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85118684788,UNCLEAR,CONVENIENCE,PARTIAL,SELF_REPORT,ADEQUATE,HIGH
2-s2.0-85185269791,NARROW,CURATED,PARTIAL,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-84964787366,CLEAR,REPRESENTATIVE,ADHOC,CONTENT_CODING,ADEQUATE,MODERATE
2-s2.0-85189757456,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85218448454,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-105006769846,CLEAR,CURATED,VALIDATED,CONTENT_CODING,ADEQUATE,MODERATE
2-s2.0-84985993999,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85143511628,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-85085573221,UNCLEAR,CONVENIENCE,ADHOC,SELF_REPORT,SMALL,HIGH
