eid,denominator,sampling,definition,measurement,sample_size,overall
2-s2.0-85106423850,NARROW,CURATED,PARTIAL,CONTENT_CODING,ADEQUATE,MODERATE
2-s2.0-105009542421,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-85183777415,UNCLEAR,REPRESENTATIVE,ADHOC,SELF_REPORT,ADEQUATE,MODERATE
2-s2.0-85159871316,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85146384927,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-85072114698,UNCLEAR,CONVENIENCE,ADHOC,SELF_REPORT,ADEQUATE,HIGH
2-s2.0-85097120668,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85121971415,NARROW,CURATED,PARTIAL,CONTENT_CODING,ADEQUATE,MODERATE
2-s2.0-85109464429,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-105027959122,UNCLEAR,CONVENIENCE,ADHOC,SELF_REPORT,ADEQUATE,HIGH
2-s2.0-85125507154,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85073061780,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-105037111223,NARROW,CURATED,PARTIAL,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85065015834,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-85205783299,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85092483799,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-84877280391,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85198980514,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-105026682823,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85143274147,UNCLEAR,CONVENIENCE,ADHOC,SELF_REPORT,SMALL,HIGH
2-s2.0-105017062540,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85145390598,NARROW,CURATED,PARTIAL,CONTENT_CODING,ADEQUATE,MODERATE
2-s2.0-85129109345,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-105031357857,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-86000736431,NARROW,CURATED,PARTIAL,CONTENT_CODING,ADEQUATE,MODERATE
2-s2.0-85215817889,UNCLEAR,CONVENIENCE,ADHOC,SELF_REPORT,SMALL,HIGH
2-s2.0-85108101418,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-85123475265,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85051037754,NARROW,CONVENIENCE,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85084369983,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-85048766317,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85159889148,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-85099807131,NARROW,CURATED,PARTIAL,BEHAVIOURAL,ADEQUATE,MODERATE
2-s2.0-105030827603,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-85055079422,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-33645965882,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85099150264,CLEAR,REPRESENTATIVE,ADHOC,SELF_REPORT,ADEQUATE,MODERATE
2-s2.0-105005857219,NARROW,CURATED,PARTIAL,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85083041268,NARROW,CURATED,PARTIAL,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-105018832745,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85217197547,NARROW,CURATED,PARTIAL,CONTENT_CODING,SMALL,HIGH
2-s2.0-85189282985,NARROW,CURATED,PARTIAL,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85114457852,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85192567032,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85186607228,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85054363956,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85089627303,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-85210161252,NARROW,CURATED,PARTIAL,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85209813530,NARROW,CURATED,ADHOC,CONTENT_CODING,SMALL,HIGH
2-s2.0-105031695645,UNCLEAR,CONVENIENCE,ADHOC,SELF_REPORT,ADEQUATE,HIGH
2-s2.0-85041175995,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-86000727449,NARROW,CURATED,PARTIAL,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-105007777349,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
2-s2.0-85218448454,NARROW,CURATED,ADHOC,CONTENT_CODING,ADEQUATE,HIGH
