study_id,text_kind,text_bytes,n_estimates,path
2-s2.0-105002155467,full_text,55006,2,data/fulltext/v2txt/2-s2.0-105002155467.txt
2-s2.0-105002578811,none,0,1,
2-s2.0-105002620495,full_text,43769,4,data/fulltext/v2txt/2-s2.0-105002620495.txt
2-s2.0-105005857219,none,0,1,
2-s2.0-105007027777,full_text,67741,1,data/fulltext/v2txt/2-s2.0-105007027777.txt
2-s2.0-105007777349,full_text,79695,1,data/fulltext/v2txt/2-s2.0-105007777349.txt
2-s2.0-105007993526,full_text,47147,1,data/fulltext/v2txt/2-s2.0-105007993526.txt
2-s2.0-105008442631,none,0,1,
2-s2.0-105008525623,full_text,75429,5,data/fulltext/v2txt/2-s2.0-105008525623.txt
2-s2.0-105009085931,full_text,48515,2,data/fulltext/v2txt/2-s2.0-105009085931.txt
2-s2.0-105009372730,none,0,2,
2-s2.0-105009525336,full_text,119756,1,data/fulltext/v2txt/2-s2.0-105009525336.txt
2-s2.0-105009619554,full_text,68775,2,data/fulltext/v2txt/2-s2.0-105009619554.txt
2-s2.0-105010728491,full_text,52731,1,data/fulltext/v2txt/2-s2.0-105010728491.txt
2-s2.0-105011406180,full_text,49776,1,data/fulltext/v2txt/2-s2.0-105011406180.txt
2-s2.0-105011756924,full_text,71138,1,data/fulltext/v2txt/2-s2.0-105011756924.txt
2-s2.0-105012550022,full_text,84934,2,data/fulltext/v2txt/2-s2.0-105012550022.txt
2-s2.0-105012722892,full_text,64495,1,data/fulltext/v2txt/2-s2.0-105012722892.txt
2-s2.0-105014185875,none,0,1,
2-s2.0-105014632937,full_text,74518,1,data/fulltext/v2txt/2-s2.0-105014632937.txt
2-s2.0-105014807194,full_text,50143,1,data/fulltext/v2txt/2-s2.0-105014807194.txt
2-s2.0-105017599346,full_text,75740,1,data/fulltext/v2txt/2-s2.0-105017599346.txt
2-s2.0-105017757935,none,0,1,
2-s2.0-105018276467,full_text,101000,2,data/fulltext/v2txt/2-s2.0-105018276467.txt
2-s2.0-105018832745,none,0,1,
2-s2.0-105019225029,none,0,1,
2-s2.0-105019357120,full_text,146295,2,data/fulltext/v2txt/2-s2.0-105019357120.txt
2-s2.0-105019533649,full_text,88200,5,data/fulltext/v2txt/2-s2.0-105019533649.txt
2-s2.0-105019603181,full_text,152645,4,data/fulltext/v2txt/2-s2.0-105019603181.txt
2-s2.0-105019625689,full_text,139410,1,data/fulltext/v2txt/2-s2.0-105019625689.txt
2-s2.0-105019627019,none,0,1,
2-s2.0-105020578144,full_text,55699,2,data/fulltext/v2txt/2-s2.0-105020578144.txt
2-s2.0-105020894042,none,0,1,
2-s2.0-105021775752,full_text,50232,3,data/fulltext/v2txt/2-s2.0-105021775752.txt
2-s2.0-105022108218,full_text,41251,2,data/fulltext/v2txt/2-s2.0-105022108218.txt
2-s2.0-105027587881,full_text,69040,1,data/fulltext/v2txt/2-s2.0-105027587881.txt
2-s2.0-105027856675,full_text,66474,25,data/fulltext/v2txt/2-s2.0-105027856675.txt
2-s2.0-105027959122,full_text,177765,3,data/fulltext/v2txt/2-s2.0-105027959122.txt
