study_id,shard,ruling_applied,needs_reappraisal,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,n_high,overall,n_high_corrected,overall_ruling_corrected,source_read,quote_item6,quote_item10,notes
2-s2.0-105004472114,700,yes,,LOW,LOW,HIGH,LOW,LOW,HIGH,HIGH,LOW,HIGH,LOW,4,MODERATE,4,MODERATE,full_text,Seven disinformation narratives and three verified true news items were selected by media experts based on their relevance and salience in the Czech information environment at the time of data collection.,"Approximately one third of participants (34.2 %) reported not recognizing any of the seven disinformation narratives presented. In contrast, 6.5 % recognized five or more.","Lukavska et al., Computers in Human Behavior Reports 2025. Online panel survey of 3,240 Czech adults 16+, June 2023, quota-balanced on age, gender, education, region, settlement size, internet use, occupation and vote. Item1/2 LOW: a real national adult population reached through a panel explicitly balanced to represent it. Item3 HIGH: quota balancing on an opt-in commercial panel, not probability selection. Item4 LOW: 3,994 invited, 3,480 entered, response rate 87.1% reported, with exclusions itemised. Item5 LOW: direct self-report. Item6 HIGH: the seven narratives are expert-selected for salience and polarisation potential, not drawn from any external fact-check roster or credibility list - internal and ad hoc under the ruling, even though the narratives were genuinely circulating. Item7 HIGH: the exposure measure is unvalidated recognition self-report; the reported Cronbach alpha 0.815 / McDonald omega 0.819 belong to the TRUST scale, not to exposure. Item8 LOW: one self-administered online mode. Item9 HIGH: the exposure item carries no recall window at all. Item10 LOW: numerator is respondents recognising five or more narratives, denominator is all 3,240 respondents - a real population denominator."
2-s2.0-105009525075,700,yes,,LOW,LOW,LOW,NA,HIGH,LOW,HIGH,LOW,LOW,HIGH,3,MODERATE,3,MODERATE,full_text,"We filter this sample to 20,744 URLs that were labeled as False by Facebook's IFCN fact-checking partners.","The peak is close to .2 on the y-axis, indicating that 20% of the European population saw at least one misinformation story in that month, assuming that each user viewed only one misinformation story.","Holt, Charquero-Ballester, Walter & Bechmann, JEPOP 2025. Meta/Social Science One URL Shares dataset, 28 countries, Jan 2017-Nov 2022; 9,298 fact-checked-False URLs with 270,828 noise-filtered data rows. Item1/2 LOW: the target population is EU+UK Facebook users and the dataset is the platform's own public-URL exposure universe, not a keyword-seeded corpus. Item3 LOW: a census of all qualifying URLs plus a documented, pre-specified noise filter (alpha = 0.0005). Item4 NA (no respondents). Item5 HIGH: exposure reaches the analyst as differentially-private monthly aggregates of view counts, and the headline figure is an inferred audience share, not a per-person trace. Item6 LOW: IFCN fact-checking partners' False verdicts are an external, pre-existing ground truth. Item7 HIGH: no accuracy or reliability statistic for the fact-check labelling, and the authors themselves cite Allen et al. (2021) finding this dataset overestimates fake news by up to four times. Item8 LOW: one dataset, one pipeline. Item9 LOW: the window is stated (2017-2022) and the 20% figure is tied to a named month, March 2020. Item10 HIGH: the numerator is view EVENTS of misinformation URLs and the denominator is the whole European POPULATION, bridged only by the stated assumption that each user viewed exactly one misinformation story - the paper prints the assumption, but it makes the ratio a ceiling of unknown looseness rather than a share of exposed people."
W3171657220,700,yes,,LOW,HIGH,HIGH,UNCLEAR,LOW,LOW,HIGH,LOW,HIGH,LOW,4,MODERATE,4,MODERATE,full_text,Have you ever heard that symptoms of COVID-19 seem to be connected to 5G mobile network radiation?,Table 1: Have you ever heard that symptoms of COVID-19 seem to be connected to 5G mobile network radiation? | Total 258 | YES 162 | 62.9 | NO 72 | 27.8 | Not Sure 24 | 9.3,"Chembe, Banda, Kalezhi & Kunda, Zambia ICT Journal 2021. Online Google Forms survey, June-July 2020, 258 internet-using Zambian adults. Item1 LOW: a real if narrow public (Zambians with internet access); the population is not defined by the outcome. Item2 HIGH: the frame is Facebook and WhatsApp groups the authors could reach - 'The survey link was shared on Facebook and various WhatsApp groups to get wide range of respondents.' Item3 HIGH: the paper says 'Random sampling was used to administer online questionnaire using Google Forms', but link-sharing into self-selected groups is convenience recruitment; the Cochran calculation fixes a target size, not a selection mechanism. Item4 UNCLEAR (treated as HIGH): the number reached or invited is never reported, so non-response cannot be assessed. Item5 LOW: direct self-report. Item6 LOW: a single named claim whose falsity is externally established, and the paper reviews the RF-EMF literature showing no 5G-COVID link - not author-devised subjective coding. Item7 HIGH: single unvalidated self-report item, no reliability statistic, 21-item author-written questionnaire. Item8 LOW: one online self-administered mode. Item9 HIGH: 'Have you ever heard...' carries no recall window. Item10 LOW: numerator 162, denominator all 258 respondents. quote_item10 is Table 1 reassembled from the text layer, which interleaves the table with an adjacent column."
W4210350805,700,yes,,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,HIGH,HIGH,3,HIGH,3,HIGH,full_text,"This study investigated the believability of alarmist social media posts among civil servants in Anambra State with particular reference to the Nigerian Army's ""deadly vaccine"" episode of October 11, 2017, that caused significant panic in Anambra State.","Table 7 Respondents' Exposure to the Army ""Deadly Vaccine"" Report: Yes 332 100.0 / No 0 0.0 / Total 332 100.0","Nnaemeka & Onunkwor, NAU Journal of Communication and Media Studies 2021. Questionnaire survey of Anambra State civil servants on the 11 October 2017 monkeypox-injection rumour. Item1 LOW: a real occupational population (3,222 staff of 13 ministries); narrowness is charged at items 2-3, not here. Item2 LOW: the frame is the complete personnel roster supplied by the Office of the Head of Service. Item3 LOW: cluster sampling by ministry with proportional allocation and random selection within clusters. Item4 LOW: 332 of 341 distributed copies recovered (97.4%), reported. Item5 LOW: direct self-report. Item6 LOW: one named, externally falsified rumour (press and Army denials), not an author-devised quality rubric - although the questionnaire item wording is never printed, which is why item7 carries the penalty. Item7 HIGH: the only validity evidence is the author's own satisfaction after a 20-person pilot, and reliability is a test-retest on the same 20 people reported as 'no significant difference' with no coefficient; the exposure item itself is never reproduced. Item8 LOW: one self-administered paper mode. Item9 HIGH: no fieldwork date is given anywhere, so the recall gap between the October 2017 event and the survey is unknown. Item10 HIGH: the denominator (332 respondents) is correct in form but the numerator is 332 with literally zero non-exposed, in a table set where 332 recurs as every row total; a 100.0% single-rumour exposure with no non-exposed cell is not a credible observed count, so the numerator is not appropriate. OVERALL is a judgement of HIGH rather than the MODERATE the 3-HIGH anchor would give: Hoy has no data-integrity item, and this is the study flagged in FLAGS.md for exactly that reason. Recorded here so the deviation is visible."
W4306960737,700,yes,,HIGH,HIGH,HIGH,NA,NA,HIGH,HIGH,LOW,HIGH,HIGH,7,HIGH,7,HIGH,full_text,"Misinformation was assessed using a 5-point Likert scale. On this scale, a score of 1 point indicated good quality information with low levels of misinformation, and a score of 5 points indicated high levels of misinformation.","Misinformation was found in 49.7% of the videos analysed, and 22.5% contained moderate to high levels of misinformation.","Saad, Shanmugasundaram, Ashrafi & Gilbourd, SIUJ 2022. Content analysis of 120 YouTube videos retrieved for 'kidney cancer', September 2021. Item1/2 HIGH: the universe is a single-keyword topical video corpus, not any audience. Item3 HIGH: 'The first 120 videos meeting these criteria were included' under the default relevance sort - top-N selection. Items4-5 NA (content-only). Item6 HIGH: misinformation is a 5-point Likert impression whose anchors are phrased in quality terms ('good quality information with low levels of misinformation'), and the external anchor invoked is EAU/AUA GUIDELINE adherence, which the instrument names explicitly as quality standing in for falsity. Item7 HIGH: two independent reviewers with a third as tiebreak, but no kappa, ICC or agreement figure is reported; the misinformation Likert is not a validated instrument (DISCERN and GQS, which are, measure quality). Item8 LOW: one platform, one search, one protocol. Item9 HIGH: a single-month search generalised to prevalence, with no observation window for the content. Item10 HIGH: the denominator is 120 keyword-retrieved videos rather than any audience's diet, and the numerator counts every video scoring above 1, which includes the 32 videos at score 2. The paper also contradicts itself: Results say 49.7%, Discussion says 49.2%, and Table 4's own counts (61 of 120 at score 1) imply 49.2%."
W4313324568,700,yes,,LOW,HIGH,HIGH,UNCLEAR,LOW,HIGH,HIGH,LOW,HIGH,LOW,5,MODERATE,5,MODERATE,full_text,"This is shown by the fact that 58,3% stated that they have been influenced by disinformation.",We gathered responses from a total sample of 115 young people students aged between 12 and 24 years old.,"Panagiotou, Lazou & Baliou, Generation Z: Media Consumption and MIL. Online questionnaire, 115 Greek pupils and students aged 12-24. Item1 LOW: a real population (Greek youth). Item2 HIGH: the frame is 'nation-wide social media groups' plus onward forwarding - 'we asked members to pass the questionnaires to this age group'. Item3 HIGH: explicitly snowball and self-selection ('according to willingness'). Item4 UNCLEAR (treated as HIGH): no invited denominator and no response rate. Item5 LOW: direct self-report. Item6 HIGH: the case is the respondent's own retrospective judgement that they were 'influenced by disinformation'; no external standard, and the item wording is never reproduced. Item7 HIGH: the authors describe their own instrument as an 'ad hoc design-adapted tool'; no validity or reliability evidence of any kind. Item8 LOW: one online questionnaire. Item9 HIGH: no recall window in the item and no fieldwork dates for the survey. Item10 LOW: numerator is respondents answering positively, denominator is all 115 respondents; n = 115 is small, but size is a precision descriptor, not a Hoy bias item."
W4318617911,700,yes,,HIGH,HIGH,HIGH,NA,NA,HIGH,HIGH,LOW,HIGH,HIGH,7,HIGH,7,HIGH,full_text,"se analizaron todos los mensajes de las publicaciones analizadas, ya sea texto, imagen o video, y se verifico en portales de noticias tradicionales la veracidad de la informacion presentada. ['all the messages in the analysed posts were examined, whether text, image or video, and the veracity of the information presented was checked against traditional news portals.']","se constata que cuando se observan los tres conflictos juntos, casi un tercio de las publicaciones de la muestra presentan algun tipo de trastorno de la informacion (95 en total) ['when the three conflicts are looked at together, almost a third of the posts in the sample show some type of information disorder (95 in total)']","Penteado & Chaves, MHJournal 2023. Content analysis of the 100 most-retweeted tweets in each of three Brazilian political conflicts (n = 300). Item1/2 HIGH: a keyword-defined topical corpus of three controversies, not an audience. Item3 HIGH: top-100-by-retweet selection. Items4-5 NA (content-only). Item6 HIGH: the coding frame is the Wardle & Derakhshan information-disorder typology applied by the authors, with veracity checked informally against 'traditional news portals' rather than a fact-check verdict roster or credibility list; the categories bundle satire/parody (17 items) and false connection with fabricated content, so form and falsity are mixed. Item7 HIGH: an inter-coder reliability test with two coders is claimed following Sampaio and Lycariao (2021), but no coefficient or agreement figure is printed. Item8 LOW: one platform, one protocol. Item9 HIGH: each conflict was collected over a 24-hour window ('se compilaron durante un periodo de 24 horas' ['they were compiled over a 24-hour period']) and generalised to prevalence. Item10 HIGH: the denominator is ambiguous - 95/300 is the printed figure, but 65 of the 300 were deleted or from suspended accounts and could not be coded at all, giving 95/235 = 40.4% among coded tweets, and dropping the 17 satire items gives 78/300 = 26.0%."
W4383851554,700,yes,,HIGH,HIGH,HIGH,NA,NA,HIGH,HIGH,LOW,HIGH,HIGH,7,HIGH,7,HIGH,full_text,Source of information (true or false) according to the latest WHO guidelines on diabetes,The authenticity of the information was not determined in 221 posts (49.33%) whereas misinformation was seen in 19 posts (4.24%).,"Sen, Jeswin, Bellary & Sai Kumar, Journal of Community Health Management 2023. Cross-sectional analysis of the top-100 posts under each of six diabetes hashtags on Instagram, third week of August 2022; 448 of 600 judged relevant. Item1/2 HIGH: a hashtag-seeded topical corpus. Item3 HIGH: 'the top-performing hundred posts tagged under each of the six hashtags' - top-N by engagement. Items4-5 NA (content-only). Item6 HIGH: truth is judged by conformity with 'the latest WHO guidelines on diabetes', which is guideline adherence standing in for falsity, the case the instrument names as failing. Item7 HIGH: 'Each of the researchers chose one/two hashtags and collected data' - single-coded by hashtag, no double coding and no reliability statistic. Item8 LOW: one platform, one protocol, one week. Item9 HIGH: a one-week retrieval of all-time top-performing posts gives no coherent prevalence period; the posts themselves span 1-6 months and more. Item10 HIGH: the denominator is 448 hashtag-retrieved topical posts rather than any audience's diet, and 221 of those (49.3%) could not be adjudicated yet stay in the denominator, so 4.24% is a floor of unknown size."
W4385325063,700,yes,,LOW,LOW,LOW,HIGH,LOW,LOW,HIGH,LOW,LOW,LOW,2,LOW,2,LOW,full_text,content from misinformation repeat offenders (sources identified by Facebook as repeatedly posting misinformation),"Substantively, the average proportion of exposures decreased from 0.034% to 0.030% for content with slur words (a reduction of 0.01 views per day on average), from 3.15% to 2.81% for uncivil content (a reduction of 1.24 views per day on average), and from 0.76% to 0.55% for content from misinformation repeat offenders (a reduction of 0.62 views per day on average).","Nyhan et al., Nature 2023 (US 2020 Facebook and Instagram Election Study). Field experiment with 23,377 consenting US Facebook users, Feed exposures logged 24 September - 23 December 2020; the 0.76% is the control group's Feed. Item1 LOW: the target population is US adult monthly-active Facebook users, with survey weights built to that population and benchmarked against an AmeriSpeak probability sample. Item2 LOW: recruitment was by survey invitation placed in the Feeds of eligible users platform-wide. Item3 LOW: the exposure measure is a complete platform-side behavioural trace of every Feed view, not a sample of content. Item4 HIGH: participation required consent to an in-Feed invitation and the authors state plainly that participants 'use Facebook more frequently than the general Facebook population and are exposed to more content from politically like-minded sources (the phenomenon of interest)'; weights are applied to the attitudinal PATEs, not to this descriptive exposure share, so the selection runs in the same direction as the quantity being estimated. Item5 LOW: trace from the subjects' own accounts. Item6 LOW: the case definition is Meta's repeat-misinformation-offender source designation - external to the researchers and pre-existing, which is what the source-level ruling requires; it is proprietary and unauditable, and that is charged at item7 rather than counted twice here. Item7 HIGH: no validity or reliability evidence is available for the Meta classifier, its criteria are unpublished, and it labels SOURCES rather than adjudicating individual posts. Item8 LOW: one platform, one logging pipeline, one window. Item9 LOW: a three-month window, dated exactly. Item10 LOW: the denominator is ALL Feed content exposures of the control group - a real audience's entire received diet - which is exactly what the item asks for. Recorded as source-level under addendum H: this is the share of exposures FROM flagged sources, not the share of exposures that were false. This and W4414259328/scholar_01 are the two population-scale trace studies in the batch and the instrument separates them from the small surveys cleanly, with items 6 and 10 both LOW."
W4389633384,700,yes,,HIGH,HIGH,LOW,NA,NA,HIGH,HIGH,LOW,HIGH,HIGH,6,HIGH,6,HIGH,full_text,The last category was classified as Misinformation/Advertisement.,Misinformation represented only 3% of the total sample.,"Talbot, Charron & Konkle, Open Health 2023. Deductive thematic analysis of 235 English-language Tumblr text posts on perinatal health, collected through the PyTumblr API over four days, 18-21 August 2023. Item1/2 HIGH: a 15-keyword topical corpus. Item3 LOW: all posts returned for the keyword set within the window were taken, then screened for relevance and language - a census of the frame. Items4-5 NA (content-only). Item6 HIGH: misinformation is a theme discovered inside a thematic analysis and bundled with advertising in one category, with no external standard applied to any post; the paper's only definition is conceptual ('information that is false and is being shared by an individual who thinks it is true'), and the flagged posts are promotional content pushing natural remedies, so the misinformation-versus-advertising boundary is thin. Item7 HIGH: two co-authors coded independently, no kappa or agreement statistic. Item8 LOW: one platform, one API pipeline, one window. Item9 HIGH: a four-day collection window generalised to prevalence. Item10 HIGH: the denominator is 235 keyword-retrieved perinatal posts rather than any audience's diet, and the numerator is a subcount inside a 30-post thematic category."
