test,stratum,content_k,sharing_k,content_median,sharing_median,diff,ci_lo,ci_hi
stratified,claim_level,255,12,24.0,13.7,10.3,-1.7,21.8
stratified,source_level,19,34,2.7,11.9,-9.2,-14.8,-0.8
stratified,researcher_coding,234,13,25.0,18.2,6.8,-3.0,13.3
stratified,fact_checker,11,4,4.8,6.9,-2.0,-14.3,12.1
stratified,domain_list,17,26,2.7,7.8,-5.1,-11.9,0.8
stratified,classifier,16,3,17.5,23.0,-5.5,-50.9,18.5
eta2,ground_truth,4,312,0.149,,,,
eta2,topic,9,307,0.103,,,,
eta2,platform_norm,12,336,0.101,,,,
eta2,sampling_frame,7,317,0.085,,,,
eta2,breadth,4,324,0.07,,,,
eta2,classification_level,2,307,0.061,,,,
eta2,denom_scope,5,311,0.061,,,,
eta2,unit,6,323,0.026,,,,
eta2,construct,2,319,0.022,,,,
eta2,denom_selection,3,319,0.008,,,,
