id,country,platform,group,share,dim,unit,quote
2-s2.0-85194023903,English-language,Twitter/X,0.25,81,sharing,user,"Removing the top 1,000 superspreaders (0.25% of the accounts who posted during the evaluat"
2-s2.0-85194023903,English-language,Twitter/X,0.003,38.1,sharing,user,removing the top 10 superspreaders eliminates 34.6% and 34.3% of the low-credibility conte
2-s2.0-85145956359,United States,Twitter/X,1,70,exposure,user,only 1% of users accounted for 70% of exposures
2-s2.0-85148963619,English-language,Twitter/X,"~800 verified 'superspreader' accounts (~5.6% of low-cred posters; status-defined, not a volume percentile)",35,sharing,user,Tweets by a small group of approximately 800 “superspreaders” verified by Twitter accounte
W4407878374,Norway,Twitter/X,25,75,sharing,user,25% of the most active users contribute to approximately 75% of the misinformation content
W4281770633,United States,Twitter/X,0.0013,28.6,sharing,user,"The top 35 accounts alone were responsible for 9,304,879 out of 32,581,921—or 28.6%—of all"
W4281770633,United States,Twitter/X,0.0054,50,sharing,user,We used 150 accounts because they were also responsible for almost exactly half of the ret
2-s2.0-85159153364,Global,Twitter/X,top-15 Twitter accounts (rank-truncated; mostly verified),68.0%,sharing,user,generate over 68% of all retweets linking to these [Russian propaganda] websites
2-s2.0-85159153364,Global,Facebook,top-15 Facebook accounts/pages (rank-truncated),80.0%,sharing,user,they generate over 80% of all interactions around links to Russian propaganda and low-cred
2-s2.0-85194733750,United States,Twitter/X,0.3,80,sharing,user,an extremely small fraction of our sample (0.3%; only 2107 people) accounted for 80% of th
2-s2.0-85078014559,Italy,Twitter/X,20,90,sharing,user,approximately 20% of the community (~4k users) accounts for more than 90% of total tweets 
2-s2.0-85160248068,United States,Google Search,31.3,90,exposure,user,31.3% of participants accounting for 90% of all unreliable news exposures in 2018 (25.1% i
2-s2.0-85160248068,United States,Google Search,25.1,90,exposure,user,31.3% of participants accounting for 90% of all unreliable news exposures in 2018 (25.1% i
2-s2.0-85195353413,United States,Twitter/X,"deplatformed users (0.23% of panel; selection-defined by moderation, not a volume percentile)",24.13,sharing,user,These deplatformed users accounted for 4.35% of all URL sharing and 24.13% of all misinfor
2-s2.0-85105454127,United States,Twitter/X,1,75,sharing,user,1% of the panelists are responsible for sharing about 75% of all links to fake news publis
2-s2.0-105002155467,United States,web_cross_platform,1,65.3,exposure,user,This 1% of the panelists are responsible for visiting 65.3% of all unreliable pages in our
2-s2.0-85060549676,United States,Twitter/X,1,80,exposure,user,1% of panel members consumed 80.0% of the volume from fake news sources.
2-s2.0-85060549676,United States,Twitter/X,0.1,79.8,exposure,user,A mere 0.1% of the panel accounted for 79.8% of shares from fake news sources.
2-s2.0-85081743293,United States,web_cross_platform,20,62,exposure,user,62% of all page-level traffic to untrustworthy websites observed in our data during the st
2-s2.0-85060549676,United States,Twitter/X,5 (of sources),50,exposure,source,"Within each category of fake news, 5% of sources accounted for more than 50% of exposures "
2-s2.0-85078014559,Italy,Twitter/X,top 10 sources,95,sharing,source,"Top-10 sources, which account for over 95% of total tweets"
2-s2.0-85145956359,United States,Twitter/X,10,98,exposure,user,"almost all exposure is concentrated among only 10% of respondents, who account for 98% of "
2-s2.0-85148963619,English-language,Twitter/X,top-20 low-credibility sources (rank-truncated; source-count denominator unreported),61,sharing,source,"CHD accounted for approximately 18% of all tweets linking to low-credibility sources, wher"
W7146985142,Germany,web_cross_platform,top 3 domains,49,exposure,source,"the top three domains classified as untrustworthy (NewsGuard score below 60), including rt"
W7146985142,Germany,web_cross_platform,top 3 domains,23,exposure,source,in 2024 the top three most visited trustworthy domains account for 32% of visits to trustw
2-s2.0-105029413645,United States,web_cross_platform,1,37,exposure,user,"Notably, the top 1% of users accounts for 37% of total exposure, and the top 10% accounts "
2-s2.0-105029413645,United States,web_cross_platform,10,77,exposure,user,"Notably, the top 1% of users accounts for 37% of total exposure, and the top 10% accounts "
NEW-bergeronboutin-sciadv2026,United States,Facebook,top 23% by untrustworthy exposure,80,exposure,user,"23% of Facebook users and 11% of Instagram users, representing approximately 53 million an"
NEW-bergeronboutin-sciadv2026,United States,Facebook,top 20% of users by untrustworthy-source exposure,75.9,exposure,user,"Among Facebook users, the top 20% of users by untrustworthy source exposure were responsib"
NEW-bergeronboutin-sciadv2026,United States,Instagram,top 20% of users by untrustworthy-source exposure,90.1,exposure,user,"Similarly, the top 20% of Instagram users were responsible for 90.1% of total untrustworth"
NEW-bergeronboutin-sciadv2026,United States,Facebook,top 0.5% of untrustworthy Pages by total views (235 Pages),74,exposure,source,Pages by total views (235 Pages) were responsible for 74% of total exposure to untrustwort
NEW-bergeronboutin-sciadv2026,United States,Facebook,top 0.5% of untrustworthy domains (13 domains),70,exposure,source,"Similarly, the top 0.5% of untrustworthy domains (13 domains) were responsible for 70% of "
NEW-bergeronboutin-sciadv2026,United States,Facebook,top 0.5% of untrustworthy groups (199 groups),46,exposure,source,"Concentration is somewhat lower among groups, where the top 0.5% (199 groups) were respons"
2-s2.0-85074596916,United States,Twitter/X,"Amplifier accounts: accounts posting 50 or more times a day using the study's election hashtags (automated, semiautomated, or highly active human-curated)",27.8,sharing,user,"For Polarizing and Conspiracy Content, the number of total shares almost doubled to 180,33"
2-s2.0-85188358632,Finland,Twitter/X,"The vocal minority (the 'loud' 10%) of online users, predominantly anti-vaccination campaigners and malicious bots",82,sharing,user,the vocal 10% of online users were predominantly anti-vaccination campaigners and maliciou
NEW-bergeronboutin-sciadv2026,United States,Instagram,11,80,exposure,user,"In total, 23% of Facebook users and 11% of Instagram users, representing approximately 53 "
