id,dimension,top_pct_people,activity_share_pct,unit,country,platform,quote
2-s2.0-85194023903,sharing,0.25,81.0,user,English-language,Twitter/X,"Removing the top 1,000 superspreaders (0.25% of the accounts who posted during the evaluation period) eliminates 73-78% of the low-credibili"
2-s2.0-85194023903,sharing,0.003,38.1,user,English-language,Twitter/X,"removing the top 10 superspreaders eliminates 34.6% and 34.3% of the low-credibility content based on h-index and Influence, respectively (o"
2-s2.0-85145956359,exposure,1.0,70.0,user,United States,Twitter/X,only 1% of users accounted for 70% of exposures
2-s2.0-85148963619,sharing,,35.0,user,English-language,Twitter/X,Tweets by a small group of approximately 800 “superspreaders” verified by Twitter accounted for approximately 35% of all reshares of misinfo
W4407878374,sharing,25.0,75.0,user,Norway,Twitter/X,25% of the most active users contribute to approximately 75% of the misinformation content
W4281770633,sharing,0.0013,28.6,user,United States,Twitter/X,"The top 35 accounts alone were responsible for 9,304,879 out of 32,581,921—or 28.6%—of all 'sows doubt' connected retweets and quote tweets "
W4281770633,sharing,0.0054,50.0,user,United States,Twitter/X,We used 150 accounts because they were also responsible for almost exactly half of the retweets and quote tweets in the data
2-s2.0-85159153364,sharing,,68.0,user,Global,Twitter/X,generate over 68% of all retweets linking to these [Russian propaganda] websites
2-s2.0-85159153364,sharing,,80.0,user,Global,Facebook,they generate over 80% of all interactions around links to Russian propaganda and low-credibility information websites
2-s2.0-85194733750,sharing,0.3,80.0,user,United States,Twitter/X,an extremely small fraction of our sample (0.3%; only 2107 people) accounted for 80% of the tweets linking to fake news sources
2-s2.0-85078014559,sharing,20.0,90.0,user,Italy,Twitter/X,approximately 20% of the community (~4k users) accounts for more than 90% of total tweets (~330k)
2-s2.0-85160248068,exposure,31.3,90.0,user,United States,Google Search,31.3% of participants accounting for 90% of all unreliable news exposures in 2018 (25.1% in 2020)
2-s2.0-85160248068,exposure,25.1,90.0,user,United States,Google Search,31.3% of participants accounting for 90% of all unreliable news exposures in 2018 (25.1% in 2020)
2-s2.0-85195353413,sharing,0.23,24.13,user,United States,Twitter/X,These deplatformed users accounted for 4.35% of all URL sharing and 24.13% of all misinformation URLs shared among our sample during Decembe
2-s2.0-85105454127,sharing,1.0,75.0,user,United States,Twitter/X,1% of the panelists are responsible for sharing about 75% of all links to fake news publishers
2-s2.0-105002155467,exposure,1.0,65.3,user,United States,web_cross_platform,This 1% of the panelists are responsible for visiting 65.3% of all unreliable pages in our data
2-s2.0-85060549676,exposure,1.0,80.0,user,United States,Twitter/X,1% of panel members consumed 80.0% of the volume from fake news sources.
2-s2.0-85060549676,exposure,0.1,79.8,user,United States,Twitter/X,A mere 0.1% of the panel accounted for 79.8% of shares from fake news sources.
2-s2.0-85081743293,exposure,20.0,62.0,user,United States,web_cross_platform,62% of all page-level traffic to untrustworthy websites observed in our data during the study period came from the 20% of news consumers wit
2-s2.0-85145956359,exposure,10.0,98.0,user,United States,Twitter/X,"almost all exposure is concentrated among only 10% of respondents, who account for 98% of exposures"
2-s2.0-105029413645,exposure,1.0,37.0,user,United States,web_cross_platform,"Notably, the top 1% of users accounts for 37% of total exposure, and the top 10% accounts for 77% of total exposure (see Figure D.1)."
2-s2.0-105029413645,exposure,10.0,77.0,user,United States,web_cross_platform,"Notably, the top 1% of users accounts for 37% of total exposure, and the top 10% accounts for 77% of total exposure (see Figure D.1)."
NEW-bergeronboutin-sciadv2026,exposure,23.0,80.0,user,United States,Facebook,"23% of Facebook users and 11% of Instagram users, representing approximately 53 million and 22 million accounts, were responsible for 80% of"
NEW-bergeronboutin-sciadv2026,exposure,20.0,75.9,user,United States,Facebook,"Among Facebook users, the top 20% of users by untrustworthy source exposure were responsible for 75.9% of total exposure to this type of con"
NEW-bergeronboutin-sciadv2026,exposure,20.0,90.1,user,United States,Instagram,"Similarly, the top 20% of Instagram users were responsible for 90.1% of total untrustworthy source exposure on the platform."
2-s2.0-85074596916,sharing,0.11,24.1,user,United States,Twitter/X,"For Polarizing and Conspiracy Content, the number of total shares almost doubled to 180,337 shares generating 27.8 percent of all tweets in "
2-s2.0-85188358632,sharing,10.0,82.0,user,Finland,Twitter/X,"the vocal 10% of online users were predominantly anti-vaccination campaigners and malicious bots. In fact, over 82% of the MINVS contents fr"
NEW-bergeronboutin-sciadv2026,exposure,11.0,80.0,user,United States,Instagram,"In total, 23% of Facebook users and 11% of Instagram users, representing approximately 53 million and 22 million accounts, respectively, wer"
