construct,level,n_studies,est_n,est_median,est_iqr,est_range,study_n,study_median,study_iqr
EXPOSURE,ALL denominators,18,39,1.1,0.16–3.3,0.02–12.0,18,1.31,0.52–3.59
EXPOSURE,  └ ?,2,2,1.21,0.53–1.88,0.76–1.66,2,1.21,0.53–1.88
EXPOSURE,  └ all_media,6,10,0.15,0.1–1.45,0.07–12.0,6,0.15,0.12–2.26
EXPOSURE,  └ news_diet,10,21,1.86,0.64–3.89,0.02–5.9,10,1.72,0.56–5.03
EXPOSURE,  └ political_news,1,2,3.09,0.22–5.96,1.18–5.0,1,3.09,3.09–3.09
EXPOSURE,  └ single_source,1,2,1.38,0.39–2.38,0.72–2.05,1,1.38,1.38–1.38
EXPOSURE,  └ topical,1,2,6.5,1.25–11.75,3.0–10.0,1,6.5,6.5–6.5
REACH,ALL denominators,27,59,6.7,1.48–17.0,0.12–70.0,27,12.0,7.4–26.2
REACH,  └ ?,2,3,18.5,9.4–39.6,9.4–39.6,2,26.77,7.54–46.01
REACH,  └ population,26,56,5.4,1.34–16.24,0.12–70.0,26,11.5,7.18–29.4
RECALL,ALL denominators,91,244,38.25,20.07–63.8,2.2–100.0,91,43.0,27.5–63.75
RECALL,  └ ?,12,19,63.8,34.9–74.1,12.3–100.0,12,63.35,40.67–68.67
RECALL,  └ population,84,225,37.0,19.8–60.31,2.2–97.0,84,41.3,26.86–63.31
SHARING,ALL denominators,45,94,9.73,1.87–22.06,0.0–58.9,45,13.0,3.88–22.5
SHARING,  └ ?,5,7,11.4,1.9–15.45,1.48–50.58,5,11.4,3.75–14.72
SHARING,  └ all_media,1,1,0.68,0.68–0.68,0.68–0.68,1,0.68,0.68–0.68
SHARING,  └ curated_sample,12,16,19.5,5.72–25.04,0.2–50.0,12,19.5,14.05–25.0
SHARING,  └ news_diet,7,18,5.58,1.47–11.15,0.05–25.0,7,4.0,1.9–10.42
SHARING,  └ political_news,12,29,10.0,0.69–18.2,0.0–40.0,12,11.6,6.78–17.65
SHARING,  └ population,1,2,16.95,-0.97–34.88,5.0–28.9,1,16.95,16.95–16.95
SHARING,  └ single_source,1,1,14.3,14.3–14.3,14.3–14.3,1,14.3,14.3–14.3
SHARING,  └ topical,12,20,7.5,1.95–33.52,0.0–58.9,12,14.05,2.75–33.55
CONTENT,ALL denominators,274,425,18.5,5.55–36.0,0.0–100.0,274,23.0,7.07–39.0
CONTENT,  └ ?,4,5,1.0,0.15–22.15,0.0–41.3,4,1.75,0.35–31.72
CONTENT,  └ all_media,2,4,0.04,0.02–2.49,0.02–3.3,2,1.66,-0.8–4.12
CONTENT,  └ curated_sample,113,184,19.4,7.42–36.95,0.0–100.0,113,23.0,8.55–39.25
CONTENT,  └ news_diet,3,8,8.0,4.55–19.04,1.94–32.0,3,6.66,4.84–26.5
CONTENT,  └ political_news,5,7,30.0,1.99–38.8,0.18–60.0,5,26.5,1.08–39.7
CONTENT,  └ single_source,16,24,10.05,3.1–27.52,0.2–77.0,16,15.24,6.56–27.52
CONTENT,  └ topical,140,193,19.3,5.11–36.2,0.1–100.0,140,23.9,6.47–39.6
CONCENTRATION,ALL denominators,19,36,74.5,49.25–80.0,23.0–98.0,19,74.0,48.0–80.0
CONCENTRATION,  └ n/a,19,36,74.5,49.25–80.0,23.0–98.0,19,74.0,48.0–80.0
