from_version,to_version,construct,from_median,to_median,delta_pp,direction,transition,studies_delta
1.3.1,1.3.2,REACH,21.4,21.2,-0.2,down,correction,0
1.3.2,1.3.3,REACH,21.2,21.4,0.2,up,correction,0
1.3.4,1.3.5,CONTENT,22.65,22.3,-0.35,down,correction,2
1.3.5,1.3.6,CONCENTRATION,56.0,57.0,1.0,up,correction,1
1.3.6,1.4.0,CONCENTRATION,57.0,58.27,1.27,up,correction,0
1.4.0,1.4.1,EXPOSURE,2.59,2.84,0.25,up,correction,-3
1.4.0,1.4.1,REACH,21.4,13.0,-8.4,down,correction,-3
1.4.0,1.4.1,RECALL,53.66,54.0,0.34,up,correction,-3
1.4.0,1.4.1,SHARING,12.55,11.1,-1.45,down,correction,-3
1.4.0,1.4.1,CONTENT,22.3,22.65,0.35,up,correction,-3
1.4.0,1.4.1,CONCENTRATION,58.27,59.55,1.27,up,correction,-3
1.4.1,1.4.2,REACH,13.0,12.0,-1.0,down,correction,0
1.4.1,1.4.2,RECALL,54.0,55.62,1.62,up,correction,0
1.4.1,1.4.2,SHARING,11.1,13.1,2.0,up,correction,0
1.4.2,1.4.3,RECALL,55.62,55.38,-0.25,down,correction,-5
1.4.2,1.4.3,CONTENT,22.65,23.0,0.35,up,correction,-5
1.4.3,1.4.4,CONTENT,23.0,23.1,0.1,up,correction,-1
1.4.4,1.4.5,CONTENT,23.1,23.0,-0.1,down,correction,1
1.4.6,1.4.7,EXPOSURE,2.84,2.6,-0.24,down,correction,0
1.4.6,1.4.7,SHARING,13.1,13.45,0.35,up,correction,0
1.4.6,1.4.7,CONCENTRATION,59.55,74.0,14.45,up,correction,0
1.4.10,1.4.11,CONCENTRATION,74.0,69.65,-4.35,down,correction,0
1.5.5,1.5.6,RECALL,55.38,54.0,-1.38,down,correction,-1
1.5.7,1.5.8,RECALL,54.0,55.04,1.04,up,correction,-1
1.6.1,1.6.2,REACH,12.0,11.5,-0.5,down,correction,2
1.6.1,1.6.2,CONCENTRATION,69.65,74.0,4.35,up,correction,2
1.6.2,1.6.3,SHARING,13.45,13.1,-0.35,down,correction,-1
1.6.3,1.6.4,SHARING,13.1,9.1,-4.0,down,correction,1
1.6.3,1.6.4,CONTENT,22.98,23.1,0.12,up,correction,1
1.6.7,1.6.8,CONTENT,23.1,23.0,-0.1,down,correction,-1
1.7.3,1.7.4,SHARING,9.1,11.2,2.1,up,correction,1
1.7.3,1.7.4,CONTENT,23.0,23.25,0.25,up,correction,1
1.7.6,1.7.7,SHARING,11.2,13.1,1.9,up,correction,0
1.7.6,1.7.7,CONTENT,23.25,23.1,-0.15,down,correction,0
1.7.7,1.7.8,SHARING,13.1,10.0,-3.1,down,correction,0
1.7.7,1.7.8,CONTENT,23.1,23.45,0.35,up,correction,0
1.7.8,1.7.9,SHARING,10.0,9.55,-0.45,down,correction,0
1.7.8,1.7.9,CONTENT,23.45,23.6,0.15,up,correction,0
1.7.13,1.7.14,RECALL,55.04,53.33,-1.71,down,correction,2
1.7.13,1.7.14,CONTENT,23.6,23.45,-0.15,down,correction,2
1.7.14,1.7.15,RECALL,53.33,41.03,-12.3,down,expansion,147
1.7.14,1.7.15,SHARING,9.55,12.5,2.95,up,expansion,147
1.7.14,1.7.15,CONTENT,23.45,23.3,-0.15,down,expansion,147
1.7.15,1.7.16,SHARING,12.5,12.41,-0.09,down,expansion,-6
1.7.15,1.7.16,CONTENT,23.3,23.2,-0.1,down,expansion,-6
1.7.16,1.7.18,EXPOSURE,2.58,1.31,-1.27,down,correction,-4
1.7.16,1.7.18,REACH,11.5,12.5,1.0,up,correction,-4
1.7.16,1.7.18,RECALL,41.03,43.0,1.97,up,correction,-4
1.7.16,1.7.18,SHARING,12.41,13.0,0.59,up,correction,-4
1.7.16,1.7.18,CONTENT,23.2,23.0,-0.2,down,correction,-4
1.7.19,1.7.20,REACH,12.5,12.0,-0.5,down,correction,-1
