country_norm,EXPOSURE,REACH,SHARING,CONCENTRATION,CONTENT,RECALL
United States,15,21,22,12,57,24
Global,0,1,8,1,82,0
Multi-country,0,0,2,0,31,7
Brazil,1,1,3,0,18,3
Italy,0,0,7,1,11,1
China,0,0,1,0,13,4
France,2,2,6,0,3,4
Spain,0,0,0,0,5,11
United Kingdom,1,1,4,0,2,8
Germany,2,1,4,1,5,2
Canada,0,1,0,0,5,4
Nigeria,0,1,0,0,1,7
India,0,1,1,0,3,3
Australia,0,1,0,0,3,2
English-language,0,0,0,2,3,0
Poland,0,0,0,0,4,1
Saudi Arabia,0,0,0,0,3,1
Singapore,0,0,0,0,2,2
Chile,0,0,0,0,1,2
Finland,0,0,0,1,2,0
Indonesia,0,1,0,0,2,0
Malaysia,0,1,0,0,1,1
Portugal,0,0,0,0,2,1
South Korea,0,0,0,0,2,1
Switzerland,0,0,0,0,2,1
Turkey,0,0,0,0,3,0
Czech Republic,0,0,0,0,1,1
Morocco,0,0,0,0,1,1
Norway,0,0,0,1,1,0
Serbia,0,0,0,0,1,1
South Africa,0,1,0,0,1,0
Taiwan,0,0,0,0,2,0
Thailand,0,0,0,0,2,0
Ukraine,0,0,0,0,1,1
Vietnam,0,0,0,0,1,1
Africa,0,0,0,0,1,0
Arab world (Arabic-language),0,0,0,0,1,0
Argentina,0,0,0,0,1,0
Austria,0,0,0,0,1,0
Bangladesh,0,1,0,0,0,0
Costa Rica,0,0,0,0,0,1
Croatia,0,0,0,0,0,1
Cuba,0,0,0,0,0,1
Denmark,0,0,0,0,1,0
Ghana,0,0,0,0,1,0
Greece,0,0,0,0,0,1
Hong Kong,0,0,0,0,0,1
Hungary,0,0,0,0,1,0
Iberoamerica (Spanish-language news; mostly Spain),0,0,0,0,1,0
Ireland,0,0,0,0,1,0
Japan,0,0,0,0,1,0
Jordan,0,0,0,0,1,0
Kenya,0,1,0,0,0,0
Levant,0,0,0,0,0,1
Malawi,0,0,0,0,0,1
NR,0,0,0,0,1,0
North America,0,0,0,0,1,0
Pakistan,0,0,0,0,0,1
Philippines,0,1,0,0,0,0
Romania,0,0,0,0,1,0
Russia,0,0,0,0,0,1
Slovakia,0,0,0,0,1,0
Turkey (study); English-language YouTube videos,0,0,0,0,1,0
United States; South Africa,0,0,0,0,1,0
Unknown,0,0,0,0,0,1
Unspecified,0,0,0,0,1,0
Zambia,0,0,0,0,0,1
TOTAL studies,18,27,45,19,274,91
