group,k,Q,df,Q_p,tau2,I2_pct,pooled_pct,pooled_CI,pred_interval,pred_width_pp,variance_assumption
EXPOSURE,17,28662.4,16,,0.891,99.9,1.45,0.92-2.29,0.18-10.49,10.3,nominal (binomial independence)
EXPOSURE,17,2866.2,16,,0.886,99.4,1.57,0.94-2.60,0.20-11.35,11.2,x10 inflation (clustering sensitivity)
REACH,27,2308417.6,26,,2.973,100.0,11.84,6.55-20.48,0.36-83.32,83.0,nominal (binomial independence)
REACH,27,230841.8,26,,2.973,100.0,11.8,6.49-20.49,0.36-83.28,82.9,x10 inflation (clustering sensitivity)
SHARING,44,10053856.0,43,,0.387,100.0,9.66,8.15-11.41,2.91-27.57,24.7,nominal (binomial independence)
SHARING,44,1005385.6,43,,0.387,100.0,9.57,8.03-11.37,2.88-27.39,24.5,x10 inflation (clustering sensitivity)
CONTENT,269,206161277.6,268,,2.798,100.0,18.44,15.58-21.68,0.83-85.97,85.1,nominal (binomial independence)
CONTENT,269,20616127.8,268,,2.798,100.0,18.8,15.71-22.34,0.85-86.27,85.4,x10 inflation (clustering sensitivity)
RECALL,91,19088.4,90,,0.468,99.5,44.95,41.44-48.50,17.21-76.22,59.0,nominal (binomial independence)
RECALL,91,1908.8,90,,0.449,95.3,44.77,41.03-48.57,17.51-75.58,58.1,x10 inflation (clustering sensitivity)
WHOLE-DIET backbone,33,3236958.7,32,,2.195,100.0,6.06,3.74-9.67,0.30-58.09,57.8,nominal (binomial independence)
WHOLE-DIET backbone,33,323695.9,32,,2.195,100.0,6.06,3.71-9.75,0.30-58.12,57.8,x10 inflation (clustering sensitivity)
