study_dropped,k_remaining,median_without,delta_from_full
2-s2.0-85136023139,33,6.5,-0.38
2-s2.0-85145956359,33,6.5,-0.38
W4293124965,33,7.25,0.38
W7146985142,33,7.25,0.38
2-s2.0-105027959122,33,6.5,-0.38
2-s2.0-85175105353,33,7.25,0.38
2-s2.0-105039619015,33,6.5,-0.38
2-s2.0-85152674280,33,6.5,-0.38
2-s2.0-85162702221,33,6.5,-0.38
2-s2.0-105019533649,33,7.25,0.38
2-s2.0-85037352356,33,7.25,0.38
2-s2.0-85160248068,33,7.25,0.38
2-s2.0-85195353413,33,6.5,-0.38
2-s2.0-85209206311,33,7.25,0.38
2-s2.0-85209547248,33,7.25,0.38
2-s2.0-85105454127,33,6.5,-0.38
2-s2.0-85111545521,33,6.5,-0.38
2-s2.0-85121019757,33,6.5,-0.38
SEED-cordonnier2021,33,7.25,0.38
2-s2.0-105002155467,33,6.5,-0.38
2-s2.0-85194075145,33,7.25,0.38
2-s2.0-105019603181,33,6.5,-0.38
2-s2.0-85060549676,33,7.25,0.38
2-s2.0-85060025053,33,6.5,-0.38
2-s2.0-85081743293,33,6.5,-0.38
2-s2.0-85083323285,33,7.25,0.38
2-s2.0-85059494932,33,6.5,-0.38
2-s2.0-105029413645,33,6.5,-0.38
NEW-bergeronboutin-sciadv2026,33,7.25,0.38
NEW-berriche-fakerisland2026,33,7.25,0.38
2-s2.0-85154558018,33,7.25,0.38
scholar_04,33,7.25,0.38
W3033912864,33,7.25,0.38
W4306964957,33,6.5,-0.38
