"term","est_logit","se","z","p","OR"
"intrcpt",-5.89,0.709,-8.31,1.48e-15,0
"constructCONTENT",1.56,0.449,3.47,0.000568,4.76
"constructREACH",2.874,0.388,7.4,8.01e-13,17.7
"constructRECALL",4.36,0.675,6.45,3.13e-10,78.26
"constructSHARING",1.622,0.285,5.69,2.48e-08,5.06
"breadthfalse",1.212,0.304,3.99,7.96e-05,3.36
"breadthmisleading",1.458,0.303,4.81,2.16e-06,4.3
"breadthunspecified",1.052,0.577,1.82,0.0688,2.86
"denomnarrow",1.04,0.51,2.04,0.042,2.83
"denomother",0.363,0.536,0.68,0.499,1.44
"topiccovid19",0.012,0.28,0.04,0.966,1.01
"topichealth_other",0.747,0.272,2.75,0.00621,2.11
"topicother",0.051,0.392,0.13,0.896,1.05
"topicpolitics_elections",0.307,0.271,1.13,0.258,1.36
"topicscience_other",0.9,0.63,1.43,0.154,2.46
"topicvaccines",0.423,0.281,1.51,0.133,1.53
"topicwar_geopolitics",-1.111,0.74,-1.5,0.134,0.33
