"moderator","R2","R2_adj","QMp","QMp_model","df"
"construct",19.5,19.1,2.2130892137829e-41,1.32815058347075e-33,4
"measurement",16.8,16.6,2.44781699834769e-26,1.923956108355e-22,2
"sampling",13,12.7,2.21421595540161e-37,7.15583299559108e-15,3
"denom",0,0,0.258711099823544,0.175687503029164,2
"denom_fine",17.3,16.6,6.55634085312262e-18,7.8682384574161e-29,7
"breadth",12.3,12,1.82193963949695e-07,2.01887948574494e-13,3
"ground_truth",23.2,22.8,1.08042455301865e-22,2.09244618138265e-32,4
"id_method",22.2,21.8,2.95625973824308e-22,2.04467675170702e-30,4
"topic",2.6,1.8,0.00373446930142701,0.00309655310293851,7
"platform",15.2,14.1,2.9968423973047e-15,6.68594770192021e-17,11
