value,n_studies,sl_median,sl_iqr,sl_range,n_est,el_median
(blank),1,9.8,n<4,9.8–9.8,1,9.8
convenience,49,52.3,27.2–68.6,2.2–95.0,107,38.8
convenience_snowball,1,81.6,n<4,81.6–81.6,1,81.6
curated_seed,20,15.0,7.5–42.3,0.2–92.5,31,17.0
full_census,30,8.6,1.8–20.9,0.0–88.2,83,4.8
keyword_topical,244,23.1,8.0–38.6,0.0–94.3,407,18.1
panel_trace,31,8.8,2.5–26.2,0.1–80.0,91,6.7
purposive,16,27.6,11.3–56.1,1.1–83.1,28,31.4
random_platform,4,5.0,1.0–17.3,0.0–21.1,5,6.0
survey_sample,46,37.2,20.4–58.0,6.9–87.9,143,37.1
