value,n_studies,sl_median,sl_iqr,sl_range,n_est,el_median
covid19,101,26.5,6.8–53.2,0.0–93.0,214,20.6
crime_society,5,10.9,2.1–35.8,1.7–50.1,7,9.0
economy_finance,1,2.8,n<4,2.8–2.8,2,2.8
general_news,69,18.5,6.2–39.8,0.0–92.5,208,17.0
health_other,170,27.5,11.5–45.0,0.0–95.0,242,25.0
other,12,39.0,25.1–59.1,9.2–88.2,17,39.1
politics_elections,55,22.0,10.2–37.5,0.2–84.0,141,19.9
science_other,10,26.4,6.1–53.5,1.7–94.3,15,19.5
vaccines,20,24.6,11.8–42.5,3.3–74.1,38,22.4
war_geopolitics,6,23.2,2.5–50.0,0.4–70.0,13,32.0
