id,construct,demographic_dimension,demographic_group,value_pct,measure_type
2-s2.0-85164694763,SHARING,community,community=no-vax communities (Twitter),26,low-credibility share of domains shared by no-vax communities
2-s2.0-85096862559,SHARING,political,"party=La France Insoumise (LFI, radical left)",3.34,"% unreliable among sources shared - LFI, Mobile OS (SHARING)"
2-s2.0-85096862559,SHARING,political,"party=La France Insoumise (LFI, radical left)",2.8,"% unreliable among sources shared - LFI, Non-Mobile OS (SHARING)"
2-s2.0-85096862559,SHARING,political,"party=Parti Socialiste (PS, moderate left)",0.71,"% unreliable among sources shared - PS, Mobile OS (SHARING)"
2-s2.0-85096862559,SHARING,political,"party=Parti Socialiste (PS, moderate left)",0.54,"% unreliable among sources shared - PS, Non-Mobile OS (SHARING)"
2-s2.0-85096862559,SHARING,political,"party=La Republique En Marche (REM, centrist)",0.88,"% unreliable among sources shared - REM, Mobile OS (SHARING)"
2-s2.0-85096862559,SHARING,political,"party=La Republique En Marche (REM, centrist)",0.36,"% unreliable among sources shared - REM, Non-Mobile OS (SHARING)"
2-s2.0-85096862559,SHARING,political,"party=Les Republicains (LR, right-wing)",14.28,"% unreliable among sources shared - LR, Mobile OS (SHARING)"
2-s2.0-85096862559,SHARING,political,"party=Les Republicains (LR, right-wing)",11.19,"% unreliable among sources shared - LR, Non-Mobile OS (SHARING)"
2-s2.0-85096862559,SHARING,political,"party=Front National (FN, far right)",47.48,"% unreliable among sources shared - FN, Mobile OS (SHARING)"
2-s2.0-85096862559,SHARING,political,"party=Front National (FN, far right)",37.52,"% unreliable among sources shared - FN, Non-Mobile OS (SHARING)"
2-s2.0-85096862559,SHARING,political,overall,18.12,"% unreliable among all shared sources - overall, Mobile OS (SHARING)"
2-s2.0-85096862559,SHARING,political,overall,13.57,"% unreliable among all shared sources - overall, Non-Mobile OS (SHARING)"
W4281770633,OTHER,political,political=Trump supporters (top-100 repeat spreaders),98,% of the top-100 repeat-spreader accounts supporting Trump
2-s2.0-85066941307,OTHER,political,political=registered Republican,69.7,content_disinfo_tweets (hand-coded subsample; n=content)
2-s2.0-85066941307,OTHER,political,political=not registered Republican,3.4,content_disinfo_tweets (hand-coded subsample; n=content)
2-s2.0-85188806397,OTHER,political,political=Republican (Rep) community,91,"% of NewsGuard-classified news URLs that are untrustworthy, swing-state tweets (URL-N)"
2-s2.0-105039619015,REACH,political,political=Biden supporters,4.4,share of adults who visited >=1 misinformation website in a period (# participants)
2-s2.0-105039619015,REACH,political,political=Trump supporters,2.1,share of adults who visited >=1 misinformation website in a period (# participants)
2-s2.0-85209547248,REACH,political,political=very conservative,11.1,% of very conservative participants exposed to >=1 QAnon website
2-s2.0-85209547248,REACH,political,political=very liberal,3.0,% of very liberal participants exposed to >=1 QAnon website
2-s2.0-85162702221,REACH,political,political=Independents,23.6,% of Independents who liked >=1 fake-news page (reach)
2-s2.0-85162702221,REACH,political,political=Republicans,20.4,% of Republicans who liked >=1 fake-news page (reach)
2-s2.0-85162702221,REACH,political,political=Democrats,15.4,% of Democrats who liked >=1 fake-news page (reach)
2-s2.0-85060025053,REACH,political,political=Republicans,18.1,% of people who shared >=1 fake news article
2-s2.0-85060025053,REACH,political,political=Democrats,3.5,% of people who shared >=1 fake news article
2-s2.0-85060549676,REACH,political,political=Extreme right (R*),21,% of political-content sharers who ever shared any fake news — extreme right
2-s2.0-85060549676,REACH,political,political=Right (R),11,% of political-content sharers who ever shared any fake news — right
W4205602257,SHARING,political,political=Republican (age 65+),5.3,"share of shared COVID-19 URLs from fake-news domains, black+red (content-N = 7,062,989 tweets-with-URL; 1.6M-voter panel, 527,958 COVID-tweeters)"
W4205602257,SHARING,political,political=Independent (age 65+),3.7,"share of shared COVID-19 URLs from fake-news domains, black+red (content-N = 7,062,989 tweets-with-URL; 1.6M-voter panel, 527,958 COVID-tweeters)"
W4205602257,SHARING,political,political=Democrat (age 65+),0.4,"share of shared COVID-19 URLs from fake-news domains, black+red (content-N = 7,062,989 tweets-with-URL; 1.6M-voter panel, 527,958 COVID-tweeters)"
W4205602257,SHARING,age,age=65+ (political independents),3.7,"share of shared COVID-19 URLs from fake-news domains, black+red (content-N = 7,062,989 tweets-with-URL; 1.6M-voter panel, 527,958 COVID-tweeters)"
W4205602257,SHARING,age,age=50-64 (political independents),1.7,"share of shared COVID-19 URLs from fake-news domains, black+red (content-N = 7,062,989 tweets-with-URL; 1.6M-voter panel, 527,958 COVID-tweeters)"
W4205602257,SHARING,age,age=30-49 (political independents),0.7,"share of shared COVID-19 URLs from fake-news domains, black+red (content-N = 7,062,989 tweets-with-URL; 1.6M-voter panel, 527,958 COVID-tweeters)"
W4205602257,SHARING,age,age=18-29 (political independents),0.2,"share of shared COVID-19 URLs from fake-news domains, black+red (content-N = 7,062,989 tweets-with-URL; 1.6M-voter panel, 527,958 COVID-tweeters)"
W3033912864,OTHER,political,political=conservative (fake-news URL sharers),82.45,% of EN source users who posted >=1 fake-news URL (# users)
