construct,era,k_studies,median_pct
CONTENT,<=2016,22,11.6
CONTENT,2017-2019,27,28.0
CONTENT,2020-2021,94,18.1
CONTENT,>=2022,74,26.9
EXPOSURE,<=2016,2,4.5
EXPOSURE,2017-2019,4,1.6
EXPOSURE,2020-2021,9,1.0
EXPOSURE,>=2022,1,0.5
REACH,<=2016,6,11.5
REACH,2017-2019,5,18.4
REACH,2020-2021,12,8.2
REACH,>=2022,3,8.0
RECALL,<=2016,1,15.0
RECALL,2017-2019,17,36.7
RECALL,2020-2021,32,40.1
RECALL,>=2022,22,51.4
SHARING,<=2016,6,14.1
SHARING,2017-2019,9,13.1
SHARING,2020-2021,18,16.4
SHARING,>=2022,1,34.4
