analysis,group,k_studies,median_pct
ALL studies,EXPOSURE,18,1.3
ALL studies,REACH,27,12.0
ALL studies,SHARING,45,13.0
ALL studies,CONTENT,274,23.0
ALL studies,RECALL,91,43.0
ALL studies,WHOLE-DIET backbone,34,6.9
journal articles only,EXPOSURE,14,1.3
journal articles only,REACH,20,15.4
journal articles only,SHARING,36,12.2
journal articles only,CONTENT,249,23.0
journal articles only,RECALL,80,44.4
journal articles only,WHOLE-DIET backbone,25,7.6
excluding repository/unknown-venue records,EXPOSURE,16,1.3
excluding repository/unknown-venue records,REACH,23,12.5
excluding repository/unknown-venue records,SHARING,44,13.1
excluding repository/unknown-venue records,CONTENT,262,23.0
excluding repository/unknown-venue records,RECALL,85,41.7
excluding repository/unknown-venue records,WHOLE-DIET backbone,29,7.5
