order,pdf_file,item_id,our_codes,our_keep
1,1-s2.0-S1386505626001619-main.pdf,2-s2.0-105034745484,CONTENT=9.0;CONTENT=9.0,Y
2,1-s2.0-S2211883724000340-main.pdf,2-s2.0-85193588807,CONTENT=10.0,Y
3,1-s2.0-S2405959524001358-main.pdf,2-s2.0-85208677557,(dropped),N
4,1-s2.0-S266656032500101X-main.pdf,2-s2.0-105009619554,CONTENT=55,Y
5,2-s2.0-105007777349.pdf,2-s2.0-105007777349,CONTENT=60.3;CONCENTRATION=185/193,Y
6,2-s2.0-105011696813.pdf,2-s2.0-105011696813,SHARING=41.24;SHARING=20,Y
7,2-s2.0-105014962937.pdf,2-s2.0-105014962937,CONTENT=19.4,Y
8,2-s2.0-105018276467.pdf,2-s2.0-105018276467,RECALL=68.8;RECALL=7.1,Y
9,2-s2.0-105027959122.pdf,2-s2.0-105027959122,SHARING=7.4,Y
10,2-s2.0-105031357857.pdf,2-s2.0-105031357857,CONTENT=33.3;QUALITY=18.1,Y
11,2-s2.0-105031695645.pdf,2-s2.0-105031695645,RECALL=89.6,Y
12,2-s2.0-105039619015.pdf,2-s2.0-105039619015,REACH=39.1,Y
13,2-s2.0-105041276064.pdf,2-s2.0-105041276064,CONTENT=9.6;QUALITY=GQS 2.0 / mDISCERN 1.8,Y
14,2-s2.0-84869090226.pdf,2-s2.0-84869090226,CONTENT=86;CONTENT=53;CONTENT=54,Y
15,2-s2.0-85021701404.pdf,2-s2.0-85021701404,CONTENT=26.0,Y
16,2-s2.0-85037352356.pdf,2-s2.0-85037352356,REACH=0.34,Y
17,2-s2.0-85046831961.pdf,2-s2.0-85046831961,CONTENT=40,Y
18,2-s2.0-85056602344.pdf,2-s2.0-85056602344,CONCENTRATION=50,Y
19,2-s2.0-85060013655.pdf,2-s2.0-85060013655,CONTENT=1.7;CONTENT=11.8;CONTENT=43.5,Y
20,2-s2.0-85060025053.pdf,2-s2.0-85060025053,SHARING=8.5;SHARING=0.75;SHARING=18.1,Y
21,2-s2.0-85060549676.pdf,2-s2.0-85060549676,EXPOSURE=5.0;SHARING=6.7;CONCENTRATION=1% = 80%;CONCENTRATION=0.1% = 79.8%,Y
22,2-s2.0-85065905229.pdf,2-s2.0-85065905229,CONTENT=30,Y
23,2-s2.0-85066887935.pdf,2-s2.0-85066887935,SHARING=13.1,Y
24,2-s2.0-85066894147.pdf,2-s2.0-85066894147,SHARING=20;SHARING=30;SHARING=40,Y
25,2-s2.0-85078014559.pdf,2-s2.0-85078014559,CONCENTRATION=90,Y
26,2-s2.0-85083041268.pdf,2-s2.0-85083041268,CONTENT=86.8,Y
27,2-s2.0-85083323285.pdf,2-s2.0-85083323285,EXPOSURE=0.15;EXPOSURE=1.0,Y
28,2-s2.0-85085201199.pdf,2-s2.0-85085201199,CONTENT=27.5;EXPOSURE=24.1,Y
29,2-s2.0-85085573221.pdf,2-s2.0-85085573221,RECALL=68.2;RECALL=75,Y
30,2-s2.0-85086031086.pdf,2-s2.0-85086031086,RECALL=25.94;RECALL=28.67;RECALL=13.19;RECALL=14.36,Y
31,2-s2.0-85089622030.pdf,2-s2.0-85089622030,SHARING=23.1,Y
32,2-s2.0-85089627303.pdf,2-s2.0-85089627303,CONTENT=44,Y
33,2-s2.0-85092483799.pdf,2-s2.0-85092483799,CONTENT=11.4,Y
34,2-s2.0-85095594211.pdf,2-s2.0-85095594211,CONTENT=20;SHARING=36,Y
35,2-s2.0-85105454127.pdf,2-s2.0-85105454127,SHARING=4;REACH=11;CONCENTRATION=75,Y
36,2-s2.0-85105511315.pdf,2-s2.0-85105511315,CONTENT=32;CONTENT=21;CONCENTRATION=40;CONCENTRATION=70,Y
37,2-s2.0-85105969129.pdf,2-s2.0-85105969129,CONTENT=13.05,Y
38,2-s2.0-85108273495.pdf,2-s2.0-85108273495,CONTENT=12.7,Y
39,2-s2.0-85108996494.pdf,2-s2.0-85108996494,CONTENT=5.7;CONTENT=3.4,Y
40,2-s2.0-85111545521.pdf,2-s2.0-85111545521,REACH=39.2;EXPOSURE=1.19,Y
41,2-s2.0-85117399204.pdf,2-s2.0-85117399204,RECALL=73,Y
42,2-s2.0-85118260096.pdf,2-s2.0-85118260096,RECALL=19.0;RECALL=17.0,Y
43,2-s2.0-85122105134.pdf,2-s2.0-85122105134,RECALL=19;RECALL=18,Y
44,2-s2.0-85124823821.pdf,2-s2.0-85124823821,RECALL=93.10,Y
45,2-s2.0-85127039075.pdf,2-s2.0-85127039075,CONTENT=10.7;EXPOSURE=11.0,Y
46,2-s2.0-85128118104.pdf,2-s2.0-85128118104,RECALL=83.6,Y
47,2-s2.0-85136023139.pdf,2-s2.0-85136023139,SHARING=7.6,Y
48,2-s2.0-85142396682.pdf,2-s2.0-85142396682,SHARING=3.86;SHARING=0.43;SHARING=0.18;SHARING=0.03;SHARING=0.25;SHARING=0.05,Y
49,2-s2.0-85145956359.pdf,2-s2.0-85145956359,REACH=70;CONCENTRATION=70,Y
50,2-s2.0-85148963619.pdf,2-s2.0-85148963619,CONTENT=1.31;CONCENTRATION=35;CONCENTRATION=13.4,Y
51,2-s2.0-85151055175.pdf,2-s2.0-85151055175,CONTENT=22.4;CONTENT=2.49;CONTENT=1.48;CONTENT=4.99;RECALL=3.52;RECALL=3.55,Y
52,2-s2.0-85168520853.pdf,2-s2.0-85168520853,CONTENT=26.1,Y
53,2-s2.0-85169326292.pdf,2-s2.0-85169326292,RECALL=14,Y
