part,item_id,study_id,key_value_pct,key_construct,key_denom_class,key_breadth,key_quote
1,C01,2-s2.0-85192567032,68.8,QUALITY,topical,low_quality,The quality of the information was classified as very poor in 68.8% of the publications
1,C02,2-s2.0-85194075145,5.1,EXPOSURE,news_diet,unreliable_source,On average 5.1% of news posts users encounter on Facebook are from sources known to post misinformation repeatedly.
1,C03,2-s2.0-105040026420,47.5,QUALITY,topical,low_quality,"Among the 61 videos, 47.5% were of low quality, 24.6% were moderate quality, and 27.9% were of high quality."
1,C04,2-s2.0-85124823821,93.10,RECALL,population,false,"Overall, 93.1% (1049/1127) received misinformation about the pandemic through social media"
1,C05,2-s2.0-85165815218,97,OTHER,n/a,false,"For potential, exposed, and engaged audiences, 97% of false URLs in each case have audiences that are conservative on average."
1,C06,2-s2.0-105009619554,52,CONTENT,topical,misleading,"Most videos (52 %) contained partial misinformation, while 27 % of them were entirely misleading."
1,C07,2-s2.0-85188806397,26.06,SHARING,political_news,unreliable_source,"When looking at links pointing to untrustworthy news sites (N), the concentration for swing states - 26.06%. - is higher than for safe states - 22.25%"
1,C08,2-s2.0-85135254144,24,CONTENT,topical,misleading,Nearly a quarter (n = 931) of HPV related-content on Twitter ... contained concerns including misinformation ... whereas 76% (n = 2945) contained supportive information
1,C09,2-s2.0-85089622030,23.1,SHARING,curated_sample,false,"Links that contained fake news were shared 2,352,585 times, accounting for about 23.1% of the total shares of all the articles reviewed."
1,C10,2-s2.0-105030082417,9.4,QUALITY,topical,misleading,"Of the 85 recommendations provided in the videos, only eight (9.4 %) were confirmed to be effective based on available evidence"
1,C11,2-s2.0-85160248068,2.05,EXPOSURE,single_source,unreliable_source,"unreliable news was less prevalent in the URLs they were exposed to on Google Search (2.05% in 2018, 0.72% in 2020)"
1,C12,2-s2.0-85127622287,3.3,CONTENT,topical,false,"we were able to catalog data for 1672 web pages about vaccination in the U.S. ... Of these, 56 were confirmed as presenting medical misinformation"
1,C13,2-s2.0-85194023903,81,CONCENTRATION,n/a,unreliable_source,"Removing the top 1,000 superspreaders (0.25% of the accounts who posted during the evaluation period) eliminates 73-78% of the low-credibility content (optimal: 81%)."
1,C14,2-s2.0-105008525623,29,RECALL,population,misleading,"la mayor parte de narrativas presenta porcentajes de exposicion de mas del 60% de los encuestados, con la unica excepcion de la N1 que llega solo al 29%"
1,C15,W4306964957,0.0104,SHARING,political_news,false,"Using our text-based approach, about 0.01% (421) of politicians' posts contain false stories ... [Table 2] Text 0.0104"
1,C16,2-s2.0-85121971415,0.9,CONTENT,topical,false,the prevalence of the stated MOUD myth ranged from 0.4% on web-based health communities to 0.9% on Twitter
1,C17,2-s2.0-105002155467,21.0,REACH,population,unreliable_source,"the vast majority, that is ~79%, do not visit any page classified as unreliable"
1,C18,2-s2.0-85186874194,44.55,CONTENT,topical,false,"More than half of all videos were categorized as factual (55.5%, n=122) ... Factual No 98 (44.5%)"
1,C19,2-s2.0-85169326292,14,RECALL,population,false,we found that 14 percent of respondents reported knowingly sharing misinformation
1,C20,2-s2.0-105019603181,12.7,REACH,population,unreliable_source,"the most consumed type of misinformation articles was about U.S. Electoral Politics, with 12.7% (95% CI [10.9, 14.7]) of participants being exposed to at least one such article."
