dimension,item_id,study_id,coder,coder_code,dataset_code,confidence,notes,quote
construct(part1),C01,2-s2.0-85192567032,sacha,CONTENT,QUALITY,5,,The quality of the information was classified as very poor in 68.8% of the publications
construct(part1),C03,2-s2.0-105040026420,sacha,CONTENT,QUALITY,5,,"Among the 61 videos, 47.5% were of low quality, 24.6% were moderate quality, and 27.9% were of high quality."
construct(part1),C07,2-s2.0-85188806397,sacha,OTHER,SHARING,5,"will be tricky for Laura, 'concentration' is tempting","When looking at links pointing to untrustworthy news sites (N), the concentration for swing states - 26.06%. - is higher than for safe states - 22.25%"
construct(part1),C10,2-s2.0-105030082417,sacha,OTHER,QUALITY,3,"it's not CONTENT because it's claims within videos, it's a bit weird; or it's content within content I guess, i'm not sure","Of the 85 recommendations provided in the videos, only eight (9.4 %) were confirmed to be effective based on available evidence"
construct(part1),C15,W4306964957,sacha,CONTENT,SHARING,2,A bit confusing to write ' domain approach = links to fact-check-flagged low-quality' given that here they seem to report the text-based approach,"Using our text-based approach, about 0.01% (421) of politicians' posts contain false stories ... [Table 2] Text 0.0104"
construct(part1),C19,2-s2.0-85169326292,sacha,OTHER,RECALL,2,"this should be excluded no? We don't do self-reported sharing; we do RECALL, which is self-reported exposure, but by my understanding we don't do self-reported sharing, or we just code as other? I don't find it very interesting, we can discuss it later ",we found that 14 percent of respondents reported knowingly sharing misinformation
construct(part1),C20,2-s2.0-105019603181,sacha,EXPOSURE,REACH,5,,"the most consumed type of misinformation articles was about U.S. Electoral Politics, with 12.7% (95% CI [10.9, 14.7]) of participants being exposed to at least one such article."
construct(part1),C07,2-s2.0-85188806397,laura,OTHER,SHARING,3,"Is a CONCENTRATION measurement, but not from the top users. So again, I see it more as a description of the type of people (descriptive) -> so OTHER. ","When looking at links pointing to untrustworthy news sites (N), the concentration for swing states - 26.06%. - is higher than for safe states - 22.25%"
construct(part1),C10,2-s2.0-105030082417,laura,CONTENT,QUALITY,5,,"Of the 85 recommendations provided in the videos, only eight (9.4 %) were confirmed to be effective based on available evidence"
construct(part1),C14,2-s2.0-105008525623,laura,REACH,RECALL,3,"Again, could be REACH or RECALL, it depends on how the data was collected. Since no survey is mentioned, I opted for REACH. ","la mayor parte de narrativas presenta porcentajes de exposicion de mas del 60% de los encuestados, con la unica excepcion de la N1 que llega solo al 29%"
construct(part1),C15,W4306964957,laura,CONTENT,SHARING,5,corpus = politicians posts,"Using our text-based approach, about 0.01% (421) of politicians' posts contain false stories ... [Table 2] Text 0.0104"
construct(part1),C17,2-s2.0-105002155467,laura,EXPOSURE,REACH,5,,"the vast majority, that is ~79%, do not visit any page classified as unreliable"
construct(part1),C21,OA-W3113799821,laura,EXPOSURE,OTHER,4,If visits equals what people search for,we use search log analysis to investigate the extent ... we find that only around 1% of queries [are misinformation]
construct(part1),C23,2-s2.0-105009372730,laura,OTHER,CONTENT,2,"purely source-based. I would need more information to infer whether a specific corpus was analyzed that comes from different sources -> then I would code it as CONTENT. Same goes forr breadth: is the focus on the content, then I would concentrat on the misinformation aspect, or is the focus social media versus traditional news, then I would focus on unrealiable_source.","social media also exhibited the highest misinformation prevalence (38%), whereas official sources maintained near-perfect accuracy (98% compliance with scientific evidence)"
construct(part1),C24,2-s2.0-85195353413,laura,SHARING,CONCENTRATION,4,,These deplatformed users accounted for 4.35% of all URL sharing and 24.13% of all misinformation URLs shared among our sample during December 2020
breadth,C05,2-s2.0-85165815218,sacha,UNRELIABLE_SOURCE,FALSE,4,"construct is tricky, it could be concentration but it's not ","For potential, exposed, and engaged audiences, 97% of false URLs in each case have audiences that are conservative on average."
breadth,C09,2-s2.0-85089622030,sacha,MISLEADING,FALSE,5,,"Links that contained fake news were shared 2,352,585 times, accounting for about 23.1% of the total shares of all the articles reviewed."
breadth,C12,2-s2.0-85127622287,sacha,UNRELIABLE_SOURCE,FALSE,4,,"we were able to catalog data for 1672 web pages about vaccination in the U.S. ... Of these, 56 were confirmed as presenting medical misinformation"
breadth,C18,2-s2.0-85186874194,sacha,MISLEADING,FALSE,3,,"More than half of all videos were categorized as factual (55.5%, n=122) ... Factual No 98 (44.5%)"
breadth,C20,2-s2.0-105019603181,sacha,MISLEADING,UNRELIABLE_SOURCE,5,,"the most consumed type of misinformation articles was about U.S. Electoral Politics, with 12.7% (95% CI [10.9, 14.7]) of participants being exposed to at least one such article."
breadth,C21,OA-W3113799821,sacha,MISLEADING,FALSE,2,,we use search log analysis to investigate the extent ... we find that only around 1% of queries [are misinformation]
breadth,C22,2-s2.0-85191807094,sacha,MISLEADING,FALSE,3,,61% of videos contained little to no misinformation
breadth,C23,2-s2.0-105009372730,sacha,MISLEADING,FALSE,2,,"social media also exhibited the highest misinformation prevalence (38%), whereas official sources maintained near-perfect accuracy (98% compliance with scientific evidence)"
breadth,C05,2-s2.0-85165815218,laura,UNRELIABLE_SOURCE,FALSE,5,Type of people that consume false media (descriptive).,"For potential, exposed, and engaged audiences, 97% of false URLs in each case have audiences that are conservative on average."
breadth,C12,2-s2.0-85127622287,laura,FABRICATED,FALSE,4,"Since web-pages were analyzed could it also be seen as unreliable_source. But juding by the examples given, I feel the focus is more on the content and not source. And the examples given seem more within the fabricated/myth category. ","we were able to catalog data for 1672 web pages about vaccination in the U.S. ... Of these, 56 were confirmed as presenting medical misinformation"
