item_id,study_id,pdf_file,country,platform,what_to_find,YOUR_value_pct,YOUR_denominator_class,YOUR_what_it_is_a_share_of,YOUR_construct,YOUR_confidence_1to5,YOUR_notes
D01,2-s2.0-85072114698,papers/D01_2-s2.0-85072114698.pdf,Nigeria,Survey (recall; messages via family/friends/social media),"Find the % of survey respondents who said they had seen or heard misinformation. Report the SINGLE overall figure for Nigeria / Survey (recall; messages via family/friends/social media) (not a subgroup, per-country or per-item breakdown).",95,population,survey respondents from Nigeria,RECALL,5,denominator class: assuming a survey is representative for a population
D02,2-s2.0-105011406180,papers/D02_2-s2.0-105011406180.pdf,Spain,YouTube,"Find the share of content (items) that is misinformation or false. Report the SINGLE overall figure for Spain / YouTube (not a subgroup, per-country or per-item breakdown).",46,topical,comments underneath the 360 most relevant YouTube videos talking about the Iberian blackout,CONTENT,4,a bit unsure about the denominator class. 
D03,2-s2.0-105033611630,papers/D03_2-s2.0-105033611630.pdf,global (EN/PT/ES),Google News + YouTube,"Find the share of content (items) that is misinformation or false. Report the SINGLE overall figure for global (EN/PT/ES) / Google News + YouTube (not a subgroup, per-country or per-item breakdown).",94,topical,of 230 online sources talking about specific snakes,CONTENT,4,A bit unsure about the construct. Picked the one that fits best. 
D04,NEW-jadara-2022,papers/D04_NEW-jadara-2022.pdf,Levant (Jordan/Lebanon/Palestine/Syria),social media (general),"Find the % of survey respondents who said they had seen or heard misinformation. Report the SINGLE overall figure for Levant (Jordan/Lebanon/Palestine/Syria) / social media (general) (not a subgroup, per-country or per-item breakdown).",81.6,population,"of survey respondents from Jordan, Lebanon, Palestine and Syria. ",RECALL,5,
D05,SEED-cordonnier2021,papers/D05_SEED-cordonnier2021.pdf,France,web_tracking,"Find the share of what people actually consumed (views / visits / time) that is misinformation. Report the SINGLE overall figure for France / web_tracking (not a subgroup, per-country or per-item breakdown).",0.16,all_media,complete internet activity of survey participants during 30 consecutive days. ,EXPOSURE,5,
D06,2-s2.0-85164694763,papers/D06_2-s2.0-85164694763.pdf,multinational,Twitter,"Find the share of shared or engaged-with content that is misinformation. Report the SINGLE overall figure for multinational / Twitter (not a subgroup, per-country or per-item breakdown).",NOT FOUND,topical,vaccine related twitter messages / users / communities ,OTHER,1,This study looks at too many things simoltaneously. It is very hard to infer what the actual key research is: construct would be most likely the relative velocity of anti-vax communities across boarders. 
D07,OA-W7161796591,papers/D07_OA-W7161796591.pdf,Spanish-language (mostly unspecified; Mexico most common identifiable origin),TikTok,"Find the % of items rated poor / low quality (a quality rating, not falsity). Report the SINGLE overall figure for Spanish-language (mostly unspecified; Mexico most common identifiable origin) / TikTok (not a subgroup, per-country or per-item breakdown).",73.81,topical,246 TikTok videos about oral hygiene in Spanish,QUALITY,5,
D08,2-s2.0-85123475265,papers/D08_2-s2.0-85123475265.pdf,United States,Twitter,"Find the share of content (items) that is misinformation or false. Report the SINGLE overall figure for United States / Twitter (not a subgroup, per-country or per-item breakdown).",41.7,topical,Of 3116 tweets containing key words for nicotine and addicition,CONTENT,5,
D09,2-s2.0-85207525286,papers/D09_2-s2.0-85207525286.pdf,,TikTok,"Find the % of items rated poor / low quality (a quality rating, not falsity). Report the SINGLE overall figure for the study / TikTok (not a subgroup, per-country or per-item breakdown).",92,topical,of the top 50 TikTok videos containing the hashtag ADHD test.,CONTENT,5,
D10,2-s2.0-85189974015,papers/D10_2-s2.0-85189974015.pdf,Sub-Saharan Africa (Ghana/Kenya/Nigeria/South Africa/Tanzania/Uganda),Facebook,"Find the share of shared or engaged-with content that is misinformation. Report the SINGLE overall figure for Sub-Saharan Africa (Ghana/Kenya/Nigeria/South Africa/Tanzania/Uganda) / Facebook (not a subgroup, per-country or per-item breakdown).",13.8,population,survey respondents` sharing behavior on Facebook of a fake news article they previously had to read as part of the study. ,SHARING,2,"Mostly matches SHARING as seen from the old definition. If SHARING is  about WHAT was shared, rather than sharing behavior, I would have to say the construct is OTHER. "
D11,2-s2.0-85114317455,papers/D11_2-s2.0-85114317455.pdf,United States,Twitter,"Find the share of what people actually consumed (views / visits / time) that is misinformation. Report the SINGLE overall figure for United States / Twitter (not a subgroup, per-country or per-item breakdown).",9.9,news_diet,external links to news outlets shown via the algorithmic twitter timeline,EXPOSURE,3,Exposure was mimicked through bots so not actual people 
D12,PMID-42295743,papers/D12_PMID-42295743.pdf,Global (English 'epilepsy' search; Western platforms),TikTok,"Find the share of content (items) that is misinformation or false. Report the SINGLE overall figure for Global (English 'epilepsy' search; Western platforms) / TikTok (not a subgroup, per-country or per-item breakdown).",18.1,topical,"563 short form videos aboout epilepsy on Youtube, Tiktok and Instagram ",CONTENT,5,
