item_id,study_id,pdf_file,country,platform,what_to_find,YOUR_value_pct,YOUR_denominator_class,YOUR_what_it_is_a_share_of,YOUR_construct,YOUR_confidence_1to5,YOUR_notes
D01,2-s2.0-85072114698,papers/D01_2-s2.0-85072114698.pdf,Nigeria,Survey (recall; messages via family/friends/social media),"Find the % of survey respondents who said they had seen or heard misinformation. Report the SINGLE overall figure for Nigeria / Survey (recall; messages via family/friends/social media) (not a subgroup, per-country or per-item breakdown).",95.02,population,percentage of participants who report having received misinformation ,RECALL,3,
D02,2-s2.0-105011406180,papers/D02_2-s2.0-105011406180.pdf,Spain,YouTube,"Find the share of content (items) that is misinformation or false. Report the SINGLE overall figure for Spain / YouTube (not a subgroup, per-country or per-item breakdown).",46,topical,comments on YouTube,CONTENT,4,
D03,2-s2.0-105033611630,papers/D03_2-s2.0-105033611630.pdf,global (EN/PT/ES),Google News + YouTube,"Find the share of content (items) that is misinformation or false. Report the SINGLE overall figure for global (EN/PT/ES) / Google News + YouTube (not a subgroup, per-country or per-item breakdown).",94,topical,online sources continaing false information about a snake species,CONTENT,3,
D04,NEW-jadara-2022,papers/D04_NEW-jadara-2022.pdf,Levant (Jordan/Lebanon/Palestine/Syria),social media (general),"Find the % of survey respondents who said they had seen or heard misinformation. Report the SINGLE overall figure for Levant (Jordan/Lebanon/Palestine/Syria) / social media (general) (not a subgroup, per-country or per-item breakdown).", 81.6,population,percentage of people saying they read covid-19 info that turned out false,RECALL,4,
D05,SEED-cordonnier2021,papers/D05_SEED-cordonnier2021.pdf,France,web_tracking,"Find the share of what people actually consumed (views / visits / time) that is misinformation. Report the SINGLE overall figure for France / web_tracking (not a subgroup, per-country or per-item breakdown).",0.16,all_media,percentage of time spent on misinformation sites,EXPOSURE,3,"could also code 5% news_diet; both would work. We should code both, in this case it wasn't clear if you wanted the 0.16 or the 5%, both are valid, just different denominator"
D06,2-s2.0-85164694763,papers/D06_2-s2.0-85164694763.pdf,multinational,Twitter,"Find the share of shared or engaged-with content that is misinformation. Report the SINGLE overall figure for multinational / Twitter (not a subgroup, per-country or per-item breakdown).",2.4,topical,"share of low credibility domains in tweets, among those that do no belong in the no-vax community",SHARING,3,"26% would have also worked, it's the % within the no-vax community; I couldn't find an overall figure including both no-vax and the rest together"
D07,OA-W7161796591,papers/D07_OA-W7161796591.pdf,Spanish-language (mostly unspecified; Mexico most common identifiable origin),TikTok,"Find the % of items rated poor / low quality (a quality rating, not falsity). Report the SINGLE overall figure for Spanish-language (mostly unspecified; Mexico most common identifiable origin) / TikTok (not a subgroup, per-country or per-item breakdown).",73.81,topical,percentage of videos contianing unsupported claims about Oral Hygiene,CONTENT,4,"it's not quality, it's content. videos not aligned with health guidelines is misinformation, they define it as such "
D08,2-s2.0-85123475265,papers/D08_2-s2.0-85123475265.pdf,United States,Twitter,"Find the share of content (items) that is misinformation or false. Report the SINGLE overall figure for United States / Twitter (not a subgroup, per-country or per-item breakdown).",41.7,topical,percentage of tweets on e-cigarettes that contain misinfo ,CONTENT,4,
D09,2-s2.0-85207525286,papers/D09_2-s2.0-85207525286.pdf,,TikTok,"Find the % of items rated poor / low quality (a quality rating, not falsity). Report the SINGLE overall figure for the study / TikTok (not a subgroup, per-country or per-item breakdown).",92,topical,percentage of videos that are misleading about ADHD,CONTENT,4,"(not sure what curated sample means, e.g., all the topical sample are curated, and many are top-N, but still what matters is that they are topical estimates no?)"
D10,2-s2.0-85189974015,papers/D10_2-s2.0-85189974015.pdf,Sub-Saharan Africa (Ghana/Kenya/Nigeria/South Africa/Tanzania/Uganda),Facebook,"Find the share of shared or engaged-with content that is misinformation. Report the SINGLE overall figure for Sub-Saharan Africa (Ghana/Kenya/Nigeria/South Africa/Tanzania/Uganda) / Facebook (not a subgroup, per-country or per-item breakdown).",13.8,population,percentage of participants who shared the article on Facebook ,SHARING,3,"there is also 'we find that about 52.1% of our respondents stated that they
would be willing to share the article on their Facebook account ' but I went for the actual sharing measure 'About 13.8% of respondents shared the article on Facebook. ' (note that this is probably the only study that did this in our corpus, which is interesting, but may clash with other sharing measures)"
D11,2-s2.0-85114317455,papers/D11_2-s2.0-85114317455.pdf,United States,Twitter,"Find the share of what people actually consumed (views / visits / time) that is misinformation. Report the SINGLE overall figure for United States / Twitter (not a subgroup, per-country or per-item breakdown).",,,,,,"it's not humans that are being tested or exposed to contnet, it's an 'agent-based testing method' so we should exclude this "
D12,PMID-42295743,papers/D12_PMID-42295743.pdf,Global (English 'epilepsy' search; Western platforms),TikTok,"Find the share of content (items) that is misinformation or false. Report the SINGLE overall figure for Global (English 'epilepsy' search; Western platforms) / TikTok (not a subgroup, per-country or per-item breakdown).",18.1,topical,share of videos on epilepsy that contain misinfo ,CONTENT,5,
