item_id,study_id,pdf_file,country,platform,what_to_find,YOUR_value_pct,YOUR_denominator_class,YOUR_what_it_is_a_share_of,YOUR_construct,YOUR_confidence_1to5,YOUR_notes
E01,2-s2.0-105030827603,papers2/E01_2-s2.0-105030827603.pdf,Brazil,YouTube,"Find the % of items rated poor / low quality (a quality rating, not falsity). Report the SINGLE overall figure for Brazil / YouTube (not a subgroup, per-country or per-item breakdown).",71.4,topical,share of low quality videos from Youtube videos containing the most searched terms in regards to tooth bleaching ,QUALITY,5,
E02,W4414446446,papers2/E02_W4414446446.pdf,Germany,Public broadcast TV (all news + talk shows),"Find the share of content (items) that is misinformation or false. Report the SINGLE overall figure for Germany / Public broadcast TV (all news + talk shows) (not a subgroup, per-country or per-item breakdown).",4.85,curated_sample,share of episodes containing fact checked misinformation of 1382 episodes extracted from german public boradcasts,CONTENT,3,"denominator class is difficult to decide: Talk shows is not news_diet, but it also does not include the whole media diet (no social media). Also not from consumer view, but source view: Why I picked curated_sample in the end. "
E03,2-s2.0-85159486270,papers2/E03_2-s2.0-85159486270.pdf,English-language (US/Canada gov standard),YouTube,"Find the share of content (items) that is misinformation or false. Report the SINGLE overall figure for English-language (US/Canada gov standard) / YouTube (not a subgroup, per-country or per-item breakdown).",56,topical,share of videos containing nonfactual information from the 66 youtube videos about produce washing during the pandemic,CONTENT,4,presuming that nonfactual = false information in this context (the paper only talks about nonfactual)
E04,2-s2.0-85159598935,papers2/E04_2-s2.0-85159598935.pdf,United States,Twitter,"Find the share of content (items) that is misinformation or false. Report the SINGLE overall figure for United States / Twitter (not a subgroup, per-country or per-item breakdown).",23.47,political_news,share of links to nontrustworthy websites in tweets posted in swing states from October to November 2020 extracted via political keyword search.,OTHER,2,"It is a concentration measurement, but not from the top slice of users but from swing versus non-swing states. Not sure if there may be a more overall measurement (not just swing versus non-swing states)."
E05,W7165134935,papers2/E05_W7165134935.pdf,United States,TikTok,"Find the share of content (items) that is misinformation or false. Report the SINGLE overall figure for United States / TikTok (not a subgroup, per-country or per-item breakdown).",6.0,topical,share of videos portraying sunscreen as harmful of the 971 most viewed TikTok videos containing sunscreen related hashtags,CONTENT,4,"sunscreen misinformation = portraying sunscreen as harmful. Not certain, because more of a content categorization then saying ""this is misinformation"""
E06,2-s2.0-85168270535,papers2/E06_2-s2.0-85168270535.pdf,Global,Twitter,"Find the share of content (items) that is misinformation or false. Report the SINGLE overall figure for Global / Twitter (not a subgroup, per-country or per-item breakdown).",8.3,topical,share of tweets containing earthquake misinformation from the 81862 tweets found via key words ,CONTENT,2,Value was caluclated by myself from table 2 (misinformation tweets: 9857 / total tweets: 81862). Confidence low because I never actually read the value in the paper. 
E07,2-s2.0-85181200454,papers2/E07_2-s2.0-85181200454.pdf,Multiple,Online,"Find the % of survey respondents who said they had seen or heard misinformation. Report the SINGLE overall figure for Multiple / Online (not a subgroup, per-country or per-item breakdown).",NOT FOUND,population,cannot answer this,RECALL,1,"They only do regression analysis, no share is mentioned. They also not do their own surveys but use DNR, YouGov, etc. data badly mentioning how data was collected: Why I think it is mostly recall, but could also be exposure depending on how DNR collects data. "
E08,2-s2.0-85213223975,papers2/E08_2-s2.0-85213223975.pdf,Global,YouTube,"Find the share of content (items) that is misinformation or false. Report the SINGLE overall figure for Global / YouTube (not a subgroup, per-country or per-item breakdown).",42.9,topical,share of videos that are inaccurate or uniformative of all videos from Tiktok within the whole 155 video sample talking about hyteroscopic metroplasty. ,CONTENT,3,"Do a quality and misinformation assessment (so also QUALITY). No overall value, only values for each individual social media platform (Tiktok, Youtube, Instagram). I just picked one of them (Tiktok). "
E09,2-s2.0-85184824168,papers2/E09_2-s2.0-85184824168.pdf,Brazil,Twitter,"Find the share of content (items) that is misinformation or false. Report the SINGLE overall figure for Brazil / Twitter (not a subgroup, per-country or per-item breakdown).",37.2,topical,"share of tweets containing misinformation from a subsample of 3011 tweets from Nigera, Indonesia and Brazil that mention specific non-covid vaccines. ",CONTENT,3,"The value found was more of a side anylsis (only found in table 1, but the number was never actually discussed). The focus is more on testing different models to detect misinformation tweets. "
E10,2-s2.0-85129632573,papers2/E10_2-s2.0-85129632573.pdf,Taiwan,digital news (26 online media sources),"Find the share of content (items) that is misinformation or false. Report the SINGLE overall figure for Taiwan / digital news (26 online media sources) (not a subgroup, per-country or per-item breakdown).",37.7,topical,share of fake news from 512435 Taiwanese news items talking about vaccines during vaccine stage. ,CONTENT,4,unit of analysis is news sources. The main aim of this study was the correlation between fake news and vaccination numbers. Lower confidence because of denominator class.
E11,2-s2.0-85187117251,papers2/E11_2-s2.0-85187117251.pdf,Global,Twitter,"Find the share of content (items) that is misinformation or false. Report the SINGLE overall figure for Global / Twitter (not a subgroup, per-country or per-item breakdown).",NOT FOUND,topical,no share mentioned,OTHER,3,construct: engagement of high versus low credibility tweets on covid-19 and cliamte change. How low credibility versus high crredibility tweets perform engagement-wise
E12,OA-W7125772788,papers2/E12_OA-W7125772788.pdf,Nigeria,multi-platform (digital news + social media; self-report),"Find the % of survey respondents who said they had seen or heard misinformation. Report the SINGLE overall figure for Nigeria / multi-platform (digital news + social media; self-report) (not a subgroup, per-country or per-item breakdown).",40.0,population,share of the 282 respondents that got unverified cures for HIV ,REACH,1,"Honestly, still quite unsurree what they did in this study and what the actual unit of analysis was. I do not understand how the 282 respondents and the 7234 data points connect. "
