item_id,study_id,pdf_file,country,platform,what_to_find,YOUR_value_pct,YOUR_denominator_class,YOUR_what_it_is_a_share_of,YOUR_construct,YOUR_confidence_1to5,YOUR_notes
E01,2-s2.0-105030827603,papers2/E01_2-s2.0-105030827603.pdf,Brazil,YouTube,"Find the % of items rated poor / low quality (a quality rating, not falsity). Report the SINGLE overall figure for Brazil / YouTube (not a subgroup, per-country or per-item breakdown).",71.4,curated_sample,"Dental Misinformation, most searched terms on Google Trends",QUALITY,4,"'most searched terms on Google Trends' is curated, but it's on dental misinformation, so "
E02,W4414446446,papers2/E02_W4414446446.pdf,Germany,Public broadcast TV (all news + talk shows),"Find the share of content (items) that is misinformation or false. Report the SINGLE overall figure for Germany / Public broadcast TV (all news + talk shows) (not a subgroup, per-country or per-item breakdown).",4.85,curated_sample,false claims in four German news and six talk shows,CONTENT,2,quite unclear what they measure; i guess this is quite clear and could be used: The rate is higher for talk shows (11.62%) than for news shows (2.28%)
E03,2-s2.0-85159486270,papers2/E03_2-s2.0-85159486270.pdf,English-language (US/Canada gov standard),YouTube,"Find the share of content (items) that is misinformation or false. Report the SINGLE overall figure for English-language (US/Canada gov standard) / YouTube (not a subgroup, per-country or per-item breakdown).",70,topical,YouTube videos on handwashing,CONTENT,5,I picked topical because they did a keyword search; but it's also a cureated sample i guess
E04,2-s2.0-85159598935,papers2/E04_2-s2.0-85159598935.pdf,United States,Twitter,"Find the share of content (items) that is misinformation or false. Report the SINGLE overall figure for United States / Twitter (not a subgroup, per-country or per-item breakdown).",23.47,all_media,tweets linking to untrustworthy sites in swing states ,CONTENT,3,"key is here:  Considering links pointing to non-trustworthy news sites (N), the
concentration for swing states - 23.47% - is higher than that for safe
ones - 18.33%;; 18.33% would have also worked. we should report/use both. "
E05,W7165134935,papers2/E05_W7165134935.pdf,United States,TikTok,"Find the share of content (items) that is misinformation or false. Report the SINGLE overall figure for United States / TikTok (not a subgroup, per-country or per-item breakdown).",6.0,topical,videos that do not promote sunscreen on tiktok,QUALITY,4,
E06,2-s2.0-85168270535,papers2/E06_2-s2.0-85168270535.pdf,Global,Twitter,"Find the share of content (items) that is misinformation or false. Report the SINGLE overall figure for Global / Twitter (not a subgroup, per-country or per-item breakdown).",19.5,topical,perceanteg of tweets containing earthquakes misinformation ,CONTENT,4,
E07,2-s2.0-85181200454,papers2/E07_2-s2.0-85181200454.pdf,Multiple,Online,"Find the % of survey respondents who said they had seen or heard misinformation. Report the SINGLE overall figure for Multiple / Online (not a subgroup, per-country or per-item breakdown).",53.9,population,perceantage of ppl saying htey have seen false information on COVID-19,RECALL,3,"'COVID (Yes=53.9%; Norway=29.8% to Columbia=72.3%) and politics (Yes=43.1%; Denmark=19.9% to Kenya=63.4%).'

Perceived Misinformation Exposure. Respondents from the DNR survey answered
the following question: “Have you seen false or misleading information about any
of the following topics, in the last week?” The answer choices included: Politics,
Coronavirus, Other health issues, Celebrities, Immigration, Products and services,
Climate change or the environment, and Other. Affirmative answers were summed
to create binary measures that measured PME to information related to the COVID
(Yes=53.9%; Norway=29.8% to Columbia=72.3%) and politics (Yes=43.1%; Denmark=19.9% to Kenya=63.4%)

they rerpot both politics and COVID-19, and have some coutnry breakdown, we should report that 

isn't it based on the DNR data? Re-read, if it's DNR data we should cite directly the DNR, not this paper! Looks like DNR to me."
E08,2-s2.0-85213223975,papers2/E08_2-s2.0-85213223975.pdf,Global,YouTube,"Find the share of content (items) that is misinformation or false. Report the SINGLE overall figure for Global / YouTube (not a subgroup, per-country or per-item breakdown).",8.5,topical,sahre of YouTube videos that contain misinformation ,CONTENT,3,
E09,2-s2.0-85184824168,papers2/E09_2-s2.0-85184824168.pdf,Brazil,Twitter,"Find the share of content (items) that is misinformation or false. Report the SINGLE overall figure for Brazil / Twitter (not a subgroup, per-country or per-item breakdown).",36.1,topical,"percentage of  Tweets Relevant to COVID-19 Vaccine Misinformation, 2o20 to 2022 Brazil. ",CONTENT,5,everything is in Tab 5 
E10,2-s2.0-85129632573,papers2/E10_2-s2.0-85129632573.pdf,Taiwan,digital news (26 online media sources),"Find the share of content (items) that is misinformation or false. Report the SINGLE overall figure for Taiwan / digital news (26 online media sources) (not a subgroup, per-country or per-item breakdown).",37.7,topical,percenatage of fake news from 26 internet news media sources,CONTENT,3,"they give 2 N: A higher percentage of fake news (193,188/512,435, 37.7%;
95% CI 37.6%-37.8%) was found during the public vaccination
stage, than during the nonpublic vaccination stage
(99,791/278,748, 35.8%; 95% CI 35.6%-36.0%)"
E11,2-s2.0-85187117251,papers2/E11_2-s2.0-85187117251.pdf,Global,Twitter,"Find the share of content (items) that is misinformation or false. Report the SINGLE overall figure for Global / Twitter (not a subgroup, per-country or per-item breakdown).",3.77,topical,Tweets on COVID19 from low credibility sources ,CONTENT,3,"key: This process results
in a total of 87,769 tweets from low-credibility sources, and 187,643 tweets from highcredibility sources, with low-credibility domains present in 3.77% of tweets on COVID19 and 1.69% of tweets on climate change

this percentage is not unreliable/all news. but unreliable/out of all content on COVID19, important denominator information "
E12,OA-W7125772788,papers2/E12_OA-W7125772788.pdf,Nigeria,multi-platform (digital news + social media; self-report),"Find the % of survey respondents who said they had seen or heard misinformation. Report the SINGLE overall figure for Nigeria / multi-platform (digital news + social media; self-report) (not a subgroup, per-country or per-item breakdown).",NOT FOUND,population,,RECALL,5,I read everything and did not find a single usable estimate 
