item_id,construct,denominator_class,breadth,confidence_1to5,source
F001,CONTENT,topical,false,5,round3
F002,CONTENT,topical,false,5,prior_round
F003,CONTENT,topical,false,5,round3
F004,CONTENT,topical,false,5,round3
F005,SHARING,population,unreliable_source,4,round3
F006,QUALITY,topical,low_quality,5,round3
F007,CONTENT,curated_sample,false,5,prior_round
F008,CONTENT,topical,misleading,5,round3
F009,CONTENT,topical,misleading,5,round3
F010,CONTENT,topical,misleading,5,round3
F011,CONTENT,topical,false,4,prior_round
F012,CONTENT,topical,false,4,prior_round
F013,QUALITY,topical,low_quality,5,round3
F014,QUALITY,topical,low_quality,5,round3
F015,QUALITY,topical,low_quality,5,round3
F016,CONTENT,topical,misleading,5,round3
F017,CONTENT,topical,false,4,round3
F018,CONTENT,topical,false,5,round3
F019,CONTENT,topical,false,5,round3
F020,CONTENT,topical,misleading,5,round3
F021,SHARING,political_news,false,5,round3
F022,CONTENT,topical,misleading,4,round3
F023,CONTENT,topical,false,5,round3
F024,SHARING,population,false,5,prior_round
F025,RECALL,population,false,3,round3
F026,RECALL,population,misleading,5,round3
F027,SHARING,population,false,5,prior_round
F028,RECALL,topical,false,5,prior_round
F029,CONTENT,topical,false,5,round3
F030,CONTENT,topical,false,5,round3
F031,CONCENTRATION,all_media,unreliable_source,5,prior_round
F032,CONCENTRATION,all_media,unreliable_source,5,prior_round
F033,CONTENT,topical,false,5,round3
F034,CONTENT,curated_sample,misleading,5,prior_round
F035,SHARING,topical,misleading,5,prior_round
F036,CONTENT,topical,misleading,5,round3
F037,SHARING,population,misleading,4,round3
F038,SHARING,population,misleading,5,prior_round
F039,SHARING,population,misleading,5,prior_round
F040,SHARING,population,misleading,4,round3
F041,QUALITY,topical,low_quality,5,round3
F042,QUALITY,topical,low_quality,5,prior_round
F043,CONTENT,topical,false,5,round3
F044,CONTENT,topical,false,5,round3
F045,CONTENT,topical,misleading,5,prior_round
F046,RECALL,population,false,5,round3
F047,RECALL,population,false,5,round3
F048,RECALL,population,false,5,round3
F049,RECALL,population,false,5,prior_round
F050,RECALL,population,false,5,prior_round
F051,RECALL,population,false,5,prior_round
F052,CONTENT,topical,false,5,round3
F053,CONTENT,topical,false,5,round3
F054,QUALITY,topical,low_quality,4,round3
F055,QUALITY,topical,low_quality,5,round3
F056,CONTENT,topical,false,5,round3
F057,CONTENT,topical,false,5,round3
F058,CONTENT,curated_sample,misleading,5,prior_round
F059,REACH,population,fabricated,4,prior_round
F060,CONCENTRATION,population,fabricated,5,prior_round
F061,CONTENT,curated_sample,fabricated,5,round3
F062,RECALL,population,false,5,round3
F063,RECALL,population,false,5,prior_round
F064,CONTENT,topical,false,5,round3
F065,CONTENT,topical,fabricated,3,round3
F066,CONTENT,curated_sample,false,5,round3
F067,CONTENT,curated_sample,false,5,prior_round
F068,SHARING,political_news,misleading,4,prior_round
F069,CONTENT,political_news,unreliable_source,5,round3
F070,CONTENT,topical,false,5,round3
F071,CONTENT,topical,false,5,round3
F072,CONTENT,topical,false,5,round3
F073,CONTENT,topical,false,5,round3
F074,CONTENT,topical,false,5,round3
F075,CONTENT,topical,false,5,round3
F076,CONTENT,topical,misleading,5,round3
F077,CONTENT,topical,false,5,prior_round
F078,CONTENT,curated_sample,false,5,round3
F079,CONTENT,topical,false,5,round3
F080,RECALL,population,misleading,5,round3
F081,RECALL,population,misleading,4,prior_round
F082,CONTENT,topical,false,4,round3
F083,CONTENT,topical,false,5,round3
F084,RECALL,population,false,5,round3
F085,CONTENT,topical,false,4,prior_round
F086,CONTENT,topical,misleading,4,round3
F087,CONTENT,curated_sample,false,5,round3
F088,CONTENT,topical,misleading,5,round3
F089,CONTENT,topical,false,5,round3
F090,CONTENT,topical,false,5,round3
F091,EXPOSURE,topical,false,5,round3
F092,CONTENT,topical,false,5,round3
F093,CONTENT,political_news,false,5,round3
F094,CONTENT,political_news,false,5,prior_round
F095,CONTENT,topical,misleading,5,round3
F096,CONTENT,topical,false,5,round3
F097,CONTENT,curated_sample,false,5,prior_round
F098,CONTENT,topical,false,5,round3
F099,CONTENT,topical,misleading,5,round3
F100,SHARING,topical,unreliable_source,5,round3
F101,CONCENTRATION,all_media,unreliable_source,5,prior_round
F102,CONCENTRATION,topical,unreliable_source,5,prior_round
F103,CONTENT,topical,misleading,5,round3
F104,CONTENT,curated_sample,false,5,prior_round
F105,QUALITY,topical,low_quality,5,round3
F106,SHARING,population,fabricated,5,prior_round
F107,SHARING,population,false,4,round3
F109,SHARING,curated_sample,false,5,prior_round
F110,CONTENT,topical,false,5,round3
F111,CONTENT,topical,false,5,round3
F112,QUALITY,topical,false,4,prior_round
F113,CONTENT,topical,false,5,round3
F114,QUALITY,topical,low_quality,5,prior_round
F115,CONTENT,topical,misleading,5,round3
F116,CONTENT,topical,misleading,5,round3
F117,CONTENT,topical,false,5,round3
