item_id,construct,denominator_class,breadth,confidence_1to5
R001,UNSURE,,,
R002,EXPOSURE,all_media,unreliable_source,5
R003,CONTENT,all_media,misleading,5
R004,CONTENT,political_news,false,5
R005,SHARING,curated_sample,unreliable_source,5
R006,CONTENT,political_news,unreliable_source,4
R007,SHARING,political_news,unreliable_source,4
R008,CONTENT,curated_sample,false,5
R009,EXPOSURE,all_media,unreliable_source,5
R010,CONTENT,all_media,false,3
R011,CONTENT,curated_sample,misleading,5
R012,CONTENT,topical,false,4
R013,CONCENTRATION,topical,misleading,4
R014,CONCENTRATION,topical,unreliable_source,5
R015,REACH,population,fabricated,4
R016,OTHER,population,fabricated,5
R017,CONTENT,topical,false,4
R018,CONTENT,all_media,unreliable_source,5
R019,RECALL,population,false,5
R020,REACH,population,unreliable_source,5
R021,RECALL,population,false,3
R022,SHARING,population,fabricated,5
R023,EXPOSURE,all_media,unreliable_source,4
R024,CONTENT,topical,false,4
R025,EXPOSURE,all_media,unreliable_source,5
R026,UNSURE,,,
R027,CONCENTRATION,all_media,unreliable_source,5
R028,CONCENTRATION,political_news,fabricated,5
R029,CONCENTRATION,all_media,unreliable_source,5
R030,RECALL,population,false,4
R031,RECALL,population,misleading,5
R032,SHARING,curated_sample,false,5
R033,UNSURE,,,
R034,CONTENT,topical,false,4
R035,REACH,population,unreliable_source,5
R036,CONTENT,topical,false,5
R037,CONTENT,topical,misleading,5
R038,CONTENT,topical,misleading,5
R039,CONTENT,political_news,false,5
R040,CONCENTRATION,all_media,unreliable_source,5
R041,CONTENT,topical,false,5
R042,SHARING,political_news,unreliable_source,4
R043,CONTENT,all_media,unreliable_source,5
R044,SHARING,all_media,fabricated,5
R045,CONTENT,topical,unreliable_source,4
R046,OTHER,all_media,unreliable_source,5
R047,RECALL,population,false,4
R048,CONTENT,curated_sample,fabricated,5
R049,CONCENTRATION,all_media,unreliable_source,4
R050,CONCENTRATION,political_news,unreliable_source,3
R051,CONTENT,curated_sample,misleading,5
R052,RECALL,population,false,5
R053,REACH,population,unreliable_source,5
R054,EXPOSURE,all_media,unreliable_source,4
R055,QUALITY,topical,low_quality,5
R056,SHARING,political_news,unreliable_source,5
R057,UNSURE,,,
R058,RECALL,population,false,5
R059,SHARING,population,misleading,5
R060,CONCENTRATION,political_news,misleading,5
R061,REACH,population,unreliable_source,5
R062,CONTENT,curated_sample,misleading,5
R063,OTHER,all_media,unreliable_source,5
R064,CONTENT,curated_sample,false,5
R065,EXPOSURE,all_media,unreliable_source,5
R066,CONTENT,curated_sample,false,4
R067,CONCENTRATION,population,fabricated,5
R068,SHARING,all_media,unreliable_source,4
R069,CONCENTRATION,political_news,unreliable_source,5
R070,RECALL,population,false,3
R071,CONTENT,curated_sample,false,5
R072,RECALL,population,fabricated,5
R073,CONTENT,curated_sample,misleading,5
R074,REACH,population,unreliable_source,5
R075,SHARING,topical,misleading,5
R076,CONTENT,topical,false,4
R077,CONTENT,curated_sample,misleading,5
R078,SHARING,political_news,unreliable_source,5
R079,RECALL,population,false,5
R080,CONCENTRATION,all_media,misleading,4
R081,QUALITY,topical,low_quality,4
R082,RECALL,population,false,5
R083,CONTENT,curated_sample,misleading,5
R084,RECALL,population,misleading,5
R085,CONCENTRATION,all_media,unreliable_source,5
R086,CONTENT,curated_sample,misleading,5
R087,CONTENT,all_media,misleading,4
R088,CONTENT,curated_sample,false,4
R089,CONTENT,curated_sample,misleading,4
R090,CONTENT,all_media,unreliable_source,5
R091,CONTENT,curated_sample,false,5
R092,CONCENTRATION,all_media,unreliable_source,5
R093,REACH,population,unreliable_source,5
R094,EXPOSURE,topical,unreliable_source,5
R095,CONTENT,topical,false,5
R096,REACH,population,unreliable_source,5
R097,UNSURE,,,
R098,CONTENT,topical,false,4
R099,EXPOSURE,all_media,unreliable_source,5
R100,SHARING,all_media,unreliable_source,4
R101,SHARING,curated_sample,unreliable_source,5
R102,CONTENT,all_media,misleading,4
R103,CONTENT,curated_sample,false,5
R104,CONTENT,topical,false,5
R105,CONTENT,curated_sample,false,5
R106,CONTENT,curated_sample,misleading,5
R107,CONCENTRATION,all_media,unreliable_source,5
R108,CONTENT,curated_sample,misleading,4
R109,SHARING,population,false,5
