part,item_id,study_id,construct,denom_class,n_estimates_in_study
1,C01,2-s2.0-85192567032,QUALITY,topical,1
1,C02,2-s2.0-85194075145,EXPOSURE,news_diet,1
1,C03,2-s2.0-105040026420,QUALITY,topical,1
1,C04,2-s2.0-85124823821,RECALL,population,1
1,C05,2-s2.0-85165815218,OTHER,n/a,2
1,C06,2-s2.0-105009619554,CONTENT,topical,2
1,C07,2-s2.0-85188806397,SHARING,political_news,3
1,C08,2-s2.0-85135254144,CONTENT,topical,1
1,C09,2-s2.0-85089622030,SHARING,curated_sample,1
1,C10,2-s2.0-105030082417,QUALITY,topical,2
1,C11,2-s2.0-85160248068,EXPOSURE,single_source,6
1,C12,2-s2.0-85127622287,CONTENT,topical,1
1,C13,2-s2.0-85194023903,CONCENTRATION,n/a,4
1,C14,2-s2.0-105008525623,RECALL,population,5
1,C15,W4306964957,SHARING,political_news,2
1,C16,2-s2.0-85121971415,CONTENT,topical,3
1,C17,2-s2.0-105002155467,REACH,population,2
1,C18,2-s2.0-85186874194,CONTENT,topical,1
1,C19,2-s2.0-85169326292,RECALL,population,1
1,C20,2-s2.0-105019603181,REACH,population,4
1,C21,OA-W3113799821,OTHER,n/a,1
1,C22,2-s2.0-85191807094,CONTENT,topical,1
1,C23,2-s2.0-105009372730,CONTENT,topical,2
1,C24,2-s2.0-85195353413,CONCENTRATION,n/a,2
2,D01,2-s2.0-85072114698,RECALL,population,1
2,D02,2-s2.0-105011406180,CONTENT,topical,1
2,D03,2-s2.0-105033611630,CONTENT,topical,1
2,D04,NEW-jadara-2022,RECALL,population,1
2,D05,SEED-cordonnier2021,EXPOSURE,all_media,3
2,D06,2-s2.0-85164694763,SHARING,topical,2
2,D07,OA-W7161796591,QUALITY,topical,1
2,D08,2-s2.0-85123475265,CONTENT,topical,1
2,D09,2-s2.0-85207525286,QUALITY,topical,1
2,D10,2-s2.0-85189974015,SHARING,population,2
2,D11,2-s2.0-85114317455,EXPOSURE,all_media,2
2,D12,PMID-42295743,CONTENT,topical,3
