order,id,journal,title,pdf,your_decision,your_note
1,2-s2.0-85074596916,Political Communication,"Sourcing and Automation of Political News and Information over Social Media in the United States, 2016-2018",papers/C01.pdf,INCLUDE,
2,2-s2.0-85095575703,Communications,Information-sharing practices on Facebook during the 2017 French presidential campaign: An “unreliable information bubble” within the extreme right,papers/C02.pdf,INCLUDE,"It appears that 86.06 % (114,679) of the content shared within our
sample set has been shared from reliable sources (Table 2). "
3,2-s2.0-85166442191,GM Crops & Food,GMO discussion on Twitter,papers/C03.pdf,EXCLUDE,no denominator
4,NEW-jadara-2022,Jadara Journal for Studies and Research,Jadara (2022) — perceived exposure to misinformation survey,papers/C04.pdf,INCLUDE,81.6
5,2-s2.0-85199669897,DIGITAL HEALTH,Is Arabic online patient-centered information about dental extraction trustworthy? An infodemiological study,papers/C05.pdf,EXCLUDE,only quality assesment
6,W4281770633,Journal of Quantitative Description: Digital Media,Repeat Spreaders and Election Delegitimization: A Comprehensive Dataset of Misinformation Tweets from the 2020 U.S. Election,papers/C06.pdf,EXCLUDE,
7,2-s2.0-85029143850,Environmental Research Letters,Assessing ExxonMobil's climate change communications (1977-2014),papers/C07.pdf,EXCLUDE,"Difficult to assess: doubting climate change now would be misinformation, but in the 70s I am not so sure (otherwise it would be that 81% of advertorials doubt climate change). "
8,W7146985142,Journal of Quantitative Description: Digital Media,Little change in a changing landscape: Tracking exposure to untrustworthy news in Germany from 2017 to 2024.,papers/C08.pdf,INCLUDE,
9,2-s2.0-85141666446,Healthcare Informatics Research,Understanding the COVID-19 Infodemic: Analyzing User-Generated Online Information During a COVID-19 Outbreak in Vietnam,papers/C09.pdf,INCLUDE,
10,2-s2.0-85093962844,2020 International Conference on Information Management and Technology (ICIMTech),Can the damage be undone? analyzing misinformation during COVID-19 outbreak in Indonesia,papers/C10.pdf,EXCLUDE,
11,2-s2.0-85097120668,Journal of Medical Internet Research,Dimensions of misinformation about the HPV vaccine on instagram: Content and network analysis of social media characteristics,papers/C11.pdf,INCLUDE,antivaccine = misinformation (44.1%)
12,2-s2.0-105032691304,JMIR Formative Research,Misinformation and Profitability of Hepatitis B Virus Claims on Instagram: Formative Cross-Sectional Study,papers/C12.pdf,INCLUDE,
13,2-s2.0-105021775752,The Propagation of Misinformation in Social Media,"Fringe players on political Twitter: Source-sharing dynamics, partisanship and problematic actors",papers/C13.pdf,INCLUDE,"definition of problematic news source: inaccurate, misleading, inappropriately attributed, or altogether fabricated. Has multiple denominator results. "
14,2-s2.0-85046071518,PLOS ONE,Anatomy of an online misinformation network,papers/C14.pdf,INCLUDE,"As a subresult, they verified a random subsample of 50 claims. (not their main objective). (72.7%) "
15,2-s2.0-85057183786,Heliyon,"Influenza vaccination discourse in major Canadian news media, 2017–2018",papers/C15.pdf,EXCLUDE,no misinformation metric
16,2-s2.0-105014807194,Journal of the Pediatric Orthopaedic Society of North America,Fake News? Quantifying the Prevalence of Misinformation Related to Scoliosis on the TikTok Social Media Platform,papers/C16.pdf,INCLUDE,44%
17,2-s2.0-85060587260,European Journal of Public Health,Content and source analysis of popular tweets following a recent case of diphtheria in Spain,papers/C17.pdf,EXCLUDE,
18,2-s2.0-105000242013,EPJ Data Science,"Lost in translation: using global fact-checks to measure multilingual misinformation prevalence, spread, and evolution",papers/C18.pdf,INCLUDE,"within a misinformation subset: maybe a ""reach"" measurement since 10.26% are fact-checked more than once in different languages. "
19,W4309243406,GM Crops & Food,Misinformation in the media: global coverage of GMOs 2019-2021,papers/C19.pdf,INCLUDE,
20,2-s2.0-105039147215,Journal of Economic Growth,Manipulation of information in times of crisis: evidence from Covid excess mortality,papers/C20.pdf,INCLUDE,
21,2-s2.0-85164306347,JMIR Infodemiology,Advertising Alternative Cancer Treatments and Approaches on Meta Social Media Platforms: Content Analysis,papers/C21.pdf,INCLUDE,
22,2-s2.0-85129781787,Health Promotion International,Media coverage of COVID-19 health information in India: a content analysis,papers/C22.pdf,INCLUDE,"misinformation only covered within the media coverage of treatments, otherwise more of a descriptive analysis. "
23,2-s2.0-85151113840,International Journal of Environmental Research and Public Health,Realfood and Cancer: Analysis of the Reliability and Quality of YouTube Content,papers/C23.pdf,INCLUDE,12.5%
24,2-s2.0-85193588807,Health Policy and Technology,COVID-19 in Polish-language social media - misinformation vs government information: COVID-19 misinformation in polish social media,papers/C24.pdf,INCLUDE,
25,2-s2.0-86000286752,Journal of Men's Health,The most contemporary analysis on YouTube videos on premature ejaculation,papers/C25.pdf,EXCLUDE,"gives a misinformation score, but not a denominator result"
26,2-s2.0-85203974709,Journal on Ethnopolitics and Minority Issues in Europe,Disinformation against Crimean Tatars in Russian Social Media: Communication Dynamics During the First Year of Russia’s Full- Scale Invasion of Ukraine,papers/C26.pdf,EXCLUDE,gives percentages of which narraatives are used within the posts about Tatars. So I think it is a. subset of pure disinformation postst that are analyzed. 
