row_key,study_no,row_no,country,platform,period,measure,unit,group_label,our_value,our_construct,our_denominator,our_quote,your_verdict,your_value,your_share_of,your_quote,your_construct,your_note,study_extra
2-s2.0-85081743293#484,1,1,United States,web_cross_platform,"Oct 7 - Nov 14, 2016 (final weeks of 2016 campaign)",% of people who visited >=1 (reach),person,,44.3,REACH,"Americans aged 18 or older (YouGov Pulse panel, survey-weighted)","We estimate that 44.3% of Americans aged 18 or older visited an article on an untrustworthy website during our study period, which covered the final weeks of the 2016 election campaign (95% CI = 40.8-47.7%).",CORRECT,,,,,,
2-s2.0-85081743293#485,1,2,United States,web_cross_platform,"Oct 7 - Nov 14, 2016",untrustworthy share of news diet,item,,5.9,EXPOSURE,articles read on websites focused on hard-news topics (plus untrustworthy sites),articles on these factually dubious websites represented an average of 5.9% of all of the articles that Americans read on websites that focused on hard-news topics during this period (95% CI = 5.1-6.7%).,CORRECT,,,,,,
2-s2.0-85081743293#486,1,3,United States,web_cross_platform,"Oct 7 - Nov 14, 2016",concentration of exposure,person,,62,CONCENTRATION,page-level traffic to untrustworthy websites,62% of all page-level traffic to untrustworthy websites observed in our data during the study period came from the 20% of news consumers with the most conservative information diets.,CORRECT,,,,,,
2-s2.0-85160248068#346,2,1,United States,Google Search,2018,% of SERPs exposed containing >=1 unreliable domain (2018),exposure,,2.05,EXPOSURE,"102,114 SERPs shown to participants, 2018","unreliable news was less prevalent in the URLs they were exposed to on Google Search (2.05% in 2018, 0.72% in 2020)",CORRECT,,,,,,"estimate missing for exposure wihtin Google Search follows: 
exposure: 2.36% in 2018 
exposure: 0.93% in 2020

estimate missing for concentration within google search follows: 
90% (top 28.2% in 2018) 
90% (top 9.8% in 2020) 

estimate missing for concentration within overall enagement: 
90% (top 12.0%. in 2018) 
90% (top 11.9% in 2020)
"
2-s2.0-85160248068#347,2,2,United States,Google Search,2020,% of SERPs exposed containing >=1 unreliable domain (2020),exposure,,0.72,EXPOSURE,"226,035 SERPs shown to participants, 2020","unreliable news was less prevalent in the URLs they were exposed to on Google Search (2.05% in 2018, 0.72% in 2020)",CORRECT,,,,,,"estimate missing for exposure wihtin Google Search follows: 
exposure: 2.36% in 2018 
exposure: 0.93% in 2020

estimate missing for concentration within google search follows: 
90% (top 28.2% in 2018) 
90% (top 9.8% in 2020) 

estimate missing for concentration within overall enagement: 
90% (top 12.0%. in 2018) 
90% (top 11.9% in 2020)
"
2-s2.0-85160248068#348,2,3,United States,Google Search,2018,EXPOSURE: unreliable-news share of participants' overall web engagement (all URL visits),url,,3.03,EXPOSURE,"all URLs in participants' browser histories (overall web engagement), 2018","overall engagement (3.03% in 2018, 1.86% in 2020)",CORRECT,,,,,,"estimate missing for exposure wihtin Google Search follows: 
exposure: 2.36% in 2018 
exposure: 0.93% in 2020

estimate missing for concentration within google search follows: 
90% (top 28.2% in 2018) 
90% (top 9.8% in 2020) 

estimate missing for concentration within overall enagement: 
90% (top 12.0%. in 2018) 
90% (top 11.9% in 2020)
"
2-s2.0-85160248068#349,2,4,United States,Google Search,2020,EXPOSURE: unreliable-news share of participants' overall web engagement (all URL visits),url,,1.86,EXPOSURE,"all URLs in participants' browser histories (overall web engagement), 2020","overall engagement (3.03% in 2018, 1.86% in 2020)",CORRECT,,,,,,"estimate missing for exposure wihtin Google Search follows: 
exposure: 2.36% in 2018 
exposure: 0.93% in 2020

estimate missing for concentration within google search follows: 
90% (top 28.2% in 2018) 
90% (top 9.8% in 2020) 

estimate missing for concentration within overall enagement: 
90% (top 12.0%. in 2018) 
90% (top 11.9% in 2020)
"
2-s2.0-85160248068#350,2,5,United States,Google Search,2018,% of participants accounting for [n] of unreliable exposures,person,,90,CONCENTRATION,"All unreliable-news exposures across participants, 2018",31.3% of participants accounting for 90% of all unreliable news exposures in 2018 (25.1% in 2020),CORRECT,,,,,,"estimate missing for exposure wihtin Google Search follows: 
exposure: 2.36% in 2018 
exposure: 0.93% in 2020

estimate missing for concentration within google search follows: 
90% (top 28.2% in 2018) 
90% (top 9.8% in 2020) 

estimate missing for concentration within overall enagement: 
90% (top 12.0%. in 2018) 
90% (top 11.9% in 2020)
"
2-s2.0-85160248068#351,2,6,United States,Google Search,2020,% of participants accounting for [n] of unreliable exposures,person,,90,CONCENTRATION,"All unreliable-news exposures across participants, 2020",31.3% of participants accounting for 90% of all unreliable news exposures in 2018 (25.1% in 2020),CORRECT,,,,,,"estimate missing for exposure wihtin Google Search follows: 
exposure: 2.36% in 2018 
exposure: 0.93% in 2020

estimate missing for concentration within google search follows: 
90% (top 28.2% in 2018) 
90% (top 9.8% in 2020) 

estimate missing for concentration within overall enagement: 
90% (top 12.0%. in 2018) 
90% (top 11.9% in 2020)
"
W4281770633#119,3,1,United States,Twitter/X,1 Sep - 15 Dec 2020,concentration of SHARING (top 35 spreaders),account,,28.6,CONCENTRATION,"32,581,921 'sows doubt' retweets/quote tweets (ElectionMisinfo2020)","The top 35 accounts alone were responsible for 9,304,879 out of 32,581,921—or 28.6%—of all 'sows doubt' connected retweets and quote tweets we collected",CORRECT,,,,,,"Further CONCENTRATION measurement:  28.6%
""The top 35 accounts alone were responsible for 9,304,879 out of 32,581,921—or 28.6%—of all ""sows doubt"" connected retweets and quote tweets we collected."""
