item_id,study_id,key_construct,key_value_pct
K001,2-s2.0-85169326292,RECALL,14
K002,2-s2.0-85143274147,RECALL,91.2
K003,2-s2.0-85143274147,RECALL,36.3
K004,2-s2.0-85096102360,RECALL,67.78
K005,2-s2.0-85086031086,RECALL,25.94
K006,2-s2.0-85086031086,RECALL,28.67
K007,2-s2.0-85086031086,RECALL,13.19
K008,2-s2.0-85086031086,RECALL,14.36
K009,2-s2.0-85124307830,RECALL,84.2
K010,2-s2.0-85124307830,RECALL,77.1
K011,2-s2.0-85124307830,RECALL,60.7
K012,2-s2.0-85124307830,RECALL,57.6
K013,2-s2.0-85124307830,RECALL,55.7
K014,2-s2.0-85124307830,RECALL,27.4
K015,2-s2.0-85118260096,RECALL,19.0
K016,2-s2.0-85118260096,RECALL,17.0
K017,2-s2.0-84929523850,RECALL,34.0
K018,2-s2.0-84929523850,RECALL,26.0
K019,2-s2.0-85128118104,RECALL,83.6
K020,SEED-allcott2017,RECALL,1.2
K021,2-s2.0-85085573221,RECALL,68.2
K022,2-s2.0-85124823821,RECALL,93.10
K023,2-s2.0-85066941307,CONTENT,5.5
K024,2-s2.0-85194880315,RECALL,51
K025,2-s2.0-85194880315,RECALL,23
K026,2-s2.0-105018276467,RECALL,68.8
K027,2-s2.0-105018276467,RECALL,7.1
K028,2-s2.0-85117399204,RECALL,73
K029,2-s2.0-85162702221,REACH,18.4
K030,2-s2.0-85162702221,OTHER,0.16
K031,2-s2.0-85072114698,RECALL,95.02
K032,2-s2.0-85199446608,RECALL,80.35
K033,2-s2.0-85199446608,RECALL,58.90
K034,2-s2.0-85199446608,RECALL,47.01
K035,2-s2.0-85199446608,RECALL,53.33
K036,2-s2.0-85199446608,RECALL,29.95
K037,2-s2.0-85207525286,CONTENT,92
K038,OA-W4407797130,RECALL,77.4
K039,OA-W4407797130,RECALL,37.1
K040,OA-W3206858890,RECALL,89.4
K041,2-s2.0-85055756722,RECALL,8.9
K042,2-s2.0-85055756722,RECALL,29.9
K043,2-s2.0-85055756722,RECALL,17.1
K044,2-s2.0-85069463611,CONTENT,0.18
K045,2-s2.0-85069463611,SHARING,0.96
K046,2-s2.0-85160248068,EXPOSURE,2.05
K047,2-s2.0-85160248068,EXPOSURE,0.72
K048,2-s2.0-85160248068,EXPOSURE,3.03
K049,2-s2.0-85160248068,EXPOSURE,1.86
K050,2-s2.0-85160248068,CONCENTRATION,90
K051,2-s2.0-85172813494,RECALL,29
K052,2-s2.0-85172813494,RECALL,60
K053,2-s2.0-85172813494,RECALL,73
K054,2-s2.0-85100218180,SHARING,2.7
K055,2-s2.0-85122105134,RECALL,19
K056,2-s2.0-85122105134,RECALL,18
K057,2-s2.0-105008525623,RECALL,29
K058,2-s2.0-105008525623,RECALL,71
K059,2-s2.0-105008525623,RECALL,64
K060,2-s2.0-105008525623,RECALL,60.9
K061,2-s2.0-105008525623,RECALL,73.7
K062,SEED-allcott2017,RECALL,15
K063,2-s2.0-85181200454,RECALL,53.9
K064,2-s2.0-85181200454,RECALL,43.1
K065,NEW-vanantwerpen-esm,RECALL,50.41
K066,NEW-vanantwerpen-esm,RECALL,17.72
K067,2-s2.0-85066941307,OTHER,69.7
K068,2-s2.0-85066941307,OTHER,3.4
K069,2-s2.0-85162702221,REACH,23.6
K070,2-s2.0-85162702221,REACH,20.4
K071,2-s2.0-85162702221,REACH,15.4
K072,2-s2.0-85096102360,RECALL,75.6
K073,2-s2.0-85096102360,RECALL,53.2
K074,2-s2.0-85085573221,RECALL,72.7
K075,2-s2.0-85085573221,RECALL,65.7
K076,2-s2.0-85085573221,RECALL,66.1
K077,NEW-moreno-jmirderma,RECALL,43
K078,NEW-jadara-2022,RECALL,81.6
K079,OA-W4407797130,RECALL,63.4
K080,OA-W4407797130,RECALL,50.1
K081,2-s2.0-85162702221,REACH,11.5
K082,2-s2.0-85096862559,SHARING,11.19
K083,2-s2.0-85197949220,CONTENT,29.9
K084,W4205602257,SHARING,1.7
