item_id,study_id,key_construct,key_breadth,key_denom_class
F0001,2-s2.0-85184824168,CONTENT,false,topical
F0002,2-s2.0-85184824168,CONTENT,false,topical
F0003,2-s2.0-85184824168,CONTENT,false,topical
F0004,2-s2.0-84883291462,CONTENT,false,topical
F0005,2-s2.0-85136023139,REACH,,population
F0006,2-s2.0-85107390682,CONTENT,misleading,topical
F0007,2-s2.0-85191403735,CONTENT,misleading,topical
F0008,2-s2.0-85159871316,CONTENT,misleading,topical
F0009,2-s2.0-85173913530,CONTENT,misleading,topical
F0010,2-s2.0-85159889148,CONTENT,false,topical
F0011,2-s2.0-85159889148,CONTENT,false,topical
F0012,2-s2.0-85135254144,CONTENT,misleading,topical
F0013,2-s2.0-85210156482,QUALITY,misleading,topical
F0014,2-s2.0-85054363956,CONTENT,false,single_source
F0015,2-s2.0-85054363956,CONTENT,false,single_source
F0016,2-s2.0-85099149423,CONTENT,misleading,curated_sample
F0017,2-s2.0-85163186108,CONTENT,false,political_news
F0018,2-s2.0-85191357340,CONTENT,false,topical
F0019,2-s2.0-85195375481,CONTENT,false,curated_sample
F0020,2-s2.0-85169326292,RECALL,false,population
F0021,2-s2.0-85143274147,RECALL,false,population
F0022,2-s2.0-85143274147,RECALL,false,population
F0023,2-s2.0-85096102360,RECALL,false,population
F0024,2-s2.0-85145425628,CONTENT,false,topical
F0025,2-s2.0-85145425628,CONTENT,false,topical
F0026,2-s2.0-85194023903,CONCENTRATION,,n/a
F0027,2-s2.0-85194023903,CONCENTRATION,,n/a
F0028,2-s2.0-85083041268,CONTENT,false,topical
F0029,2-s2.0-85095594211,CONTENT,misleading,curated_sample
F0030,2-s2.0-85095594211,SHARING,misleading,curated_sample
F0031,2-s2.0-85190817518,CONTENT,misleading,topical
F0032,2-s2.0-85086031086,RECALL,false,population
F0033,2-s2.0-85086031086,RECALL,false,population
F0034,2-s2.0-85086031086,RECALL,false,population
F0035,2-s2.0-85086031086,RECALL,false,population
F0036,2-s2.0-105009085931,QUALITY,,topical
F0037,2-s2.0-105009085931,QUALITY,,topical
F0038,2-s2.0-105032691304,CONTENT,false,topical
F0039,2-s2.0-105031357857,CONTENT,false,topical
F0040,2-s2.0-105031357857,QUALITY,misleading,topical
F0041,2-s2.0-85124307830,RECALL,false,population
F0042,2-s2.0-85124307830,RECALL,false,population
F0043,2-s2.0-85124307830,RECALL,false,population
F0044,2-s2.0-85124307830,RECALL,false,population
F0045,2-s2.0-85124307830,RECALL,false,population
