item_id,study_id,dim,codex,ours,notes
K029,2-s2.0-85162702221,construct,OTHER,REACH,
K030,2-s2.0-85162702221,construct,EXPOSURE,OTHER,
K032,2-s2.0-85199446608,construct,OTHER,RECALL,
K033,2-s2.0-85199446608,construct,OTHER,RECALL,
K034,2-s2.0-85199446608,construct,OTHER,RECALL,
K035,2-s2.0-85199446608,construct,OTHER,RECALL,
K036,2-s2.0-85199446608,construct,OTHER,RECALL,
K037,2-s2.0-85207525286,construct,QUALITY,CONTENT,
K044,2-s2.0-85069463611,construct,OTHER,CONTENT,
K045,2-s2.0-85069463611,construct,OTHER,SHARING,
K048,2-s2.0-85160248068,construct,OTHER,EXPOSURE,
K049,2-s2.0-85160248068,construct,OTHER,EXPOSURE,
K067,2-s2.0-85066941307,construct,RECALL,OTHER,
K069,2-s2.0-85162702221,construct,OTHER,REACH,
K070,2-s2.0-85162702221,construct,OTHER,REACH,
K071,2-s2.0-85162702221,construct,RECALL,REACH,
K081,2-s2.0-85162702221,construct,OTHER,REACH,
K086,2-s2.0-85213958624,construct,OTHER,SHARING,
K089,W4293124965,construct,EXPOSURE,SHARING,
K094,2-s2.0-85192635397,construct,SHARING,CONTENT,
K095,2-s2.0-85163186108,construct,SHARING,CONTENT,
K104,2-s2.0-85163154882,construct,SHARING,CONTENT,
K105,2-s2.0-85085201199,construct,EXPOSURE,CONTENT,
K111,2-s2.0-85137779722,construct,SHARING,CONTENT,
V003,OA-W2992531903,value,3.1,62.2,
V005,W3033912864,value,NOT FOUND,2.50,
V006,2-s2.0-85159153364,value,NOT FOUND,68,
V009,2-s2.0-85047794238,value,58,70,
V010,W4293124965,value,2.3,0.97,
V011,2-s2.0-105027856675,value,4.9,53.23,
V012,2-s2.0-105030082417,value,5,9.4,
V013,2-s2.0-85105511315,value,21,70,
V015,2-s2.0-85074511992,value,NOT FOUND,9.1,
V016,2-s2.0-85122105134,value,NOT FOUND,18,
V019,2-s2.0-85105511315,value,32,40,
V020,2-s2.0-105030827603,value,71.4,30.2,
V021,2-s2.0-85181200454,value,53.9,43.1,
V022,2-s2.0-105040091272,value,NOT FOUND,17.0,
V023,2-s2.0-85148963619,value,35,13.4,
V024,2-s2.0-84883291462,value,NOT FOUND,24.5,
V025,2-s2.0-85074596916,value,NOT FOUND,18.1,
V026,2-s2.0-85124307830,value,NOT FOUND,77.1,
V027,W4293124965,value,2.3,0.018,
V029,W4293124965,value,2.3,0.10,
V030,2-s2.0-85159153364,value,NOT FOUND,80,
V035,2-s2.0-85118260096,value,19,17.0,
V038,2-s2.0-85142396682,value,NOT FOUND,0.43,
V039,2-s2.0-105029413645,value,37,77,
V040,2-s2.0-85172813494,value,NOT FOUND,60,
