item_id,study_id,dim,codex,ours
F0010,2-s2.0-85159889148,construct,QUALITY,CONTENT
F0013,2-s2.0-85210156482,construct,CONTENT,QUALITY
F0017,2-s2.0-85163186108,construct,SHARING,CONTENT
F0040,2-s2.0-105031357857,construct,CONTENT,QUALITY
F0049,2-s2.0-86000670842,construct,CONTENT,QUALITY
F0050,2-s2.0-86000670842,construct,CONTENT,QUALITY
F0056,2-s2.0-85046831961,construct,SHARING,CONTENT
F0063,2-s2.0-85074596916,construct,CONTENT,SHARING
F0066,2-s2.0-85134426953,construct,CONTENT,QUALITY
F0086,2-s2.0-85085201199,construct,EXPOSURE,CONTENT
F0095,2-s2.0-85148963619,construct,SHARING,CONTENT
F0097,2-s2.0-85148963619,construct,SHARING,OTHER
F0112,W4306964957,construct,CONTENT,SHARING
F0113,W4306964957,construct,CONTENT,SHARING
F0135,W2901308345,construct,OTHER,CONTENT
F0136,W2901308345,construct,OTHER,CONTENT
F0138,W4205602257,construct,CONTENT,SHARING
F0143,W7146985142,construct,EXPOSURE,REACH
F0150,2-s2.0-105027959122,construct,RECALL,REACH
F0152,2-s2.0-105020578144,construct,CONTENT,QUALITY
F0169,2-s2.0-85127039075,construct,EXPOSURE,CONTENT
F0174,2-s2.0-85175105353,construct,SHARING,REACH
F0192,2-s2.0-85090181268,construct,SHARING,CONTENT
F0206,2-s2.0-105029521599,construct,CONTENT,SHARING
F0230,2-s2.0-105005857219,construct,CONTENT,QUALITY
F0236,2-s2.0-85162702221,construct,SHARING,OTHER
F0245,2-s2.0-105030082417,construct,CONTENT,QUALITY
F0246,2-s2.0-105030082417,construct,CONTENT,QUALITY
F0258,2-s2.0-85199446608,construct,CONTENT,RECALL
F0262,2-s2.0-85207525286,construct,CONTENT,QUALITY
F0263,2-s2.0-85159153364,construct,SHARING,CONTENT
F0264,2-s2.0-85159153364,construct,SHARING,CONTENT
F0266,2-s2.0-85159153364,construct,SHARING,CONTENT
F0267,2-s2.0-85159153364,construct,SHARING,CONCENTRATION
F0268,2-s2.0-85159153364,construct,SHARING,CONCENTRATION
F0297,OA-W4407797130,construct,OTHER,RECALL
F0301,OA-W7161796591,construct,CONTENT,QUALITY
F0305,OA-W2992531903,construct,REACH,OTHER
F0308,OA-W2992531903,construct,REACH,OTHER
F0311,2-s2.0-85074511992,construct,CONTENT,SHARING
F0318,2-s2.0-85047794238,construct,CONTENT,QUALITY
F0325,2-s2.0-85066894147,construct,CONTENT,SHARING
F0330,2-s2.0-85091698994,construct,EXPOSURE,CONTENT
F0332,2-s2.0-85069463611,construct,SHARING,CONTENT
F0354,2-s2.0-85172813494,construct,OTHER,RECALL
F0359,2-s2.0-85182846541,construct,SHARING,CONTENT
F0362,2-s2.0-85188806397,construct,CONCENTRATION,SHARING
F0363,2-s2.0-85188806397,construct,CONTENT,SHARING
F0370,2-s2.0-85209206311,construct,OTHER,EXPOSURE
F0379,2-s2.0-85105454127,construct,CONCENTRATION,REACH
F0383,2-s2.0-85105511315,construct,SHARING,OTHER
F0384,2-s2.0-85105511315,construct,SHARING,OTHER
F0400,2-s2.0-85131964464,construct,SHARING,CONTENT
F0402,2-s2.0-85137779722,construct,SHARING,CONTENT
F0410,2-s2.0-85142886759,construct,SHARING,CONTENT
F0413,2-s2.0-105008525623,construct,OTHER,RECALL
F0414,2-s2.0-105008525623,construct,CONTENT,RECALL
F0415,2-s2.0-105008525623,construct,CONTENT,RECALL
F0419,2-s2.0-105027856675,construct,CONTENT,SHARING
F0423,SEED-allcott2017,construct,OTHER,EXPOSURE
F0436,2-s2.0-105021775752,construct,CONTENT,SHARING
F0437,2-s2.0-105021775752,construct,CONTENT,SHARING
F0439,2-s2.0-85131073869,construct,SHARING,CONTENT
F0444,2-s2.0-85159598935,construct,SHARING,CONTENT
F0445,2-s2.0-85159598935,construct,CONCENTRATION,CONTENT
F0448,2-s2.0-105019357120,construct,OTHER,CONTENT
F0449,2-s2.0-105019357120,construct,SHARING,CONTENT
F0466,2-s2.0-85059494932,construct,SHARING,CONTENT
F0467,2-s2.0-85059494932,construct,EXPOSURE,REACH
F0485,2-s2.0-85163154882,construct,SHARING,CONTENT
F0486,2-s2.0-85163154882,construct,SHARING,CONTENT
F0491,2-s2.0-85213958624,construct,CONTENT,SHARING
F0494,2-s2.0-105017599346,construct,EXPOSURE,SHARING
